respid,sample,comp,int_date,lang,state,density,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3f_1_other,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,web1j,web1k,sns2a,sns2b,sns2c,sns2d,sns2e,paya,payb,payc,prob,coviddisa,coviddisb,coviddisc,coviddisd,coviddise,device1b,device1c,device1d,books1,books2a,books2b,books2c,gender,age,marital,par,educ2,emplnw,disa,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,income,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
798,1,1,1/26/2021,1,51,5,S, ,2,1,1,3,2,1,2, ,1,2, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,3,2,2,1,1,2,1,1,2,50,1,2,2,2,77,5,2,4,3,1,2,1, , , ,1, ,6,2, ,1, ,1, , ,.5571872, 
1017,1,1,1/25/2021,1,39,2,S, ,1,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,59,6,2,3,2,2,2,1, , , ,1, ,5,1, ,2,2,1, , ,.9872091, 
1181,1,1,1/25/2021,1,32,2,U, ,2,1,1,4,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,1,2,1,2,2,2,2,2,2,2,2,3, ,3, , ,2,2,2,3,2,3,2,2,2,1,1,1,3,1,2,2,2,60,1,2,4,3,2,2,1, , , ,1, ,8,3,2,2,2,1, , ,.9251474, 
1388,1,1,1/25/2021,1,4,3,U, ,1,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,1,2,2,2,2,1, , ,2, ,3,2,2,2,3,2,1,1,1,1,2,1,2,30,1,1,2,1,73,6,2,8,2,2,2,1, , , ,1, ,8,2, ,1, ,1, , ,.3110796, 
1664,1,1,1/26/2021,1,12,2,S, ,2,1,1,1,1,1,3, ,1,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,1,1,1,2,2,2, ,3,3, ,4,2,2,2,3,1,1,1,1,1,1,1,2,40,1,2,1,2,65,1,2,8,3,2,2,1, , , ,1, ,7,2, ,2,2,1, , ,.3965482, 
1885,1,1,2/3/2021,1,9,4,S, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,1,2,2,2,2,1, ,2,2, ,3,2,2,2,4,3,3,2,3,2,2,1,2,4,1,2,2,2,62,3,2,6,1,2,2,1, , , ,1, ,7,2, ,1, ,1, , ,.5706725, 
2563,1,1,1/26/2021,1,6,4,S, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,1,1,2,2,2,2, , ,3, ,3,2,2,2,3,3,3,3,3,3,2,1,2,0, , , ,2,70,1,2,4,4,2,2,1, , , ,1, ,7,2, ,2,2,1, , ,.8154956, 
3010,1,1,2/2/2021,1,6,2,U, ,1,2,2, ,2,2, , ,2, ,1,1,1, ,2,2,2, ,9,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,1, ,3,3,2,3,3,2,1,2,0, , , ,1,94,5,2,6,3,1,2,1, , , ,1, ,3,1, ,1, ,2, , ,.3110796, 
3015,1,1,1/26/2021,1,9,4,S, ,2,1,1,2,1,1,3, ,1,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,3,2,2,2,3,2,2,1,1,2,2,1,2,97,2,2,1,2,65,1,2,3,3,2,2,1, , , ,1, ,3,3,1,2,2,1, , ,1.7776797, 
3590,1,1,1/29/2021,1,48,5,S, ,2,1,1,2,1,1,2, ,1,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,1, , , , ,5,2,2,2,2,3,3,2,2,2,1,1,2,10,1,1,2,2,99,1,2,6,2,2,2,1, , , ,1, ,10,3,1,2,2,1, , ,.4546581, 
