"","Country.Code","Country.Name","Year","GDP.growth.LCU.R","GDP.in.2015.USD.R","FIWScore","Exaggeration.Factor","GDP.growth.LCU.adjExag.NTL","GDP.in.2015.USD.NTL","GDP.var.R","GDP.var.NTL","FIW.Status","Popu.2021","order","label"
"1","LBY","Libya",2021,31,60910775962,6,2,20,36634943488,8.73,-34.61,"NF",6958538,1,1
"2","YEM","Yemen, Rep.",2021,-2,33429671860,6,1,-2,29289246720,-25.33,-34.58,"NF",30490639,2,1
"3","ZWE","Zimbabwe",2021,6,20562359266,4,1,4,15954965504,10.36,-14.36,"NF",15092171,3,1
"4","GRC","Greece",2021,8,200827546085,0,1,8,197563367424,-7.88,-9.38,"F",10664568,1,1
"5","LBN","Lebanon",2021,-11,30979755568,4,1,-11,26433470464,11.82,-4.59,"PF",6769151,1,1
"6","SDN","Sudan",2021,0,81337415157,6,2,0,67737579520,16.59,-2.9,"NF",44909351,4,0
"7","ITA","Italy",2021,7,1861282766144,0,1,7,1859750199296,-1.15,-1.23,"F",59066225,2,0
"8","PRT","Portugal",2021,5,213527167101,0,1,5,213527248896,7.47,7.47,"F",10299423,3,0
"9","JPN","Japan",2021,2,4433848088472,0,1,2,4404544536576,10.74,10.01,"F",125681593,4,1
"10","UKR","Ukraine",2021,3,101454370523,2,1,3,90643972096,26.76,13.25,"PF",43814581,2,0
"11","HTI","Haiti",2021,-2,14687836256,4,1,-2,13088742400,30.95,16.69,"NF",11541683,5,0
"12","LBR","Liberia",2021,4,3240178834,2,1,3,2787218176,37.27,18.08,"PF",5180208,3,0
"13","ESP","Spain",2021,5,1241794565010,0,1,5,1241794478080,19.76,19.76,"F",47326687,5,0
"14","FRA","France",2021,7,2579164625236,0,1,7,2562213543936,22.19,21.39,"F",67499343,6,0
"15","DEU","Germany",2021,3,3535202001686,0,1,3,3535201894400,22.86,22.86,"F",83129285,7,0
"16","FIN","Finland",2021,3,257530146556,0,1,3,257530216448,25.84,25.84,"F",5541696,8,0
"17","AUT","Austria",2021,4,403845417072,0,1,4,403845447680,26.07,26.07,"F",8956279,9,0
"18","NLD","Netherlands",2021,5,849039199713,0,1,5,849039130624,28.5,28.5,"F",17533405,10,0
"19","MEX","Mexico",2021,5,1205604698948,2,1,4,1122880061440,38.17,28.69,"PF",130262220,4,1
"20","DNK","Denmark",2021,5,343119676429,0,1,5,343119659008,28.83,28.83,"F",5856733,11,0
"21","GBR","Britain",2021,7,3111100507981,0,1,7,3111100088320,29.18,29.18,"F",67326569,12,1
"22","IRQ","Iraq",2021,3,183896942952,4,1,2,124958203904,93.15,31.24,"NF",41179351,6,0
"23","BEL","Belgium",2021,6,495814127754,0,1,6,495814082560,31.85,31.85,"F",11587882,13,0
"24","NOR","Norway",2021,4,419382949261,0,1,4,419382919168,33.73,33.73,"F",5408320,14,0
"25","SLV","El Salvador",2021,11,26105599852,2,1,9,24321640448,44.58,34.7,"PF",6518500,5,0
"26","BDI","Burundi",2021,2,3276109831,6,2,1,2829043456,57.18,35.73,"NF",12255429,7,0
"27","TUN","Tunisia",2021,3,46414858884,2,1,3,40119431168,57.77,36.38,"PF",11935764,6,0
"28","DZA","Algeria",2021,4,174613988345,4,1,3,146585042944,66.23,39.54,"NF",44616626,8,0
"29","RUS","Russia",2021,5,1490885857605,6,2,3,1202970689536,73.6,40.08,"NF",143446060,9,1
"30","BRA","Brazil",2021,5,1829901854573,2,1,4,1740472057856,47.62,40.4,"F",213993441,15,0
"31","CHE","Switzerland",2021,4,767349134393,0,1,4,767348899840,42.08,42.08,"F",8697723,16,0
"32","USA","United States",2021,6,2.0338578e+13,1,1,5,20164896620544,44.03,42.8,"F",331893745,17,1
