Case ID,beginning date,end date,exact date unclear,offline / online,website,mode,province,location,participants (offline),posts (online),interactions (online),led-by,issue,group,target,demands,repression type,concession type,link to other event,link to movement,verification tier,documentation,description
1013,2022/11/26,,no,offline,,"group demonstration, collective sound protest",,Chongqing,2--9,,,,COVID-19 pandemic policies,urban residents,local government,policy change,,,,1127 Movement,Tier 1,,"Discontent with lockdown policies, residents of multiple communities in Chongqing shouted ""open the door,"" ""let us out,"" and ""hurry up and end the lockdown"" from their balconies. Some of the residents left the buildings and went onto the street."
1012,2022/11/27,,no,offline,,group demonstration,Xinjiang,Kashgar,10-99,,,,COVID-19 pandemic policies,urban residents,local government,policy change,"state violence, arrest/detention",,,1127 Movement,Tier 1,,"After a long period under lockdown, residents of the Yuecheng community in Kargilik County went outside to protest the lockdown rules. Police in riot gear and white protective suits beat and detained some protesters."
1011,2022/09/13,,yes,offline,,group demonstration,Hubei,Wuhan,2--9,,,,pay and benefits,construction workers,university,payment of arrears,,,,,Tier 1,,Wuhan Science and Engineering School was in wage arrears. Several workers held banners on the campus to demand wages.
1010,2022/09/29,,yes,offline,,group demonstration,Guangdong,Qingyuan,2--9,,,,pay and benefits,catering workers,catering company,payment of arrears,,,,,Tier 1,,A tea factory in Yingde City was in wage arrears. Several employees held up banners in front of the company to demand wages.
1009,2022/09/27,,yes,offline,,group demonstration,Henan,Zhengzhou,2--9,,,,pay and benefits,construction workers,university,payment of arrears,,,,,Tier 1,,Henan Agricultural University in Zhengzhou City was in wage arrears. Several construction workers held up banners on campus to demand wages.
1008,2022/09/27,,yes,offline,,collective petitioning,Liaoning,Yingkou,10-99,,,,pay and benefits,education workers,local government,"government intervention, payment of arrears",,,,,Tier 1,,"In response to an early childhood education company in Yingkou City closing down and failing to pay wages, employees petitioned at local government to demand government intervention."
1007,2022/11/22,,yes,offline,,group demonstration,Fujian,Xiamen,10-99,,,,interior finish disputes,property buyers,property developer,refund,,,,,Tier 1,,"Property buyers of Top Mansion held banners at the sales center in protest, demanding that the developer refund the illegally charged decoration fees."
1006,2022/09/28,,yes,offline,,sign protest,Shandong,Qingdao,1,,,,debt disputes,,property developer,return assets,,,,,Tier 1,,"An advertisement accusing Future Land of overdue payments for the construction work appeared on the advertising screen of Licun Jinding Plaza, possibly as a protest by a contractor against the payment default for years."
1005,2022/10/18,,yes,offline,,collective sound protest,Shanxi,Datong,10-99,,,,property management disputes,urban residents,property management,replacing service provider,,,,,Tier 1,,"Residents of ""Kaiyuan Jiayuan West"" were discontent with the property management company's inaction during the lockdown and shouted for a change of the property management company."
1004,2022/10/13,,no,offline,,collective sound protest,Inner Mongolia,Hohhot,10-99,,,,,urban residents,,,,,,,Tier 1,,"Many residents yelled their anger as the power was cut in the Heyday International residential area in Yuquan District, and no one stepped forward to handle the situation."
