"x","y","group"
2017,1.4e+09,"China"
2100,7.32e+08,"China"
2017,1.38e+09,"India"
2100,1.09e+09,"India"
2017,3.25e+08,"U.S"
2100,3.36e+08,"U.S"
2017,2.58e+08,"Indonesia"
2100,2.29e+08,"Indonesia"
2017,2.14e+08,"Pakistan"
2100,2.48e+08,"Pakistan"
2017,2.12e+08,"Brazil"
2100,1.65e+08,"Brazil"
2017,2.06e+08,"Nigeria"
2100,7.91e+08,"Nigeria"
2017,1.57e+08,"Bangladesh"
2100,8.1e+07,"Bangladesh"
2017,1.46e+08,"Russia"
2100,1.06e+08,"Russia"
2017,1.28e+08,"Japan"
2100,6e+07,"Japan"
2017,1.12e+08,"VIRTUAL"
2100,1.7e+08,"VIRTUAL"
2017,1.03e+08,"Ethiopia"
2100,2.23e+08,"Ethiopia"
2017,9.6e+07,"Egypt"
2100,1.99e+08,"Egypt"
2017,8.1e+07,"DRC"
2100,2.46e+08,"DRC"
2017,5.4e+07,"Tanzania"
2100,1.86e+08,"Tanzania"
