States;Abb;Fac
ALABAMA;Ala.;FALSE
ALASKA;Alaska;TRUE
ARKANSAS;Ark.;FALSE
ARIZONA;Ariz.;TRUE
CALIFORNIA;Calif.;FALSE
COLORADO;Colo.;TRUE
CONNECTICUT;Conn.;FALSE
DELAWARE;Del.;TRUE
DISTRICT OF COLUMBIA;D.C.;FALSE
FLORIDA;Fla.;TRUE
GEORGIA;Ga.;FALSE
HAWAII;Hawaii;TRUE
IDAHO;Idaho;FALSE
ILLINOIS;Ill.;TRUE
INDIANA;Ind.;FALSE
IOWA;Iowa;TRUE
KANSAS;Kans.;FALSE
KENTUCKY;Ky.;TRUE
LOUISIANA;La.;FALSE
MAINE;Maine;TRUE
MARYLAND;Md.;FALSE
MASSACHUSETTS;Mass.;TRUE
MICHIGAN;Mich.;FALSE
MINNESOTA;Minn.;TRUE
MISSISSIPPI;Miss.;FALSE
MISSOURI;Mo.;TRUE
MONTANA;Mont.;FALSE
NEBRASKA;Neb;TRUE
NEVADA;Nev.;FALSE
NEW HAMPSHIRE;N.H.;TRUE
NEW JERSEY;N.J.;FALSE
NEW MEXICO;N.M.;TRUE
NEW YORK;N.Y.;FALSE
NORTH CAROLINA;N.C.;TRUE
NORTH DAKOTA;N.D.;FALSE
OHIO;Ohio;TRUE
OKLAHOMA;Okla.;FALSE
OREGON;Ore.;TRUE
PENNSYLVANIA;Pa.;FALSE
PUERTO RICO;P.r.;TRUE
RHODE ISLAND;R.I.;FALSE
SOUTH CAROLINA;S.C.;TRUE
SOUTH DAKOTA;S.D.;FALSE
TENNESSEE;Tenn.;TRUE
TEXAS;Tex.;FALSE
UTAH;Utah;TRUE
VERMONT;Vt.;FALSE
VIRGINIA;Va.;TRUE
WASHINGTON;Wash.;FALSE
WEST VIRGINIA;W.Va.;TRUE
WISCONSIN;Wisc.;FALSE
WYOMING;Wyo.;TRUE
