Etiquetas de fila,As It Was,Despechá,Me Porto Bonito,Pink Venom,"Quevedo: Bzrp Music Sessions, Vol. 52",Tití Me Preguntó
,,,,,,
06-jul,2,,4,,,5
07-jul,2,,4,,5,6
08-jul,2,,3,,5,6
09-jul,2,,3,,4,5
10-jul,2,,3,,5,6
11-jul,2,,4,,3,6
12-jul,2,,4,,3,6
13-jul,2,,4,,3,6
14-jul,2,,4,,3,6
15-jul,3,,4,,1,5
16-jul,2,,4,,1,5
17-jul,2,,4,,1,5
18-jul,2,,4,,1,6
19-jul,2,,4,,1,6
20-jul,2,,4,,1,5
21-jul,2,,4,,1,5
22-jul,2,,4,,1,5
23-jul,2,,3,,1,5
24-jul,2,,3,,1,5
25-jul,2,,4,,1,5
26-jul,2,,4,,1,5
27-jul,2,,4,,1,5
28-jul,2,7,4,,1,5
29-jul,2,6,3,,1,5
30-jul,2,6,3,,1,4
31-jul,2,8,3,,1,4
01-ago,2,7,3,,1,5
02-ago,2,7,3,,1,5
03-ago,2,6,3,,1,5
04-ago,2,6,3,,1,5
05-ago,2,6,3,,1,4
06-ago,2,6,3,,1,4
07-ago,2,7,3,,1,4
08-ago,2,6,3,,1,4
09-ago,2,6,3,,1,4
10-ago,2,6,3,,1,4
11-ago,2,5,3,,1,4
12-ago,2,5,3,,1,4
13-ago,3,5,2,,1,4
14-ago,2,5,3,,1,4
15-ago,2,5,3,,1,4
16-ago,2,5,3,,1,4
17-ago,2,5,3,,1,4
18-ago,2,5,3,,1,4
19-ago,3,6,4,1,2,5
20-ago,3,6,4,1,2,5
21-ago,3,6,4,1,2,5
22-ago,3,6,4,2,1,5
23-ago,2,6,4,3,1,5
