City,Population
Shanghai,22315474
Beijing,18960744
Shenzhen,17494398
Guangzhou,16096724
Chengdu,13568357
Tianjin,11090314
Wuhan,10392693
Dongguan,9644871
Xian,9600000
Nanjing,9314685
Hangzhou,9236032
Foshan,9042509
Fuzhou,7740000
Chongqing,7457599
Qingdao,7172451
Shenyang,7050000
Suzhou,6715559
Harbin,5242897
Hefei,5050000
Dalian,4913879
Xiamen,4617251
Wuxi,4396835
Jinan,4335989
Taiyuan,4303673
Zhengzhou,4253913
Changchun,4193073
Urumqi,4054000
Shijiazhuang,3938513
Kunming,3855346
Zhongshan,3841873
Nanning,3839800
Shantou,3838900
Ningbo,3731203
Puyang,3590000
Shiyan,3460000
Tangshan,3372102
Changzhou,3290918
Zibo,3129228
Changsha,3093980
Guiyang,3037159
UEruemqi,3029372
Lanzhou,3000000
Huizhou,2900113
Haikou,2873358
Linyi,2743843
Baoding,2739887
Wenzhou,2650000
Yunfu,2612800
Huaiyin,2494013
Nanchang,2357839
Hohhot,2350000
Shaoxing,2300000
Nantong,2273326
Yantai,2227733
Zhuhai,2207090
Maanshan,2159930
Baotou,2150000
Kunshan,2092496
Weifang,2044028
Zunyi,2037775
Lianyuan,2001009
Ganzhou,1977253
Ordos,1940653
Jieyang,1899394
Jilin,1881977
Nanchong,1858875
Datong,1850000
Nanyang,1811812
Jiangmen,1795459
Jiangyin,1779515
Fuyang,1768947
Bayan Nur,1760000
Chaozhou,1750945
Qingyuan,1738424
Taian,1735425
Xining,1677177
Changshu,1677050
Huainan,1666826
Lu'an,1644344
Yancheng,1615717
Taizhou,1607108
Deqing,1604027
Wuhu,1598165
Dazhou,1589435
Yangzhou,1584237
Guilin,1572300
Zhaoqing,1553109
Mianyang,1550000
Putian,1539389
Shangqiu,1536392
Yinchuan,1487579
Yiwu,1481384
Quanzhou,1469157
Jinhua,1463990
Cixi,1457510
Changde,1457419
Kaifeng,1451741
Anshan,1450000
Baoji,1437802
Suqian,1437685
Liuzhou,1436599
Zhangjiagang,1432044
Jinjiang,1416151
Bozhou,1409436
Qujing,1408500
Zhanjiang,1400709
Fushun,1400646
Luoyang,1390581
Guankou,1380000
Handan,1358318
Yichang,1350150
Heze,1346717
Liupanshui,1320825
Maoming,1307802
Qinzhou,1296300
Luohe,1294974
Xiangyang,1294733
Yangjiang,1292987
Yixing,1285785
Xuchang,1265536
Zigong,1262064
Xuzhou,1253991
Neijiang,1251095
Yiyang,1249807
Jining,1241012
Xinyang,1230042
Liaocheng,1229768
Jinzhong,1226617
Changzhi,1214940
Tianshui,1212791
Weinan,1199290
Jiaxing,1180000
Jiujiang,1164268
Anyang,1146839
Bijie,1137383
Zhuzhou,1129687
Shangrao,1116486
Huaibei,1113321
Meishan,1107742
Guigang,1086327
Hengyang,1075516
Yulin,1056743
Jingzhou,1052282
Xinxiang,1047088
Yichun,1045952
Xianyang,1034081
Sanya,1031396
Shaoguan,1028460
Longyan,1025087
Yongzhou,1020715
Huzhou,1015937
Wuwei,1010295
Hanzhong,1006557
Hezhou,1005490
Zhu Cheng City,1000000
Dongying,998968
Luzhou,998900
Meizhou,992351
Yueyang,991465
Laiwu,989535
Benxi,987717
Pingdingshan,979130
Bengbu,972784
Xiangtan,959303
Linfen,959198
Zhenjiang,950516
Baoshan,935618
Rui'an,927383
Laibin,910282
Xiaogan,908266
Ziyang,905729
Quzhou,902767
Zaozhuang,899753
Pingxiang,893550
Zhoushan,882932
Qiqihar,882364
Puning,874954
Ankang,870126
Langfang,868066
Jiaozuo,865413
Guang'an,858159
Weihai,844310
Zhabei,840000
Xinyu,839488
Yibin,836340
Taicang,831113
Chenzhou,822534
Anqing,804493
Xingtai,798770
Zhaotong,787845
Panzhihua,787177
Chuzhou,782671
Xuanzhou,774332
Shangyu,770000
Anshun,765313
Wuzhou,761948
Qinhuangdao,759718
Shaoyang,753194
Hegang,743307
Ma'anshan,741531
Deyang,735070
Yangquan,731228
Wanzhou,723215
Zhumadian,721670
Changzhi,699514
Zhangjiakou,692602
Fuxin,689050
Huangshi,688090
Liaoyang,687890
Baise,686078
Binzhou,682717
Yuncheng,680036
Dezhou,679535
Sanmenxia,669307
E'zhou,668727
Mudanjiang,665915
Leshan,662814
Rizhao,661943
Suining,656760
Puyang,655674
Hebi,634721
Jingmen,632954
Dandong,631973
Panshan,625040
Jiaozhou,619266
Suizhou,618582
Chizhou,615274
Ya'an,612056
Sanming,602166
Shuangyashan,600000
Luancheng,597130
Yingkou,591159
Zhangzhou,589831
Shihezi,572772
Wenchang,560894
Siping,555609
Huaihua,552622
Jiamusi,549549
Korla,549324
Wanning,545992
Xinzhou,544683
Pingdu,542234
Ji'an,538699
Guli,536000
Aksu,535657
Tanggu,535298
Shangluo,531696
Qionghai,528238
Cangzhou,527681
Beihai,525329
Hengshui,522147
Guangyuan,516424
Xianning,512517
Tonghua,510000
Banan,508703
Zhangye,507433
Kashgar,506640
Zhoukou,505171
Pingliang,504848
Zhucheng,499285
Loudi,497171
Shanwei,491766
Jianshui,490000
Xichang,481796
Jincheng,476945
Yan'an,475234
Shouguang,473620
Jingdezhen,473561
Shizuishan,472472
Jiaojiang,470804
Nanping,467875
Liaoyuan,465249
Heyuan,463907
Huangshan,460786
Lishui,451418
Wenshan City,450000
Chengde,449325
Basuo,444458
Zhangjiajie,441804
Bei'an,436444
Ningde,429260
Jiuquan,428346
Dingxi,420614
Tongchuan,417740
Guyuan,411854
Chaoyang,410005
Hotan,408894
Jixi,403759
Tongling,402062
Gaomi,391986
Chongzuo,384905
Qingyang,377528
Xuanhua,373422
Fenghuang,370000
Huanggang,366769
Anqiu,364208
Jizhou,362013
Huocheng,360000
Chifeng,346654
Yunlong,345393
Qitaihe,345033
Pizhou,343421
Shiqi,342306
Laixi,341470
Tieling,333907
Hechi,330131
Tongshan,329661
Yanji,326957
Lincang,323708
Xingyi,322890
Baicheng,316970
Lianshan,313247
Changyi,302072
Xinyi,300511
Yangshuo,300000
Linqu,299646
Simao,296565
Baiyin,294400
Gaozhou,292164
Xiuying,290000
Dengzhou,285032
Xinyuan,282718
Enshi,279185
Binhe,278055
Zoucheng,277400
Fangchenggang,276315
Kaili,275745
Xingning,274499
Linxia Chengguanzhen,274466
Turpan,273385
Yili,269158
Chengzhong,265886
Hulan Ergi,265344
Donghai,264709
Karamay,261445
Tongliao,261110
Nianbo,260184
Aral,260000
Changle,259161
Rugao,257400
Suicheng,256665
Nada,256652
Yanzhou,254788
Laohekou,253112
Suihua,252245
Wafangdian,250591
Beibei,247702
Hami,246373
Huayin,242488
Jiyuan,242143
Xiantao,239406
Qingzhou,236406
Yuci,235929
Bole,235585
Dali,235305
Jiayuguan,231853
Jinchang,228561
Fendou,226298
Huanggang,225956
Jingling,224871
Tongchuanshi,223603
Xintai,222459
Wuxue,220661
Wuhai,218427
Yintai,217509
Jinzhou,215386
Yingtan,214229
Luojiang,212186
Lijiang,211151
Hailar,211066
Daliang,210411
Hangu,208369
Jinghong,205523
Bishan,204702
Gaoping,204368
Qianjiang,203682
Beiliu,199769
Changji,198776
Duyun,198516
Kaiyuan,198423
Mentougou,197772
Jijiang,196787
Peicheng,195363
Ezhou,193652
Zhengding,193524
Hepu,192813
Fuding,192352
Humen,191891
Haicheng,191651
Altay,190064
Wanxian,188980
Guixi,188980
Laizhou,188000
Huixing,186972
Dunhuang,186027
Zaoyang,184509
Baishan,183880
