"country","spending","spending_text","text","lat","lng","continent","graph_group","color_graph","country_id","graph_text"
"United States",7.5e+11,"750 Billion","Country: United States
Military Sepnding: 750 Billion",38,-97,"North America","United States 750 Billion","#225600",1,"United States
$750 Billion"
"China",2.37e+11,"237 Billion","Country: China
Military Sepnding: 237 Billion",35,105,"Asia","Next 7 countries","#7c997c",2,"China
237"
"Saudi Arabia",6.76e+10,"67.6 Billion","Country: Saudi Arabia
Military Sepnding: 67.6 Billion",25,45,"Asia","Next 7 countries","#7c997c",3,"Saudi Arabia
67.6"
"India",6.1e+10,"61 Billion","Country: India
Military Sepnding: 61 Billion",20,77,"Asia","Next 7 countries","#7c997c",4,"India
61"
"United Kingdom",5.51e+10,"55.1 Billion","Country: United Kingdom
Military Sepnding: 55.1 Billion",54,-2,"Europe","Next 7 countries","#7c997c",5,"United Kingdom
55.1"
"Germany",5e+10,"50 Billion","Country: Germany
Military Sepnding: 50 Billion",51,9,"Europe","Next 7 countries","#7c997c",6,"Germany
50"
"Japan",4.9e+10,"49 Billion","Country: Japan
Military Sepnding: 49 Billion",36,138,"Asia","Next 7 countries","#7c997c",7,"Japan
49"
"Russia",4.8e+10,"48 Billion","Country: Russia
Military Sepnding: 48 Billion",60,100,"Asia","Next 7 countries","#7c997c",8,"Russia
48"
"France",4.15e+10,"41.5 Billion","Country: France
Military Sepnding: 41.5 Billion",46,2,"Europe","Rest of The World","#bebebe",10,""
"Brazil",2.78e+10,"27.8 Billion","Country: Brazil
Military Sepnding: 27.8 Billion",-10,-55,"South America","Rest of The World","#bebebe",11,""
"Italy",2.78e+10,"27.8 Billion","Country: Italy
Military Sepnding: 27.8 Billion",42.83,12.83,"Europe","Rest of The World","#bebebe",12,""
"Australia",2.63e+10,"26.3 Billion","Country: Australia
Military Sepnding: 26.3 Billion",-27,133,"Oceania","Rest of The World","#bebebe",13,""
"United Arab Emirates",2.2755e+10,"22.755 Billion","Country: United Arab Emirates
Military Sepnding: 22.755 Billion",24,54,"Asia","Rest of The World","#bebebe",14,""
"Canada",2.25e+10,"22.5 Billion","Country: Canada
Military Sepnding: 22.5 Billion",60,-95,"North America","Rest of The World","#bebebe",15,""
"Israel",2e+10,"20 Billion","Country: Israel
Military Sepnding: 20 Billion",31.5,34.75,"Asia","Rest of The World","#bebebe",16,""
"Iran",1.96e+10,"19.6 Billion","Country: Iran
Military Sepnding: 19.6 Billion",32,53,"Asia","Rest of The World","#bebebe",17,""
"Turkey",1.9e+10,"19 Billion","Country: Turkey
Military Sepnding: 19 Billion",39,35,"Asia","Rest of The World","#bebebe",18,""
"Spain",1.51e+10,"15.1 Billion","Country: Spain
Military Sepnding: 15.1 Billion",40,-4,"Europe","Rest of The World","#bebebe",19,""
"Algeria",1.3e+10,"13 Billion","Country: Algeria
Military Sepnding: 13 Billion",28,3,"Africa","Rest of The World","#bebebe",20,""
"Netherlands",1.2419e+10,"12.419 Billion","Country: Netherlands
Military Sepnding: 12.419 Billion",52.5,5.75,"Europe","Rest of The World","#bebebe",21,""
"Afghanistan",1.2e+10,"12 Billion","Country: Afghanistan
Military Sepnding: 12 Billion",33,65,"Asia","Rest of The World","#bebebe",22,""
"Poland",1.2e+10,"12 Billion","Country: Poland
Military Sepnding: 12 Billion",52,20,"Europe","Rest of The World","#bebebe",23,""
"Pakistan",1.14e+10,"11.4 Billion","Country: Pakistan
Military Sepnding: 11.4 Billion",30,70,"Asia","Rest of The World","#bebebe",24,""
"Egypt",1.12e+10,"11.2 Billion","Country: Egypt
Military Sepnding: 11.2 Billion",27,30,"Africa","Rest of The World","#bebebe",25,""
"Singapore",1.12e+10,"11.2 Billion","Country: Singapore
Military Sepnding: 11.2 Billion",1.37,103.8,"Asia","Rest of The World","#bebebe",26,""
"Colombia",1.06e+10,"10.6 Billion","Country: Colombia
Military Sepnding: 10.6 Billion",4,-72,"South America","Rest of The World","#bebebe",28,""
"Morocco",1e+10,"10 Billion","Country: Morocco
Military Sepnding: 10 Billion",32,-5,"Africa","Rest of The World","#bebebe",29,""
"Oman",8.686e+09,"8.686 Billion","Country: Oman
Military Sepnding: 8.686 Billion",21,57,"Asia","Rest of The World","#bebebe",30,""
"Indonesia",7.6e+09,"7.6 Billion","Country: Indonesia
Military Sepnding: 7.6 Billion",-5,120,"Asia","Rest of The World","#bebebe",31,""
"Norway",7.179e+09,"7.179 Billion","Country: Norway
Military Sepnding: 7.179 Billion",62,10,"Europe","Rest of The World","#bebebe",32,""
"Thailand",7.1e+09,"7.1 Billion","Country: Thailand
Military Sepnding: 7.1 Billion",15,100,"Asia","Rest of The World","#bebebe",33,""
"Mexico",7e+09,"7 Billion","Country: Mexico
Military Sepnding: 7 Billion",23,-102,"North America","Rest of The World","#bebebe",34,""
"Angola",7e+09,"7 Billion","Country: Angola
Military Sepnding: 7 Billion",-12.5,18.5,"Africa","Rest of The World","#bebebe",35,""
"Kuwait",6.831e+09,"6.831 Billion","Country: Kuwait
Military Sepnding: 6.831 Billion",29.34,47.66,"Asia","Rest of The World","#bebebe",36,""
"Sweden",6.327e+09,"6.327 Billion","Country: Sweden
Military Sepnding: 6.327 Billion",62,15,"Europe","Rest of The World","#bebebe",37,""
"Qatar",6e+09,"6 Billion","Country: Qatar
Military Sepnding: 6 Billion",25.5,51.25,"Asia","Rest of The World","#bebebe",38,""
"Vietnam",5.5e+09,"5.5 Billion","Country: Vietnam
Military Sepnding: 5.5 Billion",16,106,"Asia","Rest of The World","#bebebe",39,""
"Ukraine",5.4e+09,"5.4 Billion","Country: Ukraine
Military Sepnding: 5.4 Billion",49,32,"Europe","Rest of The World","#bebebe",40,""
"Romania",5.05e+09,"5.05 Billion","Country: Romania
Military Sepnding: 5.05 Billion",46,25,"Europe","Rest of The World","#bebebe",41,""
"Switzerland",5e+09,"5 Billion","Country: Switzerland
Military Sepnding: 5 Billion",47,8,"Europe","Rest of The World","#bebebe",42,""
"Uruguay",4.95e+09,"4.95 Billion","Country: Uruguay
Military Sepnding: 4.95 Billion",-33,-56,"South America","Rest of The World","#bebebe",43,""
"Belgium",4.921e+09,"4.921 Billion","Country: Belgium
Military Sepnding: 4.921 Billion",50.83,4,"Europe","Rest of The World","#bebebe",44,""
"Greece",4.844e+09,"4.844 Billion","Country: Greece
Military Sepnding: 4.844 Billion",39,22,"Europe","Rest of The World","#bebebe",45,""
"Denmark",4.76e+09,"4.76 Billion","Country: Denmark
Military Sepnding: 4.76 Billion",56,10,"Europe","Rest of The World","#bebebe",46,""
"New Zealand",4.3e+09,"4.3 Billion","Country: New Zealand
Military Sepnding: 4.3 Billion",-41,174,"Oceania","Rest of The World","#bebebe",47,""
"South Africa",4.278e+09,"4.278 Billion","Country: South Africa
Military Sepnding: 4.278 Billion",-29,24,"Africa","Rest of The World","#bebebe",48,""
"Chile",4.25e+09,"4.25 Billion","Country: Chile
Military Sepnding: 4.25 Billion",-30,-71,"South America","Rest of The World","#bebebe",49,""
"Argentina",4.2e+09,"4.2 Billion","Country: Argentina
Military Sepnding: 4.2 Billion",-34,-64,"South America","Rest of The World","#bebebe",50,""
"Malaysia",4e+09,"4 Billion","Country: Malaysia
Military Sepnding: 4 Billion",2.5,112.5,"Asia","Rest of The World","#bebebe",51,""
