Entity,Code,Year,Sales of cigarettes per adult per day (International Smoking Statistics (2017)) 
Armenia,ARM,1988,12
Armenia,ARM,1989,11.60000038146973
Armenia,ARM,1990,11.89999961853027
Armenia,ARM,1991,9.300000190734863
Armenia,ARM,1992,4.900000095367432
Armenia,ARM,1993,5.5
Armenia,ARM,1994,5.699999809265137
Armenia,ARM,1995,5.599999904632568
Armenia,ARM,1996,5.599999904632568
Armenia,ARM,1997,5.599999904632568
Armenia,ARM,1998,5.699999809265137
Australia,AUS,1920,1.600000023841858
Australia,AUS,1921,1.799999952316284
Australia,AUS,1922,1.600000023841858
Australia,AUS,1923,1.5
Australia,AUS,1924,1.600000023841858
Australia,AUS,1925,2.799999952316284
Australia,AUS,1926,1.600000023841858
Australia,AUS,1927,1.700000047683716
Australia,AUS,1928,1.799999952316284
Australia,AUS,1929,1.799999952316284
Australia,AUS,1930,3.700000047683716
Australia,AUS,1931,1.200000047683716
Australia,AUS,1932,1.100000023841858
Australia,AUS,1933,1.200000047683716
Australia,AUS,1934,1.200000047683716
Australia,AUS,1935,3.599999904632568
Australia,AUS,1936,1.299999952316284
Australia,AUS,1937,1.399999976158142
Australia,AUS,1938,1.5
Australia,AUS,1939,1.700000047683716
Australia,AUS,1940,4.900000095367432
Australia,AUS,1941,1.600000023841858
Australia,AUS,1942,1.799999952316284
Australia,AUS,1943,1.799999952316284
Australia,AUS,1944,1.799999952316284
Australia,AUS,1945,4.599999904632568
Australia,AUS,1946,1.799999952316284
Australia,AUS,1947,2.200000047683716
Australia,AUS,1948,2.700000047683716
Australia,AUS,1949,3.099999904632568
Australia,AUS,1950,7.300000190734863
Australia,AUS,1951,4.099999904632568
Australia,AUS,1952,4.099999904632568
Australia,AUS,1953,3.900000095367432
Australia,AUS,1954,4.5
Australia,AUS,1955,8.600000381469727
Australia,AUS,1956,5.199999809265137
Australia,AUS,1957,8.899999618530273
Australia,AUS,1958,5.800000190734863
Australia,AUS,1959,6.099999904632568
Australia,AUS,1960,9.100000381469727
Australia,AUS,1961,9
Australia,AUS,1962,8.800000190734863
Australia,AUS,1963,8.699999809265137
Australia,AUS,1964,8.800000190734863
Australia,AUS,1965,8.699999809265137
Australia,AUS,1966,8.899999618530273
Australia,AUS,1967,8.5
Australia,AUS,1968,8.800000190734863
Australia,AUS,1969,8.899999618530273
Australia,AUS,1970,9.100000381469727
Australia,AUS,1971,8.899999618530273
Australia,AUS,1972,9.199999809265137
Australia,AUS,1973,9.399999618530273
Australia,AUS,1974,10
Australia,AUS,1975,9.699999809265137
Australia,AUS,1976,9.100000381469727
Australia,AUS,1977,9.800000190734863
Australia,AUS,1978,9.600000381469727
Australia,AUS,1979,9.399999618530273
Australia,AUS,1980,9.699999809265137
Australia,AUS,1981,9.300000190734863
Australia,AUS,1982,8.899999618530273
Australia,AUS,1983,8.399999618530273
Australia,AUS,1984,8.199999809265137
Australia,AUS,1985,8.100000381469727
Australia,AUS,1986,8.100000381469727
Australia,AUS,1987,7.599999904632568
Australia,AUS,1988,7.599999904632568
Australia,AUS,1989,7.599999904632568
Australia,AUS,1990,7.599999904632568
Australia,AUS,1991,7.300000190734863
Australia,AUS,1992,7.300000190734863
Australia,AUS,1993,6.599999904632568
Australia,AUS,1994,6.400000095367432
Australia,AUS,1995,6.300000190734863
Australia,AUS,1996,5.599999904632568
Australia,AUS,1997,5.599999904632568
Australia,AUS,1998,5.400000095367432
Australia,AUS,1999,5.099999904632568
Australia,AUS,2000,4.900000095367432
Australia,AUS,2001,4.5
Australia,AUS,2002,4.300000190734863
Australia,AUS,2003,4.5
Australia,AUS,2004,4.300000190734863
Australia,AUS,2005,4.199999809265137
Australia,AUS,2006,4.099999904632568
Australia,AUS,2007,4.099999904632568
Australia,AUS,2008,4.199999809265137
Australia,AUS,2009,4.099999904632568
Australia,AUS,2010,4
Austria,AUT,1923,2.5
Austria,AUT,1924,2.900000095367432
Austria,AUT,1925,2.900000095367432
Austria,AUT,1926,3.099999904632568
Austria,AUT,1927,3.299999952316284
Austria,AUT,1928,3.400000095367432
Austria,AUT,1929,3.5
Austria,AUT,1930,3.5
Austria,AUT,1931,3.299999952316284
Austria,AUT,1932,3.400000095367432
Austria,AUT,1933,3
Austria,AUT,1934,2.900000095367432
Austria,AUT,1935,2.900000095367432
Austria,AUT,1936,2.900000095367432
Austria,AUT,1937,2.799999952316284
Austria,AUT,1938,3.200000047683716
Austria,AUT,1939,4
Austria,AUT,1940,5
Austria,AUT,1941,5.800000190734863
Austria,AUT,1942,5.300000190734863
Austria,AUT,1943,5.300000190734863
Austria,AUT,1944,4.199999809265137
Austria,AUT,1945,1.600000023841858
Austria,AUT,1946,1.100000023841858
Austria,AUT,1947,1.600000023841858
Austria,AUT,1948,2
Austria,AUT,1949,2.5
Austria,AUT,1950,3
Austria,AUT,1951,3.5
Austria,AUT,1952,3.700000047683716
Austria,AUT,1953,3.799999952316284
Austria,AUT,1954,3.299999952316284
Austria,AUT,1955,3.700000047683716
Austria,AUT,1956,4.099999904632568
Austria,AUT,1957,4.300000190734863
Austria,AUT,1958,4.599999904632568
Austria,AUT,1959,4.699999809265137
Austria,AUT,1960,4.800000190734863
Austria,AUT,1961,4.699999809265137
Austria,AUT,1962,4.900000095367432
Austria,AUT,1963,5.099999904632568
Austria,AUT,1964,5.199999809265137
Austria,AUT,1965,5.400000095367432
Austria,AUT,1966,5.800000190734863
Austria,AUT,1967,5.900000095367432
Austria,AUT,1968,6
Austria,AUT,1969,6.199999809265137
Austria,AUT,1970,6.5
Austria,AUT,1971,6.599999904632568
Austria,AUT,1972,6.5
Austria,AUT,1973,7
Austria,AUT,1974,6.900000095367432
Austria,AUT,1975,6.599999904632568
Austria,AUT,1976,6.800000190734863
Austria,AUT,1977,6.900000095367432
Austria,AUT,1978,7
Austria,AUT,1979,7.199999809265137
Austria,AUT,1980,7.099999904632568
Austria,AUT,1981,7.099999904632568
Austria,AUT,1982,7
Austria,AUT,1983,7.199999809265137
Austria,AUT,1984,7
Austria,AUT,1985,7
Austria,AUT,1986,7
Austria,AUT,1987,6.800000190734863
Austria,AUT,1988,6.400000095367432
Austria,AUT,1989,6.199999809265137
Austria,AUT,1990,6.300000190734863
Austria,AUT,1991,6.400000095367432
Austria,AUT,1992,6.099999904632568
Austria,AUT,1993,5.800000190734863
Austria,AUT,1994,5.900000095367432
Austria,AUT,1995,5.599999904632568
Austria,AUT,1996,5.400000095367432
Austria,AUT,1997,5.699999809265137
Austria,AUT,1998,6.400000095367432
Austria,AUT,1999,6.599999904632568
