Year;Non-electoral autocracies;One-party autocracies;Multi-party autocracies without elected executive;Multi-party autocracy;Exclusive democracies;Male democracies;Electoral democracies;Polyarchies;Frec Total;Frec Non-electoral autocracies;Frec One-party autocracies;Frec Multi-party autocracies without elected executive;Frec Multi-party autocracy;Frec Exclusive democracies;Frec Male democracies;Frec Electoral democracies;Frec Polyarchies
1789;73;0;1;1;1;0;0;0;76;0,961;0;0,013;0,013;0,013;0;0;0
1790;74;0;1;1;1;0;0;0;77;0,961;0;0,013;0,013;0,013;0;0;0
1791;72;0;3;1;1;0;0;0;77;0,935;0;0,039;0,013;0,013;0;0;0
1792;72;0;2;1;1;1;0;0;77;0,935;0;0,026;0,013;0,013;0,013;0;0
1793;73;0;2;1;1;0;0;0;77;0,948;0;0,026;0,013;0,013;0;0;0
1794;73;0;2;1;1;0;0;0;77;0,948;0;0,026;0,013;0,013;0;0;0
1795;74;0;2;1;1;0;0;0;78;0,949;0;0,026;0,013;0,013;0;0;0
1796;72;0;3;1;1;0;0;0;77;0,935;0;0,039;0,013;0,013;0;0;0
1797;72;0;3;1;1;0;0;0;77;0,935;0;0,039;0,013;0,013;0;0;0
1798;73;0;3;1;1;0;0;0;78;0,936;0;0,038;0,013;0,013;0;0;0
1799;73;0;3;1;1;0;0;0;78;0,936;0;0,038;0,013;0,013;0;0;0
1800;74;0;3;1;1;0;0;0;79;0,937;0;0,038;0,013;0,013;0;0;0
1801;75;0;2;1;1;0;0;0;79;0,949;0;0,025;0,013;0,013;0;0;0
1802;75;0;2;1;1;0;0;0;79;0,949;0;0,025;0,013;0,013;0;0;0
1803;75;0;2;1;1;0;0;0;79;0,949;0;0,025;0,013;0,013;0;0;0
1804;76;0;2;1;1;0;0;0;80;0,950;0;0,025;0,013;0,013;0;0;0
1805;76;0;2;1;1;0;0;0;80;0,950;0;0,025;0,013;0,013;0;0;0
1806;77;0;2;1;1;0;0;0;81;0,951;0;0,025;0,012;0,012;0;0;0
1807;76;0;2;1;1;0;0;0;80;0,950;0;0,025;0,013;0,013;0;0;0
1808;76;0;2;1;1;0;0;0;80;0,950;0;0,025;0,013;0,013;0;0;0
1809;77;0;3;1;1;0;0;0;82;0,939;0;0,037;0,012;0,012;0;0;0
1810;77;0;3;1;1;0;0;0;82;0,939;0;0,037;0,012;0,012;0;0;0
1811;77;0;3;2;1;0;0;0;83;0,928;0;0,036;0,024;0,012;0;0;0
1812;76;1;3;2;1;0;0;0;83;0,916;0,012;0,036;0,024;0,012;0;0;0
1813;76;1;3;2;1;0;0;0;83;0,916;0,012;0,036;0,024;0,012;0;0;0
1814;78;1;4;2;1;0;0;0;86;0,907;0,012;0,047;0,023;0,012;0;0;0
1815;78;1;5;2;1;0;0;0;87;0,897;0,011;0,057;0,023;0,011;0;0;0
1816;76;2;6;2;1;0;0;0;87;0,874;0,023;0,069;0,023;0,011;0;0;0
1817;77;2;6;2;1;0;0;0;88;0,875;0,023;0,068;0,023;0,011;0;0;0
1818;74;2;9;2;1;0;0;0;88;0,841;0,023;0,102;0,023;0,011;0;0;0
1819;72;2;11;2;1;0;0;0;88;0,818;0,023;0,125;0,023;0,011;0;0;0
1820;70;1;13;3;1;0;0;0;88;0,795;0,011;0,148;0,034;0,011;0;0;0
1821;69;2;13;3;1;0;0;0;88;0,784;0,023;0,148;0,034;0,011;0;0;0
1822;68;2;14;4;1;0;0;0;89;0,764;0,022;0,157;0,045;0,011;0;0;0
1823;69;3;12;4;1;0;0;0;89;0,775;0,034;0,135;0,045;0,011;0;0;0
1824;69;5;12;2;1;0;0;0;89;0,775;0,056;0,135;0,022;0,011;0;0;0
1825;69;4;12;5;1;0;0;0;91;0,758;0,044;0,132;0,055;0,011;0;0;0
1826;66;7;13;4;1;0;0;0;91;0,725;0,077;0,143;0,044;0,011;0;0;0
1827;66;7;13;4;1;0;0;0;91;0,725;0,077;0,143;0,044;0,011;0;0;0
1828;68;5;12;5;1;0;0;0;91;0,747;0,055;0,132;0,055;0,011;0;0;0
1829;68;6;12;4;1;0;0;0;91;0,747;0,066;0,132;0,044;0,011;0;0;0
1830;64;8;14;6;2;0;0;0;94;0,681;0,085;0,149;0,064;0,021;0;0;0
1831;61;7;17;7;2;0;0;0;94;0,649;0,074;0,181;0,074;0,021;0;0;0
1832;62;6;17;7;3;0;0;0;95;0,653;0,063;0,179;0,074;0,032;0;0;0
1833;62;5;17;8;3;0;0;0;95;0,653;0,053;0,179;0,084;0,032;0;0;0
1834;60;7;19;6;3;0;0;0;95;0,632;0,074;0,200;0,063;0,032;0;0;0
1835;60;7;19;6;3;0;0;0;95;0,632;0,074;0,200;0,063;0,032;0;0;0
1836;60;6;20;6;3;0;0;0;95;0,632;0,063;0,211;0,063;0,032;0;0;0
1837;61;6;19;6;3;0;0;0;95;0,642;0,063;0,200;0,063;0,032;0;0;0
1838;63;8;19;6;3;0;0;0;99;0,636;0,081;0,192;0,061;0,030;0;0;0
1839;63;7;20;7;3;0;0;0;100;0,630;0,070;0,200;0,070;0,030;0;0;0
1840;64;4;20;10;3;0;0;0;101;0,634;0,040;0,198;0,099;0,030;0;0;0
1841;67;4;21;8;3;0;0;0;103;0,650;0,039;0,204;0,078;0,029;0;0;0
1842;65;5;22;8;3;0;0;0;103;0,631;0,049;0,214;0,078;0,029;0;0;0
1843;64;5;23;8;3;0;0;0;103;0,621;0,049;0,223;0,078;0,029;0;0;0
1844;61;8;25;7;3;0;0;0;104;0,587;0,077;0,240;0,067;0,029;0;0;0
1845;61;9;24;8;3;0;0;0;105;0,581;0,086;0,229;0,076;0,029;0;0;0
1846;61;8;26;7;3;0;0;0;105;0,581;0,076;0,248;0,067;0,029;0;0;0
1847;61;9;24;8;3;0;0;0;105;0,581;0,086;0,229;0,076;0,029;0;0;0
1848;56;7;26;10;4;2;0;0;105;0,533;0,067;0,248;0,095;0,038;0,019;0;0
1849;56;6;28;9;4;2;0;0;105;0,533;0,057;0,267;0,086;0,038;0,019;0;0
1850;56;7;27;9;5;1;0;0;105;0,533;0,067;0,257;0,086;0,048;0,010;0;0
1851;57;7;27;8;4;2;0;0;105;0,543;0,067;0,257;0,076;0,038;0,019;0;0
1852;57;5;29;10;4;1;0;0;106;0,538;0,047;0,274;0,094;0,038;0,009;0;0
1853;57;6;29;10;4;1;0;0;107;0,533;0,056;0,271;0,093;0,037;0,009;0;0
1854;55;7;33;8;4;1;0;0;108;0,509;0,065;0,306;0,074;0,037;0,009;0;0
1855;53;6;33;9;6;1;0;0;108;0,491;0,056;0,306;0,083;0,056;0,009;0;0
1856;54;6;33;9;6;1;0;0;109;0,495;0,055;0,303;0,083;0,055;0,009;0;0
1857;52;7;33;10;6;1;0;0;109;0,477;0,064;0,303;0,092;0,055;0,009;0;0
1858;53;7;35;7;6;1;0;0;109;0,486;0,064;0,321;0,064;0,055;0,009;0;0
1859;55;4;35;9;6;1;0;0;110;0,500;0,036;0,318;0,082;0,055;0,009;0;0
1860;54;3;36;10;6;1;0;0;110;0,491;0,027;0,327;0,091;0,055;0,009;0;0
1861;51;4;35;9;6;1;0;0;106;0,481;0,038;0,330;0,085;0,057;0,009;0;0
1862;51;7;34;8;6;1;0;0;107;0,477;0,065;0,318;0,075;0,056;0,009;0;0
1863;52;8;35;6;6;1;0;0;108;0,481;0,074;0,324;0,056;0,056;0,009;0;0
1864;51;7;36;7;6;1;0;0;108;0,472;0,065;0,333;0,065;0,056;0,009;0;0
1865;51;7;33;8;8;1;0;0;108;0,472;0,065;0,306;0,074;0,074;0,009;0;0
1866;51;8;32;8;8;1;0;0;108;0,472;0,074;0,296;0,074;0,074;0,009;0;0
1867;50;8;32;9;9;1;0;0;109;0,459;0,073;0,294;0,083;0,083;0,009;0;0
1868;47;9;29;11;9;1;0;0;106;0,443;0,085;0,274;0,104;0,085;0,009;0;0
1869;47;9;29;11;9;1;0;0;106;0,443;0,085;0,274;0,104;0,085;0,009;0;0
1870;47;8;28;11;9;2;0;0;105;0,448;0,076;0,267;0,105;0,086;0,019;0;0
1871;47;7;22;11;9;2;0;0;98;0,480;0,071;0,224;0,112;0,092;0,020;0;0
1872;47;6;22;12;9;2;0;0;98;0,480;0,061;0,224;0,122;0,092;0,020;0;0
1873;48;5;20;14;9;2;0;0;98;0,490;0,051;0,204;0,143;0,092;0,020;0;0
1874;51;4;20;15;9;2;0;0;101;0,505;0,040;0,198;0,149;0,089;0,020;0;0
1875;52;6;19;14;9;2;0;0;102;0,510;0,059;0,186;0,137;0,088;0,020;0;0
1876;54;7;20;10;9;2;0;0;102;0,529;0,069;0,196;0,098;0,088;0,020;0;0
1877;55;5;21;12;8;2;0;0;103;0,534;0,049;0,204;0,117;0,078;0,019;0;0
1878;57;6;20;12;8;2;0;0;105;0,543;0,057;0,190;0,114;0,076;0,019;0;0
1879;57;8;21;9;7;3;0;0;105;0,543;0,076;0,200;0,086;0,067;0,029;0;0
1880;56;4;21;14;7;3;0;0;105;0,533;0,038;0,200;0,133;0,067;0,029;0;0
1881;57;4;20;14;7;3;0;0;105;0,543;0,038;0,190;0,133;0,067;0,029;0;0
1882;56;6;20;14;7;3;0;0;106;0,528;0,057;0,189;0,132;0,066;0,028;0;0
1883;54;5;22;14;8;3;0;0;106;0,509;0,047;0,208;0,132;0,075;0,028;0;0
