Entity,Code,Year,Contribution to sex gap in life expectancy (years) - Age_group: 80+,Contribution to sex gap in life expectancy (years) - Age_group: 60-79,Contribution to sex gap in life expectancy (years) - Age_group: 40-59,Contribution to sex gap in life expectancy (years) - Age_group: 15-39,Contribution to sex gap in life expectancy (years) - Age_group: 1-14,Contribution to sex gap in life expectancy (years) - Age_group: 0
Australia,AUS,1921,0.1685116,1.2147274,1.1725082,0.17892571,0.36003032,0.980186
Australia,AUS,1922,0.121093355,1.3003106,1.0973507,0.28735736,0.35283604,1.0794595
Australia,AUS,1923,0.13489516,1.1683017,1.0811315,0.09469097,0.37688422,0.82507247
Australia,AUS,1924,0.13634062,1.335952,1.0954794,0.14906713,0.35578832,0.6750079
Australia,AUS,1925,0.16349354,1.3199291,1.2055258,0.2984914,0.33209762,0.76858693
Australia,AUS,1926,0.2048914,1.2441632,1.1219937,0.14654452,0.43839002,0.92697924
Australia,AUS,1927,0.1720453,1.153503,1.1925417,0.121013865,0.38138503,0.7375196
Australia,AUS,1928,0.10896413,1.1647031,1.0769832,0.08704426,0.24187505,0.71088564
Australia,AUS,1929,0.17986795,1.408159,1.0670004,0.3779777,0.32640415,0.9354663
Australia,AUS,1930,0.2291364,1.2604178,1.0268482,0.23794773,0.3541345,0.64439064
Australia,AUS,1931,0.19271523,1.3380789,1.0013156,0.10953438,0.42243776,0.72719914
Australia,AUS,1932,0.2259351,1.3861153,0.9450259,0.1773622,0.39487028,0.6378798
Australia,AUS,1933,0.20693436,1.5015142,1.1079648,0.13308027,0.26719305,0.59525007
Australia,AUS,1934,0.22257254,1.2977625,0.93028426,0.17776237,0.34875345,0.6245043
Australia,AUS,1935,0.18866251,1.4716967,1.1942226,0.18091464,0.2853936,0.67524946
Australia,AUS,1936,0.20423684,1.4659739,1.1309823,0.15408742,0.3250751,0.5450275
Australia,AUS,1937,0.22938098,1.5181874,1.1696832,0.40220067,0.3148133,0.56795746
Australia,AUS,1938,0.19407617,1.4958239,1.0958433,0.28177074,0.33538833,0.7326761
Australia,AUS,1939,0.21009737,1.5473175,1.2172177,0.45202196,0.3225787,0.68533474
Australia,AUS,1940,0.2359946,1.6971536,1.2908673,0.5420023,0.31930676,0.62545073
Australia,AUS,1941,0.19402851,1.5702587,1.132632,0.28042996,0.4041319,0.6067528
Australia,AUS,1942,0.22234216,1.6795079,1.1990042,-0.060895994,0.3119316,0.6577123
Australia,AUS,1943,0.21970536,1.726348,0.9993303,-0.17315795,0.33264056,0.5780516
Australia,AUS,1944,0.22022514,1.6981677,0.9397654,-0.18670224,0.37069744,0.50410324
Australia,AUS,1945,0.23172519,1.7336121,0.9750292,-0.06935136,0.31184635,0.48741907
Australia,AUS,1946,0.23384002,1.9285417,1.1366864,0.3329392,0.15758006,0.4955024
Australia,AUS,1947,0.20292066,1.9935118,1.2994673,0.41064265,0.30179286,0.47467494
Australia,AUS,1948,0.212405,1.986251,1.2644255,0.62353873,0.28547806,0.49625528
Australia,AUS,1949,0.2927853,2.136379,1.3005824,0.74837685,0.23255403,0.43102702
Australia,AUS,1950,0.24348891,2.2103753,1.3006197,0.75479454,0.28444335,0.41008964
Australia,AUS,1951,0.25200117,2.2859857,1.4223292,0.9506372,0.24199843,0.36224082
Australia,AUS,1952,0.24416202,2.3839128,1.4025967,0.96259797,0.14841096,0.4519497
Australia,AUS,1953,0.27336854,2.3438742,1.3718537,0.9149851,0.23509559,0.3552876
Australia,AUS,1954,0.28503048,2.4174874,1.3584337,0.91203076,0.24126963,0.39773932
Australia,AUS,1955,0.3355718,2.508561,1.4733013,1.0215254,0.18107626,0.39122492
Australia,AUS,1956,0.33697665,2.5396938,1.4936892,0.9273504,0.17544489,0.29156277
Australia,AUS,1957,0.30014873,2.6067698,1.5307537,1.0168394,0.20065792,0.35670993
Australia,AUS,1958,0.37038377,2.6650126,1.5050446,1.028222,0.1734795,0.3280731
Australia,AUS,1959,0.32180798,2.8467653,1.5679867,1.0044435,0.19060613,0.36649472
Australia,AUS,1960,0.37349632,2.825196,1.5580294,0.8931642,0.11775503,0.33728895
Australia,AUS,1961,0.4322395,2.881159,1.7307743,0.9155373,0.16328643,0.3492341
Australia,AUS,1962,0.42316827,2.8705344,1.7225997,0.9374772,0.15068403,0.3726183
Australia,AUS,1963,0.4152688,3.0019748,1.6530329,0.8705372,0.13601966,0.32943165
Australia,AUS,1964,0.4110083,3.0240326,1.740438,0.873727,0.1526554,0.29076034
Australia,AUS,1965,0.4062406,3.089072,1.6701775,0.9412572,0.15230194,0.32184428
Australia,AUS,1966,0.40490836,3.0567503,1.6094428,0.92617494,0.18339601,0.31501767
Australia,AUS,1967,0.44593215,3.1631215,1.6818498,0.9597115,0.13868862,0.3399208
Australia,AUS,1968,0.4510083,3.2049408,1.7148553,0.97887266,0.11047763,0.30952385
Australia,AUS,1969,0.47157028,3.184438,1.7767055,1.0012913,0.12300507,0.36604813
Australia,AUS,1970,0.4535516,3.1319852,1.6669676,0.9721885,0.14083004,0.38623592
Australia,AUS,1971,0.5104484,3.0900338,1.6018927,0.9956085,0.15841593,0.2908285
Australia,AUS,1972,0.53082806,3.2591681,1.6399727,0.93691957,0.13453038,0.33353195
Australia,AUS,1973,0.5346207,3.3501616,1.67034,1.0201452,0.14874744,0.3064464
Australia,AUS,1974,0.55708987,3.2387774,1.665774,1.0754006,0.13791233,0.36397192
Australia,AUS,1975,0.6571005,3.2155194,1.7336298,1.0508404,0.12416151,0.25915217
Australia,AUS,1976,0.63223976,3.318294,1.679683,1.0170294,0.14020295,0.21445657
Australia,AUS,1977,0.68158054,3.2709684,1.5917416,1.0675358,0.14444715,0.2310962
Australia,AUS,1978,0.71507734,3.338757,1.5770258,1.0542203,0.09095929,0.21876958
Australia,AUS,1979,0.7416946,3.3724728,1.6599705,1.0405548,0.11566143,0.21250272
Australia,AUS,1980,0.77596813,3.4388046,1.6466919,0.99204123,0.12081529,0.16066362
Australia,AUS,1981,0.82511663,3.3787017,1.5797068,1.0037377,0.13498686,0.20865369
Australia,AUS,1982,0.8047121,3.3558638,1.4447168,1.0312725,0.15114057,0.18771835
Australia,AUS,1983,0.8863807,3.2362056,1.3667916,0.9448109,0.10499048,0.13630727
Australia,AUS,1984,0.85455877,3.1747577,1.3620617,0.8722466,0.11900452,0.19192274
Australia,AUS,1985,0.8385857,3.0960553,1.207912,0.9628039,0.111228116,0.1759523
Australia,AUS,1986,0.8805261,3.0659564,1.2161508,0.95965755,0.09737911,0.19412862
Australia,AUS,1987,0.90283465,3.1028214,1.2010779,0.9424882,0.11240798,0.16395305
Australia,AUS,1988,0.9349771,3.0837767,1.1336193,1.0312444,0.060618673,0.17517829
Australia,AUS,1989,0.8887398,3.025038,1.0684152,1.0430565,0.09082143,0.14456086
Australia,AUS,1990,0.9812212,2.9203534,1.1004502,0.95993924,0.08071724,0.1270168
Australia,AUS,1991,1.0132548,2.8746123,1.0310259,0.89117134,0.06408413,0.13009512
Australia,AUS,1992,0.98509806,2.9225225,0.9830716,0.886198,0.052224383,0.15702747
Australia,AUS,1993,1.0699737,2.8240628,0.99111384,0.8899378,0.07117348,0.1108597
Australia,AUS,1994,1.0372124,2.8547635,0.9287577,0.9359411,0.054549024,0.095184505
Australia,AUS,1995,1.063424,2.698959,0.8861007,0.9652459,0.0440761,0.08556267
Australia,AUS,1996,1.1108178,2.6838458,0.86268944,0.99625295,0.045237277,0.105131045
Australia,AUS,1997,1.0358105,2.6110184,0.8324947,0.914157,0.06783455,0.05705182
Australia,AUS,1998,1.1225955,2.5899513,0.80172193,1.0181937,0.045521393,0.0989884
Australia,AUS,1999,1.0930139,2.516882,0.8165595,0.9862121,0.027722072,0.10322132
Australia,AUS,2000,1.0977603,2.4280853,0.78629875,0.8932479,0.049269132,0.06886103
Australia,AUS,2001,1.1175104,2.3422596,0.76691306,0.8340717,0.04997172,0.11930255
Australia,AUS,2002,1.1364416,2.241827,0.73369837,0.77279556,0.06604253,0.047751434
Australia,AUS,2003,1.1367748,2.2146184,0.7978917,0.7020512,0.030625166,0.089578636
Australia,AUS,2004,1.1784413,2.1576083,0.76758415,0.6733129,0.0554955,0.074656755
Australia,AUS,2005,1.1173187,2.0861945,0.8029024,0.6966049,0.042346265,0.058049493
Australia,AUS,2006,1.1648432,2.0175383,0.74485457,0.62508494,0.028147211,0.09211728
Australia,AUS,2007,1.116226,1.9826607,0.78803355,0.64348274,0.03615806,0.054948077
Australia,AUS,2008,1.1187336,1.9175143,0.7804784,0.6179852,0.04617781,0.07696072
Australia,AUS,2009,1.1378866,1.9417748,0.74107385,0.61403507,0.019663533,0.0992133
Australia,AUS,2010,1.1266803,1.8190151,0.7461912,0.5478523,0.04129376,0.10935487
Australia,AUS,2011,1.1261781,1.8770212,0.73294425,0.52592015,0.009824584,0.062091585
Australia,AUS,2012,1.05215,1.6945126,0.7093869,0.5241656,0.028057389,0.028673789
