who,TEAGE,category,n,N,p,X,Y,whofct
Alone,15,Alone,287,1071,0.2679738562091503,0.7260841836734694,100,Alone
Alone,15,Family,0,0,0,0.7260841836734694,100,Alone
Alone,15,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,15,Work,0,0,0,0.7260841836734694,100,Alone
Alone,16,Alone,390,1391,0.2803738317757009,0.7260841836734694,100,Alone
Alone,16,Family,0,0,0,0.7260841836734694,100,Alone
Alone,16,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,16,Work,0,0,0,0.7260841836734694,100,Alone
Alone,17,Alone,508,1561,0.3254324151185138,0.7260841836734694,100,Alone
Alone,17,Family,0,0,0,0.7260841836734694,100,Alone
Alone,17,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,17,Work,0,0,0,0.7260841836734694,100,Alone
Alone,18,Alone,357,1028,0.3472762645914397,0.7260841836734694,100,Alone
Alone,18,Family,0,0,0,0.7260841836734694,100,Alone
Alone,18,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,18,Work,0,0,0,0.7260841836734694,100,Alone
Alone,19,Alone,266,878,0.30296127562642367,0.7260841836734694,100,Alone
Alone,19,Family,0,0,0,0.7260841836734694,100,Alone
Alone,19,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,19,Work,0,0,0,0.7260841836734694,100,Alone
Alone,20,Alone,327,836,0.3911483253588517,0.7260841836734694,100,Alone
Alone,20,Family,0,0,0,0.7260841836734694,100,Alone
Alone,20,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,20,Work,0,0,0,0.7260841836734694,100,Alone
Alone,21,Alone,342,737,0.46404341926729986,0.7260841836734694,100,Alone
Alone,21,Family,0,0,0,0.7260841836734694,100,Alone
Alone,21,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,21,Work,0,0,0,0.7260841836734694,100,Alone
Alone,22,Alone,303,965,0.3139896373056995,0.7260841836734694,100,Alone
Alone,22,Family,0,0,0,0.7260841836734694,100,Alone
Alone,22,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,22,Work,0,0,0,0.7260841836734694,100,Alone
Alone,23,Alone,494,1148,0.43031358885017423,0.7260841836734694,100,Alone
Alone,23,Family,0,0,0,0.7260841836734694,100,Alone
Alone,23,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,23,Work,0,0,0,0.7260841836734694,100,Alone
Alone,24,Alone,418,1242,0.3365539452495974,0.7260841836734694,100,Alone
Alone,24,Family,0,0,0,0.7260841836734694,100,Alone
Alone,24,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,24,Work,0,0,0,0.7260841836734694,100,Alone
Alone,25,Alone,517,1199,0.43119266055045874,0.7260841836734694,100,Alone
Alone,25,Family,0,0,0,0.7260841836734694,100,Alone
Alone,25,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,25,Work,0,0,0,0.7260841836734694,100,Alone
Alone,26,Alone,541,1560,0.3467948717948718,0.7260841836734694,100,Alone
Alone,26,Family,0,0,0,0.7260841836734694,100,Alone
Alone,26,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,26,Work,0,0,0,0.7260841836734694,100,Alone
Alone,27,Alone,470,1448,0.324585635359116,0.7260841836734694,100,Alone
Alone,27,Family,0,0,0,0.7260841836734694,100,Alone
Alone,27,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,27,Work,0,0,0,0.7260841836734694,100,Alone
Alone,28,Alone,635,1998,0.3178178178178178,0.7260841836734694,100,Alone
Alone,28,Family,0,0,0,0.7260841836734694,100,Alone
Alone,28,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,28,Work,0,0,0,0.7260841836734694,100,Alone
Alone,29,Alone,745,2715,0.27440147329650094,0.7260841836734694,100,Alone
Alone,29,Family,0,0,0,0.7260841836734694,100,Alone
Alone,29,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,29,Work,0,0,0,0.7260841836734694,100,Alone
Alone,30,Alone,769,3217,0.23904258626049113,0.7260841836734694,100,Alone
Alone,30,Family,0,0,0,0.7260841836734694,100,Alone
Alone,30,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,30,Work,0,0,0,0.7260841836734694,100,Alone
Alone,31,Alone,693,3057,0.2266928361138371,0.7260841836734694,100,Alone
Alone,31,Family,0,0,0,0.7260841836734694,100,Alone
Alone,31,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,31,Work,0,0,0,0.7260841836734694,100,Alone
Alone,32,Alone,845,3620,0.23342541436464087,0.7260841836734694,100,Alone
Alone,32,Family,0,0,0,0.7260841836734694,100,Alone
Alone,32,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,32,Work,0,0,0,0.7260841836734694,100,Alone
Alone,33,Alone,922,3824,0.24110878661087867,0.7260841836734694,100,Alone
Alone,33,Family,0,0,0,0.7260841836734694,100,Alone
Alone,33,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,33,Work,0,0,0,0.7260841836734694,100,Alone
Alone,34,Alone,866,3862,0.2242361470740549,0.7260841836734694,100,Alone
Alone,34,Family,0,0,0,0.7260841836734694,100,Alone
Alone,34,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,34,Work,0,0,0,0.7260841836734694,100,Alone
Alone,35,Alone,852,4416,0.19293478260869565,0.7260841836734694,100,Alone
Alone,35,Family,0,0,0,0.7260841836734694,100,Alone
Alone,35,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,35,Work,0,0,0,0.7260841836734694,100,Alone
Alone,36,Alone,793,4231,0.18742614039234223,0.7260841836734694,100,Alone
Alone,36,Family,0,0,0,0.7260841836734694,100,Alone
Alone,36,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,36,Work,0,0,0,0.7260841836734694,100,Alone
Alone,37,Alone,926,4099,0.22590875823371553,0.7260841836734694,100,Alone
Alone,37,Family,0,0,0,0.7260841836734694,100,Alone
Alone,37,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,37,Work,0,0,0,0.7260841836734694,100,Alone
Alone,38,Alone,940,4147,0.22666988184229564,0.7260841836734694,100,Alone
Alone,38,Family,0,0,0,0.7260841836734694,100,Alone
Alone,38,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,38,Work,0,0,0,0.7260841836734694,100,Alone
Alone,39,Alone,939,3900,0.24076923076923076,0.7260841836734694,100,Alone
Alone,39,Family,0,0,0,0.7260841836734694,100,Alone
Alone,39,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,39,Work,0,0,0,0.7260841836734694,100,Alone
Alone,40,Alone,938,3812,0.24606505771248688,0.7260841836734694,100,Alone
Alone,40,Family,0,0,0,0.7260841836734694,100,Alone
Alone,40,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,40,Work,0,0,0,0.7260841836734694,100,Alone
Alone,41,Alone,1000,4467,0.2238638907544213,0.7260841836734694,100,Alone
Alone,41,Family,0,0,0,0.7260841836734694,100,Alone
