Country,COVID19_cases,Genomes,Location,Prop_sequenced_cases
Brazil,29863840,129677,Brazil,0.4
Argentina,9028730,13436,Argentina,0.1
Colombia,6084029,16345,Colombia,0.3
Mexico,5651553,58369,Mexico,1
Peru,3545628,19515,Peru,0.6
Chile,3458499,22900,Chile,0.7
Cuba,1088638,2,Greater Antilles,0
Bolivia,901587,271,Bolivia,0
Uruguay,884771,877,Uruguay,0.1
Ecuador,874012,5136,Ecuador,0.6
Costa Rica,835849,3697,Central America,0.4
Guatemala,824687,1813,Central America,0.2
Panama,763608,4048,Central America,0.5
Paraguay,647905,1270,Paraguay,0.2
Dominican Republic,577910,1162,Greater Antilles,0.2
Venezuela,517172,344,Venezuela,0.1
Honduras,420998,231,Central America,0.1
El Salvador,161052,470,Central America,0.3
Trinidad and Tobago,137248,2381,Lesser Antilles,1.7
Guadeloupe,135981,774,Lesser Antilles,0.6
Jamaica,128798,1126,Greater Antilles,0.9
Suriname,79173,1066,Suriname,1.3
Guyana,63235,144,Guyana,0.2
Barbados,58634,114,Lesser Antilles,0.2
Belize,57253,685,Central America,1.2
Curacao,40347,1513,Lesser Antilles,3.7
Aruba,33966,3167,Lesser Antilles,9.3
Bahamas,33267,263,Lucayan Archipelago + Bermuda,0.8
Haiti,29549,186,Greater Antilles,0.6
Saint Lucia,22941,142,Lesser Antilles,0.6
Nicaragua,14270,564,Central America,4
Grenada,13996,58,Lesser Antilles,0.4
Bermuda,12461,134,Lucayan Archipelago + Bermuda,1.1
Dominica,11844,30,Lesser Antilles,0.3
Saint Martin,9988,240,Lesser Antilles,2.4
Sint Maarten,9703,2326,Lesser Antilles,24
Saint Vincent and the Grenadines,8532,217,Lesser Antilles,2.5
Bonaire,8189,1318,Lesser Antilles,16.1
Antigua and Barbuda,7499,187,Lesser Antilles,2.5
Saint Kitts and Nevis,5549,74,Lesser Antilles,1.3
Saint Barthélemy,3883,14,Lesser Antilles,0.4
