"City","Affordable_Rent_Wage","Difference","Average_Wage"
"New York, NY",140000,-82610,57390
"Jersey City, NJ",119000,-61610,57390
"San Jose, CA",92800,-16060,76740
"Boston, MA",92560,-31470,61090
"Miami, FL",89160,-45450,43710
"San Francisco, CA",87640,-22120,65520
"San Diego, CA",79840,-30130,49710
"Santa Ana, CA",79320,-30850,48470
"Washington, DC",77440,-14140,63300
"Anaheim, CA",77360,-30540,46820
"Arlington, VA",76000,-12700,63300
"Charleston, SC",73360,-30540,42820
"Fort Lauderdale, FL",72600,-28890,43710
"Los Angeles, CA",72120,-23650,48470
"Oakland, CA",70120,-4600,65520
"Virginia Beach, VA",67560,-22220,45340
"Nashville, TN",67160,-22860,44300
"Orlando, FL",67040,-28010,39030
"Scottsdale, AZ",66120,-19830,46290
"Newark, NJ",65520,-8130,57390
"Chicago, IL",64280,-15940,48340
"Tampa, FL",64080,-20800,43280
"Charlotte, NC",63720,-17780,45940
"Atlanta, GA",62800,-16100,46700
"Sacramento, CA",61120,-10560,50560
"Honolulu, HI",60720,-11060,49660
"Durham, NC",60400,-6220,54180
"Long Beach, CA",59800,-11330,48470
"New Haven, CT",59000,-8730,50270
"Gilbert, AZ",58800,-12510,46290
"Denver, CO",58760,-4650,54110
"Plano, TX",58680,-12320,46360
"Seattle, WA",57440,4390,61830
"Austin, TX",56640,-9010,47630
"Providence, RI",55400,-7210,48190
"Norfolk, VA",55120,-9780,45340
"Raleigh, NC",54880,-8290,46590
"Dallas, TX",52920,-6560,46360
"Asheville, NC",52520,-14100,38420
"Irving, TX",52480,-6120,46360
"St. Petersburg, FL",52280,-9000,43280
"Chattanooga, TN",52080,-12200,39880
"Philadelphia, PA",51680,-3260,48420
"Madison, WI",51640,-3080,48560
"Houston, TX",51560,-5950,45610
"Baltimore, MD",51400,-770,50630
"Fort Worth, TX",50960,-4600,46360
"Portland, OR",50880,-20,50860
"Richmond, VA",50520,-3550,46970
"Salt Lake City, UT",49120,-1860,47260
"Henderson, NV",48320,-9260,39060
"Pheonix, AZ",47560,-1270,46290
"Tallahassee, FL",47480,-8320,39160
"Pittsburgh, PA",47040,-1170,45870
"Boise, ID",46400,-4800,41600
"New Orleans, LA",46360,-5760,40600
"Columbus, OH",46320,310,46630
"Mesa, AZ",45960,330,46290
"Greensboro, NC",45880,-6850,39030
"Aurora, CO",45560,8550,54110
"Indianapolis, IN",45040,-250,44790
"Knoxville, TN",44920,-4650,40270
"Milwaukee, WI",44240,2560,46800
"Cleveland, OH",43600,3200,46800
"Minneapolis, MN",43440,7520,50960
"Reno, NV",42760,2340,45100
"Glendale, AZ",42520,3770,46290
"Buffalo, NY",42440,4280,46720
"Bakersfield, CA",42000,-1120,40880
"Colorado Springs, CO",41760,5520,47280
"Arlington, TX",41560,4800,46360
"Las Vegas, NV",41440,-2380,39060
"Augusta, GA",41320,-1890,39430
"Shreveport, LA",40360,-3210,37150
"Detroit, MI",40200,7800,48000
"Omaha, NE",40160,5880,46040
"Oklahoma City, OK",40000,1370,41370
"Fresno, CA",40000,740,40740
"Tulsa, OK",39920,580,40500
"Jacksonville, FL",39440,2160,41600
"Anchorage, AK",39160,11880,51040
"Cincinnati, OH",38680,6980,45660
"San Antonio, TX",38400,1820,40220
"Louisville, KY",37680,6680,44360
"Spokane, WA",37480,9010,46490
"Memphis, TN",37320,2230,39550
"Winston Salem, NC",36080,3710,39790
"Syracuse, NY",35920,12070,47990
"Kansas City, MO",34880,11530,46410
"Rochester, NY",34000,13010,47010
"Des Moines, IA",33480,14690,48170
"El Paso, TX",32640,1540,34180
"Baton Rouge, LA",32480,12280,44760
"St. Louis, MO",32240,13750,45990
"Akron, OH",31120,13210,44330
"Lexington, KY",30760,11880,42640
"Tucson, AZ",30360,12070,42430
"Albuquerque, NM",30080,11120,41200
"Lincoln, NE",29240,15690,44930
"Wichita, KS",28440,12990,41430
