observation_date,CES4300000001,CES4422000001,CES6561000001,CES6562000001,CES7071000001,CES7072100001,CES7072200001,CES9091000001,CES9092000001,CES9093000001,DMANEMP,NDMANEMP,USCONS,USFIRE,USINFO,USMINE,USPBS,USSERV,USTRADE,USWTRADE
2008-01-01,4537.8,556.8,2986.0,15990.0,1993.6,1886.7,9662.0,2738,5148,14502,8686,5031,7476,8276,3026,746,18138,5520,15525.5,5966.3
2008-02-01,4541.6,556.1,2994.9,16023.7,1995.5,1888.4,9658.8,2747,5145,14525,8668,5022,7453,8269,3019,747,18093,5532,15490.6,5956.2
2008-03-01,4542.4,556.8,3004.1,16064.5,1993.0,1889.7,9647.9,2752,5153,14538,8637,5013,7406,8268,3021,754,18051,5539,15479.9,5946.2
2008-04-01,4546.8,556.9,3019.0,16109.5,1989.0,1889.6,9632.4,2755,5157,14538,8587,5002,7327,8258,3013,755,18041,5540,15396.7,5925.0
2008-05-01,4535.2,556.8,3021.6,16144.2,1984.0,1885.9,9627.8,2757,5162,14564,8569,4986,7274,8249,3008,764,17984,5532,15334.0,5912.1
2008-06-01,4522.6,557.8,3055.7,16176.7,1979.3,1880.4,9622.2,2759,5179,14579,8532,4962,7213,8236,3001,768,17940,5525,15310.0,5899.7
2008-07-01,4517.4,559.9,3070.2,16212.8,1965.4,1869.6,9628.3,2767,5191,14610,8477,4942,7160,8219,2987,770,17881,5522,15270.2,5878.3
2008-08-01,4500.4,558.7,3093.5,16245.7,1963.3,1862.4,9604.9,2766,5214,14587,8420,4928,7114,8205,2972,780,17817,5512,15209.3,5857.3
2008-09-01,4464.8,559.2,3069.6,16273.2,1951.7,1854.7,9572.7,2768,5184,14585,8363,4904,7044,8173,2962,784,17748,5512,15143.5,5845.8
2008-10-01,4450.0,561.5,3056.0,16302.1,1952.6,1852.1,9547.2,2772,5182,14595,8266,4872,6967,8139,2951,781,17640,5516,15081.9,5808.3
2008-11-01,4409.1,562.7,3060.7,16336.0,1949.5,1836.0,9514.2,2778,5194,14588,8184,4842,6813,8100,2931,776,17468,5476,14953.1,5770.7
2008-12-01,4382.2,563.0,3068.5,16369.7,1950.0,1821.9,9484.2,2775,5191,14590,8056,4786,6701,8067,2911,770,17337,5446,14847.5,5730.1
2009-01-01,4358.5,563.4,3101.3,16393.1,1950.4,1809.1,9462.3,2786,5206,14587,7823,4729,6567,8017,2891,760,17183,5430,14763.8,5697.3
2009-02-01,4334.5,563.6,3088.8,16419.5,1947.5,1797.8,9448.1,2795,5190,14591,7690,4681,6446,7969,2878,748,16988,5411,14680.6,5650.1
2009-03-01,4301.0,563.3,3082.8,16430.7,1930.2,1777.8,9419.4,2797,5180,14583,7565,4631,6291,7927,2864,727,16837,5383,14594.3,5607.8
2009-04-01,4255.3,561.0,3072.5,16446.7,1905.6,1762.4,9387.7,2922,5182,14573,7416,4601,6154,7872,2832,710,16703,5372,14530.6,5562.4
2009-05-01,4237.4,559.8,3082.6,16498.5,1918.6,1761.6,9425.9,2860,5187,14570,7277,4573,6100,7844,2807,694,16652,5368,14514.9,5536.4
2009-06-01,4219.8,560.4,3099.0,16520.3,1891.6,1751.1,9433.3,2814,5176,14586,7169,4544,6010,7819,2795,686,16547,5371,14501.7,5512.6
2009-07-01,4198.2,558.7,3086.7,16544.8,1900.0,1746.9,9431.0,2826,5122,14573,7132,4522,5932,7805,2778,678,16524,5368,14446.8,5488.0
2009-08-01,4187.8,558.1,3093.4,16582.4,1902.1,1745.7,9398.0,2825,5170,14542,7099,4513,5855,7780,2767,669,16515,5359,14438.7,5470.9
2009-09-01,4179.5,558.5,3077.3,16618.1,1936.9,1749.1,9367.6,2826,5144,14481,7072,4508,5787,7770,2769,667,16522,5353,14406.6,5454.3
2009-10-01,4163.8,559.3,3087.9,16642.8,1904.0,1747.1,9344.0,2843,5158,14523,7032,4495,5716,7751,2764,661,16543,5334,14358.2,5434.6
2009-11-01,4158.3,557.7,3095.7,16671.8,1903.5,1749.4,9333.5,2842,5152,14539,7009,4489,5696,7756,2752,664,16601,5324,14340.4,5424.0
2009-12-01,4108.4,556.0,3107.4,16694.5,1890.9,1748.7,9304.5,2831,5150,14501,6988,4477,5654,7744,2745,663,16605,5320,14309.1,5410.2
2010-01-01,4129.0,556.1,3114.3,16714.7,1884.9,1748.3,9298.6,2860,5145,14486,6976,4471,5580,7733,2739,666,16627,5325,14358.8,5389.2
2010-02-01,4129.4,554.9,3114.7,16727.8,1885.9,1746.9,9294.2,2872,5147,14457,6971,4468,5500,7725,2737,674,16646,5317,14357.8,5379.1
2010-03-01,4140.8,554.4,3133.0,16763.1,1883.2,1748.2,9311.7,2923,5140,14455,6982,4457,5537,7708,2719,681,16629,5328,14392.2,5379.1
2010-04-01,4147.1,554.0,3132.8,16773.7,1904.0,1752.0,9322.8,2984,5136,14449,7012,4463,5553,7711,2714,687,16721,5335,14388.3,5379.6
2010-05-01,4158.3,553.6,3143.6,16790.5,1915.5,1755.1,9340.9,3416,5135,14445,7039,4472,5520,7699,2708,696,16756,5328,14396.5,5374.5
2010-06-01,4175.2,552.1,3160.0,16803.6,1920.5,1760.7,9352.7,3193,5139,14408,7056,4473,5516,7687,2701,702,16818,5313,14399.4,5377.8
2010-07-01,4192.6,551.1,3160.0,16816.3,1921.3,1767.9,9358.6,3051,5136,14382,7069,4477,5508,7676,2703,709,16828,5326,14402.2,5380.4
2010-08-01,4188.9,551.5,3166.5,16845.3,1925.9,1775.0,9379.8,2945,5130,14345,7075,4463,5524,7675,2701,716,16888,5324,14414.1,5382.5
2010-09-01,4206.3,549.4,3150.5,16854.5,1938.4,1767.7,9430.8,2869,5122,14256,7091,4458,5501,7682,2697,722,16906,5332,14420.3,5388.0
2010-10-01,4216.4,551.3,3183.8,16889.3,1911.9,1762.7,9452.2,2866,5139,14292,7095,4453,5508,7683,2695,732,16975,5357,14462.1,5396.4
2010-11-01,4225.3,551.1,3193.7,16919.2,1904.1,1766.1,9455.5,2866,5139,14282,7110,4461,5506,7680,2689,736,17069,5347,14446.3,5402.0
2010-12-01,4250.1,553.2,3190.8,16934.8,1906.5,1771.4,9479.3,2870,5133,14263,7122,4457,5467,7684,2682,734,17140,5338,14444.5,5409.5
2011-01-01,4217.3,551.5,3214.2,16935.6,1890.1,1777.1,9482.1,2874,5138,14246,7153,4453,5427,7680,2678,737,17150,5327,14491.0,5415.1
2011-02-01,4248.2,553.2,3222.2,16944.4,1898.5,1779.9,9509.7,2876,5106,14233,7178,4459,5451,7676,2672,738,17229,5337,14518.2,5426.8
2011-03-01,4258.7,552.6,3213.6,16966.0,1905.4,1790.7,9550.8,2877,5096,14219,7198,4461,5477,7681,2672,754,17294,5332,14537.9,5444.6
2011-04-01,4277.4,553.6,3230.2,17002.0,1919.8,1794.1,9583.6,2870,5091,14223,7225,4464,5485,7680,2674,767,17356,5341,14602.8,5457.6
2011-05-01,4285.6,553.3,3227.5,17025.0,1906.2,1786.9,9599.5,2871,5083,14175,7241,4456,5516,7702,2679,777,17407,5345,14604.3,5462.7
2011-06-01,4301.5,552.9,3234.5,17049.0,1919.6,1804.2,9618.8,2860,5079,14225,7258,4452,5528,7690,2685,788,17424,5353,14637.7,5470.1
2011-07-01,4303.8,552.0,3246.8,17085.2,1927.1,1815.7,9626.9,2862,5058,14129,7271,4458,5547,7693,2675,799,17431,5358,14676.0,5478.3
2011-08-01,4310.6,552.2,3252.9,17113.8,1925.5,1816.6,9653.2,2850,5079,14088,7286,4462,5552,7697,2632,805,17506,5377,14677.7,5488.4
