Country;Subject Descriptor;Units;Scale;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;Gross domestic product, constant prices;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;453.484;492.903;496.209;554.910;584.658;662.650;688.247;829.924;899.956;958.266;1,092.118;1,154.178;1,185.306;1,197.012;1,222.917;1,255.288;1,270.216;1,319.902;1,288.869;1,101.445;1,032.712;1,056.123
Afghanistan;Gross domestic product, constant prices;Percent change;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;8.692;0.671;11.830;5.361;13.340;3.863;20.585;8.438;6.479;13.968;5.683;2.697;0.988;2.164;2.647;1.189;3.912;-2.351;-14.542;-6.240;2.267
Afghanistan;Gross domestic product, current prices;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;178.756;220.013;246.210;304.926;345.817;427.495;517.509;607.227;711.759;836.222;1,033.591;1,116.827;1,183.039;1,226.570;1,222.917;1,285.460;1,327.690;1,469.596;1,547.289;1,251.172;1,283.442;1,350.910
Afghanistan;Gross domestic product, current prices;U.S. dollars;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4.367;4.553;5.146;6.167;6.925;8.556;10.297;12.066;15.325;17.890;20.293;20.170;20.616;20.057;18.020;18.883;18.336;18.876;20.136;14.278;14.501;17.248
Afghanistan;Gross domestic product, current prices;"Purchasing power parity; international dollars";Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;22.742;25.206;26.058;30.054;32.642;37.999;40.227;48.807;53.568;58.216;67.583;72.639;75.898;77.358;79.784;83.362;89.369;97.801;100.898;85.768;86.149;91.272
Afghanistan;Gross domestic product, deflator;Index;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;39.418;44.636;49.618;54.951;59.149;64.513;75.192;73.167;79.088;87.264;94.641;96.764;99.809;102.469;100.000;102.404;104.525;111.341;120.050;113.594;124.279;127.912
Afghanistan;Gross domestic product per capita, constant prices;National currency;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;21,594.230;21,766.381;21,067.277;22,731.779;22,979.189;25,581.687;26,043.149;30,305.446;31,925.042;32,762.181;35,846.549;36,592.701;36,229.944;35,463.357;35,307.471;35,217.934;34,623.252;34,946.230;33,071.480;27,467.825;25,101.133;25,044.069
Afghanistan;Gross domestic product per capita, constant prices;"Purchasing power parity; 2021 international dollar";Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,681.504;1,694.909;1,640.471;1,770.083;1,789.348;1,992.000;2,027.933;2,359.830;2,485.945;2,551.132;2,791.306;2,849.408;2,821.160;2,761.468;2,749.329;2,742.357;2,696.050;2,721.200;2,575.216;2,138.870;1,954.580;1,950.136
Afghanistan;Gross domestic product per capita, current prices;National currency;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;8,512.100;9,715.684;10,453.219;12,491.253;13,591.864;16,503.498;19,582.451;22,173.460;25,248.939;28,589.626;33,925.529;35,408.506;36,160.641;36,339.041;35,307.471;36,064.452;36,189.882;38,909.606;39,702.347;31,201.711;31,195.375;32,034.410
Afghanistan;Gross domestic product per capita, current prices;U.S. dollars;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;207.946;201.051;218.461;252.618;272.189;330.295;389.630;440.607;543.652;611.642;666.089;639.473;630.136;594.213;520.267;529.773;499.799;499.762;516.664;356.063;352.456;409.006
Afghanistan;Gross domestic product per capita, current prices;"Purchasing power parity; international dollars";Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,082.924;1,113.106;1,106.324;1,231.167;1,282.947;1,466.942;1,522.173;1,782.221;1,900.285;1,990.350;2,218.278;2,302.993;2,319.876;2,291.864;2,303.472;2,338.779;2,436.006;2,589.410;2,588.961;2,138.870;2,093.930;2,164.351
Afghanistan;Output gap in percent of potential GDP;Percent of potential GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;Gross domestic product based on purchasing-power-parity (PPP) share of world total;Percent;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.042;0.044;0.042;0.045;0.045;0.048;0.049;0.059;0.061;0.063;0.069;0.071;0.070;0.069;0.068;0.067;0.068;0.070;0.072;0.055;0.050;0.049
Afghanistan;Implied PPP conversion rate;National currency per current international dollar;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;7.860;8.728;9.449;10.146;10.594;11.250;12.865;12.441;13.287;14.364;15.294;15.375;15.587;15.856;15.328;15.420;14.856;15.026;15.335;14.588;14.898;14.801
Afghanistan;Total investment;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;27.243;30.102;35.354;37.048;29.489;55.852;30.222;36.503;30.269;26.407;25.340;23.093;17.460;18.467;19.283;18.481;18.047;18.192;17.011;12.987;16.668;15.244
Afghanistan;Gross national savings;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;61.151;59.718;72.570;67.274;50.333;119.243;63.990;78.090;59.699;52.981;36.204;24.538;24.009;22.176;28.312;26.058;30.191;29.897;30.985;12.931;-1.863;-5.062
Afghanistan;Inflation, average consumer prices;Index;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;31.263;42.413;49.351;54.566;58.269;63.327;80.057;74.604;76.229;85.227;90.717;97.417;101.970;101.296;105.736;110.998;111.693;114.264;120.671;130.038;143.822;132.728
Afghanistan;Inflation, average consumer prices;Percent change;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;35.663;16.358;10.569;6.785;8.681;26.419;-6.811;2.179;11.804;6.441;7.386;4.674;-0.662;4.384;4.976;0.626;2.302;5.607;7.762;10.600;-7.714
Afghanistan;Inflation, end of period consumer prices;Index;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;42.890;45.691;51.752;57.219;59.671;69.273;82.306;74.211;81.814;89.433;94.687;101.543;103.053;104.218;109.000;112.315;113.162;116.300;122.100;140.833;143.560;130.603
Afghanistan;Inflation, end of period consumer prices;Percent change;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6.530;13.266;10.562;4.285;16.092;18.814;-9.836;10.246;9.312;5.875;7.241;1.487;1.131;4.588;3.041;0.755;2.773;4.987;15.342;1.936;-9.025
Afghanistan;Volume of imports of goods and services;Percent change;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;36.222;-0.427;55.010;-2.198;-10.210;-8.267;31.064;31.901;12.397;31.697;3.405;-14.249;16.629;-8.394;3.812;-4.973;-7.026;-3.901;-30.012;29.820;14.971
Afghanistan;Volume of Imports of goods;Percent change;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;34.052;-2.824;51.498;-0.766;-15.536;-3.340;28.869;33.079;7.665;36.240;7.502;-16.015;24.734;-8.264;1.927;-7.886;-5.739;-2.510;-11.910;32.651;10.330
Afghanistan;Volume of exports of goods and services;Percent change;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;49.541;-8.436;41.968;-6.919;-11.904;-6.742;30.013;11.218;2.500;-19.506;-40.138;51.847;-10.234;-16.004;-6.119;27.753;-2.916;0.534;2.529;30.217;-2.680
Afghanistan;Volume of exports of goods;Percent change;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;87.537;-29.688;13.430;-32.390;36.241;51.104;-21.282;-2.105;-9.939;10.366;5.197;35.436;15.431;12.188;17.858;2.300;2.140;-16.606;44.034;58.660;-5.960
Afghanistan;Unemployment rate;Percent of total labor force;Units;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;Employment;Persons;Millions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;Population;Persons;Millions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;21.000;22.645;23.554;24.411;25.443;25.903;26.427;27.385;28.190;29.249;30.466;31.541;32.716;33.753;34.636;35.643;36.687;37.769;38.972;40.099;41.142;42.171
Afghanistan;General government revenue;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;12.235;21.618;31.209;44.926;65.518;81.163;88.162;117.745;154.612;177.821;260.571;271.903;280.187;301.356;344.327;347.829;405.873;395.923;397.564;218.316;194.034;210.773
Afghanistan;General government revenue;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6.845;9.826;12.676;14.733;18.946;18.986;17.036;19.391;21.722;21.265;25.210;24.346;23.684;24.569;28.156;27.059;30.570;26.941;25.694;17.449;15.118;15.602
Afghanistan;General government total expenditure;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;12.411;26.242;37.101;47.723;63.154;91.687;108.156;128.435;147.969;183.439;258.689;278.950;300.521;318.255;342.771;356.482;384.176;411.473;432.266;224.384;206.834;229.209
