Rank based on change from 2012 Economy ,Economy,cum change since 2012 (%),cum change since 2020 (%),"5-yr cum
change (%)"
1,Argentina,"20,587",1811,2614
2,Turkey,"1,041",403,464
3,Egypt,429,106,116
4,Russia,128,39,44
5,Brazil,99,29,33
6,India,91,24,33
7,Colombia,84,36,39
8,South Africa,83,24,28
9,Mexico,71,26,30
10,Hungary,70,47,52
11,Chile,66,30,34
12,Indonesia,57,12,14
13,Czech Republic,55,36,41
14,Philippines,53,21,24
15,Poland,49,37,42
16,Norway,44,20,21
17,Austria,40,24,25
18,United Kingdom,39,23,24
19,Australia,37,19,21
20,United States,37,21,23
21,Netherlands,36,23,25
22,Belgium,35,22,22
23,New Zealand,34,21,23
24,Germany,33,22,22
25,Hong Kong,32,8,8
26,Canada,32,17,18
27,Sweden,31,20,21
28,Luxembourg,28,18,18
29,Malaysia,27,11,9
30,France,25,17,17
31,South Korea,24,14,15
32,Italy,24,19,18
33,Spain,24,19,18
34,Finland,24,15,16
35,Saudi Arabia,24,10,14
36,Portugal,23,18,18
37,China,22,3,6
38,Qatar,22,12,9
39,Singapore,21,17,16
40,Denmark,20,16,16
41,Ireland,20,18,17
42,United Arab Emirates,20,8,6
43,Taiwan,16,10,10
44,Israel,16,14,13
45,Greece,15,18,16
46,Japan,15,8,8
47,Thailand,15,9,8
48,Switzerland,6,7,6
