Economy,Inflation
Austria,25
Netherlands,25
Belgium,22
Luxembourg,18
Singapore,16
Denmark,16
Ireland,17
Egypt,116
Russia,44
Brazil,33
India,33
Colombia,39
S. Africa,28
Mexico,30
Poland,42
Norway,21
Australia,21
United States,23
Germany,22
Canada,18
Sweden,21
France,17
Spain,18
Finland,16
Saudi Arabia,14
China,6
Türkiye,464
Argentina,2614
Hungary,52
Czechia,41
UK,24
Italy,18
Greece,16
Switzerland,6
Philippines,24
Indonesia,14
Taiwan,10
Malaysia,9
Hong Kong,8
Thailand,8
New Zealand,23
Chile,34
S. Korea,15
Israel,13
Qatar,9
Japan,8
UAE,6
