agency,state_code,short_name,agency_type
AE,F,Arianespace,private
ILSK,RU,ILS-K,private
ULAL,US,ULA/LMA,private
MDSSC,US,MDSSC,private
OSC,US,OSC-Fairfax,private
ULAB,US,ULA/Boeing,private
BLS,US,Boeing,private
LMA,US,LMA,private
MHI,J,MHI,private
ILSL,US,ILS-LMA,private
SEALP,US,SeaLaunch,private
STSM,F,Starsem,private
EUROK,RU,Eurockot,private
GDCLS,US,GDCLS,private
MMCLS,US,MMCLS,private
ELUS,US,Energia Ltd US,private
MMA,US,MMA,private
PU,RU,PU,private
SEALC,CYM,SeaLaunch,private
RSC,J,RSC,private
OATK,US,OATK,private
EER,US,EER,private
LMSC,US,LMSC,private
SPX,US,SpaceX,startup
RLABU,US,Rocket Lab,startup
RVSN,SU,RVSN,state
UNKS,SU,UNKS,state
NASA,US,NASA,state
USAF,US,USAF,state
AFSC,US,AFSC,state
VKSR,RU,VKS RVSN,state
CALT,CN,CALT,state
FKA,RU,Roskosmos,state
SAST,CN,SAST,state
KVR,RU,KVR,state
KHRU,RU,Khrunichev,state
ISRO,IN,ISRO,state
RVSNR,RU,RVSN RF,state
NASDA,J,NASDA,state
ISAS,J,ISAS,state
UNKSR,RU,UNKS RF,state
RAKA,RU,RAKA,state
VVKO,RU,VVKO,state
10ADS,US,ADCOM 10ADS,state
2SLS,US,Boeing/2SLS,state
USN,US,USN,state
ESA,I-ESA,ESA,state
AFSPC,US,USAF AFSPC,state
CNES,F,CNES,state
ISA,IL,ISA,state
MVS,SU,MVS,state
CRA,I,CRA,state
IRSA,IR,IRSA,state
JAXA,J,JAXA,state
S4300,US,SAC 4300SS,state
ABMA,US,ABMA,state
AFMC,US,USAF AFMC,state
CASC,CN,CASC,state
KCST,KP,KCST,state
PLA2AC,CN,PLA SAC,state
SIS,RU,SIS,state
USA,US,US Army,state
ELDO,I-ELDO,CECLES/ELDO,state
KARI,KR,KARI,state
VMFR,RU,VMF RF,state
3SLS,US,USAF 3SLS,state
4SLS,US,USAF 4SLS,state
AEB,BR,AEB,state
RAE,UK,RAE,state
CASIC4A,CN,CASIC 4th Acad,state
EXPACE,CN,CASIC Expace,state
NADA,KP,NADA,state
RKA,RU,RKA,state
S394I,US,SAC 394ITMS,state
