WKT,id,b_travel_time,travel_time
"POLYGON ((-114.068658223988 50.8649281448793,-114.067429919934 50.8662773626641,-114.064969350338 50.8662787581758,-114.06373722676 50.8649309357693,-114.064965602086 50.8635817565048,-114.067426029725 50.8635803611265,-114.068658223988 50.8649281448793))",9375,130,74
"POLYGON ((-114.06867011029 50.8730191436461,-114.067441594149 50.8743683597564,-114.064980598553 50.8743697556681,-114.063748261127 50.8730219353361,-114.064976848572 50.8716727577573,-114.067437702146 50.871671361979,-114.06867011029 50.8730191436461))",9372,125,64
"POLYGON ((-114.06866614758 50.8703221453106,-114.067437702146 50.871671361979,-114.064976848572 50.8716727577573,-114.063744582439 50.8703249367339,-114.064973099167 50.8689757585932,-114.067433810741 50.8689743629482,-114.06866614758 50.8703221453106))",9373,126,62
"POLYGON ((-114.068678037536 50.8784131365571,-114.067449379951 50.8797623515511,-114.064988100245 50.8797637477296,-114.063755620199 50.8784159287806,-114.064984349111 50.8770667523255,-114.067445486751 50.8770653562804,-114.068678037536 50.8784131365571))",9370,123,62
"POLYGON ((-114.068674073608 50.8757161407283,-114.067445486751 50.8770653562804,-114.064984349111 50.8770667523255,-114.06375194038 50.875718932685,-114.064980598553 50.8743697556681,-114.067441594149 50.8743683597564,-114.068674073608 50.8757161407283))",9371,123,64
"POLYGON ((-114.068685967221 50.8838071244548,-114.067457168146 50.8851563383327,-114.064995604244 50.885157734778,-114.063762981533 50.8838099172119,-114.064991851956 50.8824607418804,-114.067453273749 50.8824593455686,-114.068685967221 50.8838071244548))",9368,122,63
"POLYGON ((-114.068682002074 50.8811101311326,-114.067453273749 50.8824593455686,-114.064991851956 50.8824607418804,-114.063759300583 50.8811129236229,-114.064988100245 50.8797637477296,-114.067449379951 50.8797623515511,-114.068682002074 50.8811101311326))",9369,118,57
"POLYGON ((-114.068693899344 50.8892011073395,-114.067464958737 50.8905503201012,-114.065003110551 50.8905517168134,-114.063770345132 50.8892039006303,-114.064999357109 50.8878547264223,-114.067461063142 50.8878533298436,-114.068693899344 50.8892011073395))",9366,120,74
"POLYGON ((-114.068689932978 50.8865041165238,-114.067461063142 50.8878533298436,-114.064999357109 50.8878547264223,-114.06376666305 50.8865069095477,-114.064995604244 50.885157734778,-114.067457168146 50.8851563383327,-114.068689932978 50.8865041165238))",9367,120,62
"POLYGON ((-114.068701833907 50.8945950852112,-114.067472751724 50.895944296857,-114.065010619167 50.8959456938361,-114.063777710995 50.8945978790359,-114.06500686457 50.8932487059513,-114.067468854931 50.8932473091057,-114.068701833907 50.8945950852112))",9364,109,50
"POLYGON ((-114.068697866321 50.8918980969019,-114.067468854931 50.8932473091057,-114.06500686457 50.8932487059513,-114.06377402778 50.8919008904597,-114.065003110551 50.8905517168134,-114.067464958737 50.8905503201012,-114.068697866321 50.8918980969019))",9365,120,76
"POLYGON ((-114.06870977091 50.8999890580703,-114.067480547109 50.9013382686002,-114.065018130092 50.9013396658463,-114.063785079124 50.8999918524289,-114.06501437434 50.8986426804677,-114.067476649117 50.8986412833551,-114.06870977091 50.8999890580703))",9362,104,45
"POLYGON ((-114.068705802103 50.8972920722673,-114.067476649117 50.8986412833551,-114.06501437434 50.8986426804677,-114.063781394776 50.897294866359,-114.065010619167 50.8959456938361,-114.067472751724 50.895944296857,-114.068705802103 50.8972920722673))",9363,106,46
"POLYGON ((-114.068717710355 50.9053830259169,-114.067488344891 50.9067322353309,-114.065025643327 50.9067336328441,-114.06379244952 50.9053858208096,-114.065021886421 50.9040366499717,-114.0674844457 50.9040352525921,-114.068717710355 50.9053830259169))",9360,101,48
"POLYGON ((-114.068713740328 50.9026860426201,-114.0674844457 50.9040352525921,-114.065021886421 50.9040366499717,-114.063788764039 50.9026888372458,-114.065018130092 50.9013396658463,-114.067480547109 50.9013382686002,-114.068713740328 50.9026860426201))",9361,103,48
"POLYGON ((-114.065434815308 51.1980004131138,-114.064197590275 51.1993495228568,-114.061719319624 51.1993508562219,-114.060478418698 51.1980030797164,-114.061715716358 51.1966540089596,-114.064193842324 51.1966526757221,-114.065434815308 51.1980004131138))",9390,143,120
"POLYGON ((-114.06543099531 51.1953035654198,-114.064193842324 51.1966526757221,-114.061715716358 51.1966540089596,-114.060474888047 51.195306231767,-114.061712113648 51.193957160447,-114.064190094952 51.1939558273373,-114.06543099531 51.1953035654198))",9391,134,96
"POLYGON ((-114.065442457077 51.2033941047513,-114.064205087916 51.2047432133755,-114.061726527828 51.2047445469961,-114.060485481637 51.2033967718646,-114.061722923447 51.2020477022341,-114.064201338806 51.2020463687413,-114.065442457077 51.2033941047513))",9388,138,116
"POLYGON ((-114.065438635897 51.2006972595576,-114.064201338806 51.2020463687413,-114.061722923447 51.2020477022341,-114.060481949895 51.2006999264156,-114.061719319624 51.1993508562219,-114.064197590275 51.1993495228568,-114.065438635897 51.2006972595576))",9389,140,117
"POLYGON ((-114.065450101209 51.208787791388,-114.064212587876 51.2101368988937,-114.061733738261 51.2101382327697,-114.060492546761 51.2087904590123,-114.061730132766 51.2074413905079,-114.064208837606 51.2074400567597,-114.065450101209 51.208787791388))",9386,164,150
"POLYGON ((-114.065446278847 51.2060909486947,-114.064208837606 51.2074400567597,-114.061730132766 51.2074413905079,-114.060489013926 51.2060936160635,-114.061726527828 51.2047445469961,-114.064205087916 51.2047432133755,-114.065446278847 51.2060909486947))",9387,141,120
"POLYGON ((-114.065453924162 51.2114846328312,-114.064216338726 51.2128337397776,-114.061737344315 51.2128350737813,-114.060496080143 51.211487300711,-114.061733738261 51.2101382327697,-114.064212587876 51.2101368988937,-114.065453924162 51.2114846328312))",9385,162,149
"POLYGON ((-114.068638425659 50.8514431218653,-114.067410474866 50.8527923424413,-114.064950614834 50.8527937372866,-114.063718847451 50.8514459114226,-114.064946869461 50.8500967293483,-114.067406587645 50.8500953346362,-114.068638425659 50.8514431218653))",9380,146,96
"POLYGON ((-114.068634467818 50.8487461135018,-114.067406587645 50.8500953346362,-114.064946869461 50.8500967293483,-114.063715173283 50.8487489027927,-114.064943124662 50.8473997201564,-114.067402701021 50.8473983255776,-114.068634467818 50.8487461135018))",9381,149,99
"POLYGON ((-114.068646343165 50.8568371348314,-114.0674182511 50.8581863542909,-114.064958107308 50.8581877494027,-114.06372619748 50.8568399249217,-114.064954360784 50.8554907439714,-114.067414362684 50.8554893489929,-114.068646343165 50.8568371348314))",9378,143,94
"POLYGON ((-114.068642384108 50.8541401289751,-114.067414362684 50.8554893489929,-114.064954360784 50.8554907439714,-114.063722522183 50.8541429187989,-114.064950614834 50.8527937372866,-114.067410474866 50.8527923424413,-114.068642384108 50.8541401289751))",9379,144,95
"POLYGON ((-114.068654263105 50.8622311427835,-114.067426029725 50.8635803611265,-114.064965602086 50.8635817565048,-114.063733549768 50.8622339334069,-114.064961854409 50.8608847535805,-114.067422140114 50.8608833583354,-114.068654263105 50.8622311427835))",9376,133,83
"POLYGON ((-114.068650302831 50.8595341394342,-114.067422140114 50.8608833583354,-114.064961854409 50.8608847535805,-114.063729873342 50.859536929791,-114.064958107308 50.8581877494027,-114.0674182511 50.8581863542909,-114.068650302831 50.8595341394342))",9377,134,83
"POLYGON ((-114.065373766135 51.1548506999642,-114.064137692522 51.1561998186599,-114.061661734148 51.1562011499838,-114.060421993721 51.1548533624846,-114.061658139781 51.1535042827149,-114.064133953828 51.1535029515184,-114.065373766135 51.1548506999642))",9406,80,56
"POLYGON ((-114.065369955571 51.152153832263,-114.064133953828 51.1535029515184,-114.061658139781 51.1535042827149,-114.06041847179 51.1521564945285,-114.06165454597 51.1508074141953,-114.064130215711 51.1508060831262,-114.065369955571 51.152153832263))",9407,76,50
"POLYGON ((-114.065381389029 51.1602444316148,-114.064145171644 51.1615935491911,-114.061668924548 51.1615948807699,-114.060429039216 51.160247094645,-114.06166532907 51.1588980160022,-114.064141431794 51.1588966845508,-114.065381389029 51.1602444316148))",9404,84,57
"POLYGON ((-114.065377577288 51.1575475664148,-114.064141431794 51.1588966845508,-114.06166532907 51.1588980160022,-114.060425516197 51.1575502291901,-114.061661734148 51.1562011499838,-114.064137692522 51.1561998186599,-114.065377577288 51.1575475664148))",9405,82,56
"POLYGON ((-114.065389014279 51.1656381582629,-114.064152653078 51.16698727472,-114.06167611717 51.1669886065538,-114.060436086888 51.1656408218032,-114.061672520581 51.1642917442872,-114.064148912072 51.1642904125808,-114.065389014279 51.1656381582629))",9402,88,66
"POLYGON ((-114.06538520136 51.1629412955641,-114.064148912072 51.1642904125808,-114.061672520581 51.1642917442872,-114.06043256278 51.1629439588494,-114.061668924548 51.1615948807699,-114.064145171644 51.1615935491911,-114.06538520136 51.1629412955641))",9403,88,64
"POLYGON ((-114.065396641886 51.1710318799089,-114.064160136824 51.1723809952467,-114.061683312016 51.1723823273357,-114.060443136739 51.1710345439593,-114.061679714315 51.16968546757,-114.064156394662 51.1696841356086,-114.065396641886 51.1710318799089))",9400,90,69
"POLYGON ((-114.065392827788 51.1683350197112,-114.064156394662 51.1696841356086,-114.061679714315 51.16968546757,-114.060439611541 51.1683376835065,-114.06167611717 51.1669886065538,-114.064152653078 51.16698727472,-114.065392827788 51.1683350197112))",9401,89,63
"POLYGON ((-114.065404271851 51.176425596553,-114.064167622884 51.1777747107717,-114.061690509085 51.1777760431157,-114.060450188768 51.1764282611135,-114.061686910273 51.1750791858509,-114.064163879564 51.1750778536344,-114.065404271851 51.176425596553))",9398,128,87
