WKT,fid,id,pruid,pk,hydrouid,rank,name
"MULTIPOLYGON (((-114.075195489 51.0223970360001,-114.07530831 51.0224178550001,-114.075348163 51.0224638270001,-114.07530208 51.022516646,-114.075229733 51.0225328180001,-114.07515797 51.022540017,-114.075048582 51.022465324,-114.075094135 51.0224214930001,-114.075195489 51.0223970360001)))",1,146830,"48",146830,"7642242",7,
"MULTIPOLYGON (((-114.142812747 50.988047011,-114.14301194 50.9880519010001,-114.143137831 50.988090959,-114.143135627 50.988126886,-114.142224098 50.9885813010001,-114.141853986 50.9888060960001,-114.141267557 50.989304447,-114.141105235 50.9898581570001,-114.140841662 50.9904363630001,-114.140877596 50.9907790400001,-114.140819019 50.990804578,-114.140719953 50.9907931810001,-114.140585375 50.9906639390001,-114.140470562 50.9904452590001,-114.140482717 50.9902476570001,-114.140541452 50.989988257,-114.140753361 50.989786554,-114.140938726 50.9890894970001,-114.14088163 50.98839551,-114.141004865 50.9882456160001,-114.14106456 50.98820211,-114.141294966 50.9881627650001,-114.142449825 50.988155056,-114.142812747 50.988047011)))",2,146904,"48",146904,"7256491",7,
"MULTIPOLYGON (((-114.075671741 51.022534906,-114.07574292 51.022536679,-114.076032363 51.0226968480001,-114.076284711 51.0227661370001,-114.076574105 51.0229262890001,-114.076609506 51.023044101,-114.07646541 51.023067498,-114.07570429 51.0226976200001,-114.075627302 51.0225607770001,-114.075671741 51.022534906)))",3,146921,"48",146921,"7123953",7,
"MULTIPOLYGON (((-114.05169276 50.9092873310001,-114.052324032 50.9094291960001,-114.052735415 50.9096734650001,-114.052987715 50.9099586870001,-114.053051348 50.910077255,-114.053176958 50.9105661420001,-114.053290599 50.9107938880001,-114.05354291 50.9110791100001,-114.053901481 50.9112590720001,-114.0544015 50.9114516160001,-114.054922556 50.9115367240001,-114.05532773 50.911654889,-114.055600481 50.9118416740001,-114.055702779 50.9120241730001,-114.055748253 50.9122052070001,-114.055665894 50.9123830240001,-114.055527271 50.9125504400001,-114.05515967 50.9127390510001,-114.054757917 50.912791881,-114.054274377 50.9127886580001,-114.053539623 50.9127071300001,-114.052871987 50.9126902790001,-114.052498631 50.9127438090001,-114.051474159 50.9129697880001,-114.051132639 50.912970144,-114.050883749 50.9128559100001,-114.050817811 50.9127732890001,-114.050670082 50.9124097490001,-114.050376855 50.9120965000001,-114.050130843 50.91193738,-114.049654111 50.9118263730001,-114.049315458 50.9117818140001,-114.049246133 50.911753085,-114.04894555 50.9115565880001,-114.048960347 50.9113230930001,-114.048983641 50.911179754,-114.049251238 50.91099762,-114.049833097 50.9107964630001,-114.050130259 50.910597098,-114.050317193 50.910340954,-114.050580819 50.9097719430001,-114.050750132 50.9095693290001,-114.051002417 50.9094047980001,-114.051363801 50.909314996,-114.05169276 50.9092873310001)))",4,146952,"48",146952,"6261790",5,
"MULTIPOLYGON (((-114.160567192 51.0666986690001,-114.160936159 51.066734625,-114.161076505 51.0667740110001,-114.161339084 51.0669153090001,-114.161406527 51.0669799200001,-114.161413601 51.0670970100001,-114.16111975 51.0672337730001,-114.160888933 51.0672731410001,-114.160615875 51.067302484,-114.159602167 51.0673048340001,-114.159011219 51.067164532,-114.158368724 51.0669330320001,-114.15793021 51.0666345180001,-114.157564071 51.0663198020001,-114.157568476 51.0662479550001,-114.157642498 51.0662047600001,-114.157969784 51.0662217270001,-114.15825211 51.0662735700001,-114.158433575 51.0663409570001,-114.158659421 51.0663824170001,-114.159234484 51.0665493270001,-114.159673044 51.0666139720001,-114.160567192 51.0666986690001)))",5,147019,"48",147019,"8130173",7,
"MULTIPOLYGON EMPTY",6,147109,"48",147109,"7341806",5,
"MULTIPOLYGON (((-114.00000002 51.0258653420001,-113.999999986 51.025389626,-114.000286047 51.025128915,-114.000642317 51.0249131850001,-114.000993902 51.024769286,-114.0011819 51.0247291390001,-114.002341264 51.0240033320001,-114.002811655 51.0235656570001,-114.003650166 51.022948548,-114.003820106 51.0227460130001,-114.004197513 51.022422878,-114.005069362 51.021509763,-114.006008515 51.0204364630001,-114.007249491 51.0193259110001,-114.00906755 51.0174475690001,-114.00921015 51.017226339,-114.009317176 51.0166713890001,-114.009424572 51.016332327,-114.009431359 51.0157838090001,-114.009655367 51.014961998,-114.009727406 51.0140643620001,-114.009950683 51.012810775,-114.009877614 51.0123951210001,-114.009732804 51.011986644,-114.009593567 51.0117132120001,-114.009385311 51.010961303,-114.009309157 51.010815419,-114.00916457 51.010182065,-114.009057691 51.0094057700001,-114.009212992 51.0089869670001,-114.009325899 51.0087829650001,-114.009436158 51.008399023,-114.009358281 51.008280095,-114.009286159 51.008071365,-114.009180401 51.0079427200001,-114.009217157 51.0075928370001,-114.009510584 51.006799813,-114.010608619 51.005244809,-114.010782156 51.0047635060001,-114.010896058 51.0041008090001,-114.010942646 51.0035982650001,-114.010936119 51.0032562840001,-114.010835535 51.003046839,-114.010656306 51.0029522790001,-114.00988966 51.0026807930001,-114.009609067 51.0026106550001,-114.009241322 51.002565233,-114.008089659 51.0025177430001,-114.006714322 51.0024015120001,-114.006389874 51.0023482320001,-114.005949226 51.00232794,-114.005587071 51.0024175940001,-114.004827893 51.0026949560001,-114.003749103 51.0026222850001,-114.00345252 51.0025786900001,-114.003202145 51.002482327,-114.002984255 51.002323817,-114.002592695 51.0022058310001,-114.001260063 51.0020906270001,-114.000759059 51.0021227390001,-114.000005627 51.0023102650001,-114.000000002 51.0020323600001,-114.00000001 51.0018066640001,-114.002590052 51.002025845,-114.003670554 51.0020715750001,-114.005593064 51.0021029210001,-114.008122951 51.0022217490001,-114.008731485 51.00229133,-114.009202335 51.002285402,-114.010007208 51.0024049690001,-114.010330518 51.002476195,-114.010649781 51.0026102990001,-114.010978657 51.0028166210001,-114.011197523 51.0031820300001,-114.011225188 51.0034165960001,-114.011223791 51.004325065,-114.011045654 51.0048782100001,-114.010714755 51.0055893310001,-114.010593192 51.0059280300001,-114.010495444 51.0063393010001,-114.010385419 51.00649839,-114.010376746 51.0066330880001,-114.00997849 51.0075044220001,-114.009422601 51.0094960580001,-114.009346363 51.0100158230001,-114.009387099 51.0102687310001,-114.009463837 51.010405619,-114.009530211 51.0107041520001,-114.009598497 51.010750885,-114.009914044 51.0118293640001,-114.010069271 51.012076209,-114.010206566 51.0126014520001,-114.010201736 51.012898153,-114.010126889 51.013175076,-114.010014808 51.0142516130001,-114.009796565 51.0149836200001,-114.009758428 51.0155763050001,-114.009643541 51.0160321010001,-114.009681401 51.016329903,-114.009577042 51.0170648230001,-114.009430977 51.0173399380001,-114.009275298 51.0175428320001,-114.008666512 51.0181389000001,-114.007748066 51.0191138180001,-114.007283319 51.019686591,-114.006190482 51.0207109740001,-114.005283837 51.0217221500001,-114.00492244 51.0220187030001,-114.004873934 51.0221074170001,-114.003819049 51.023204729,-114.002993614 51.0238401780001,-114.002233787 51.0243423950001,-114.00114275 51.0251149330001,-114.000698739 51.0253643880001,-114.000397688 51.025608521,-114.00000002 51.0258653420001)))",7,147113,"48",147113,"8186807",6,
"MULTIPOLYGON (((-114.023523765 50.964746334,-114.023593163 50.964775085,-114.02374832 50.9650219200001,-114.023769286 50.9651393870001,-114.023882346 50.9653761440001,-114.023969555 50.9660170280001,-114.024071264 50.9662085040001,-114.024128036 50.9664348330001,-114.024125614 50.966695626,-114.024078315 50.9667663860001,-114.023945189 50.9668439470001,-114.023717023 50.966847117,-114.023581162 50.9667447140001,-114.023477131 50.966589135,-114.023417477 50.9655172050001,-114.023351138 50.965218683,-114.023365485 50.9649941540001,-114.023420216 50.9648066550001,-114.023523765 50.964746334)))",8,147148,"48",147148,"7203423",7,
"MULTIPOLYGON (((-114.218901989 51.098962639,-114.219837544 51.099083846,-114.220486693 51.0992162060001,-114.220526789 51.099262131,-114.220423713 51.099313657,-114.219509694 51.0993098920001,-114.218612586 51.0992615580001,-114.217341672 51.0994921430001,-114.216756261 51.099487196,-114.216615785 51.0994478740001,-114.216505962 51.0993733070001,-114.216511356 51.0992834740001,-114.216658331 51.099215013,-114.217593636 51.099102369,-114.218458705 51.0989700690001,-114.218901989 51.098962639)))",9,147178,"48",147178,"7719608",7,
"MULTIPOLYGON (((-114.174464661 51.0782880280001,-114.174649982 51.07829252,-114.174717452 51.0783571000001,-114.17467906 51.0785180770001,-114.174397784 51.0786821770001,-114.173664052 51.0787723480001,-114.173300492 51.0788804850001,-114.173157348 51.0788860270001,-114.173090428 51.0788124470001,-114.173093172 51.0787675350001,-114.17330428 51.0785837610001,-114.17355214 51.078499805,-114.173926167 51.0784548890001,-114.174350037 51.078294246,-114.174464661 51.0782880280001)))",10,147199,"48",147199,"6811082",7,
