"","X","Median_1999","Year","Median_2014","Year.1","change","pct_change","category","address","lat","lon"
"1","Akron, OH",77.688,"1.999",68.191,2014,-9.497,-12.2245391823705,"other","Akron, OH",41.083064,-81.518485
"2","Albany-Schenectady-Troy, NY",73.185,"1.999",76.768,2014,3.583,4.89581198332992,"other","Albany",42.6511674,-73.754968
"3","Albuquerque, NM",66.067,"1.999",58.865,2014,-7.20199999999999,-10.9010549896317,"other","Albuquerque, NM",35.0841034,-106.650985
"4","Allentown-Bethlehem-Easton, PA-NJ",71.608,"1.999",69.5,2014,-2.108,-2.94380516143448,"other","Allentown",40.6022552,-75.4716115
"5","Amarillo, TX",60.599,"1.999",63.254,2014,2.655,4.38126041683856,"other","Amarillo, TX",35.20729,-101.8371192
"6","Anchorage, AK",76.653,"1.999",77.46,2014,0.806999999999988,1.0527963680482,"other","Anchorage, AK",61.2163129,-149.894852
"7","Ann Arbor, MI",83.378,"1.999",70.566,2014,-12.812,-15.3661637362374,"other","Ann Arbor, MI",42.2813722,-83.7484616
"8","Anniston-Oxford-Jacksonville, AL",60.516,"1.999",57.056,2014,-3.46,-5.71749619935224,"other","Anniston",33.6624824,-85.8283224
"9","Atlanta-Sandy Springs-Roswell, GA",83.531,"1.999",69.136,2014,-14.395,-17.2331230321677,"other","Atlanta",33.7544657,-84.3898151
"10","Atlantic City-Hammonton, NJ",62.551,"1.999",61.133,2014,-1.418,-2.26695016866237,"other","Atlantic City",39.3642852,-74.4229351
"11","Auburn-Opelika, AL",61.622,"1.999",57.786,2014,-3.836,-6.22504949531011,"other","Auburn",32.6098566,-85.4807825
"12","Augusta-Richmond County, GA-SC",68.55,"1.999",63.485,2014,-5.065,-7.38876732312181,"other","Augusta",48.3690341,10.8979522
"13","Austin-Round Rock, TX",77.997,"1.999",74.453,2014,-3.544,-4.54376450376296,"other","Austin",30.2711286,-97.7436995
"14","Bakersfield, CA",54.27,"1.999",50.88,2014,-3.39,-6.2465450525152,"other","Bakersfield, CA",35.3738712,-119.019463
"15","Baltimore-Columbia-Towson, MD",74.76,"1.999",76.547,2014,1.78699999999999,2.39031567683252,"other","Baltimore",39.2908816,-76.610759
"16","Bangor, ME",58.848,"1.999",59.917,2014,1.069,1.8165443175639,"other","Bangor, ME",44.8016255,-68.7713289
"17","Barnstable Town, MA",73.015,"1.999",80.966,2014,7.95099999999999,10.8895432445388,"riser","Barnstable Town, MA",41.6637897,-70.3030155
"18","Baton Rouge, LA",64.554,"1.999",65.846,2014,1.292,2.00142516342907,"other","Baton Rouge, LA",30.4494155,-91.1869659
"19","Beaumont-Port Arthur, TX",62.538,"1.999",54.365,2014,-8.173,-13.0688541366849,"other","Beaumont",30.0829344,-94.0984277
"20","Bellingham, WA",63.495,"1.999",61.585,2014,-1.91,-3.00811087487203,"other","Bellingham, WA",48.7544012,-122.478836
"21","Bend-Redmond, OR",69.793,"1.999",63.544,2014,-6.24900000000001,-8.95361999054348,"other","Bend",44.0581728,-121.3153096
"22","Binghamton, NY",63.455,"1.999",57.953,2014,-5.502,-8.67071152785438,"other","Binghamton, NY",42.098698,-75.9125187
"23","Birmingham-Hoover, AL",70.026,"1.999",61.295,2014,-8.731,-12.4682260874532,"other","Birmingham",52.4796992,-1.9026911
"24","Blacksburg-Christiansburg-Radford, VA",64.599,"1.999",58.258,2014,-6.341,-9.81594142324185,"other","Blacksburg",37.2296566,-80.4136767
"25","Bloomington, IL",82.618,"1.999",73.861,2014,-8.75699999999999,-10.5993851218863,"other","Bloomington, IL",40.4797828,-88.9939147
"26","Boise City, ID",71.025,"1.999",60.357,2014,-10.668,-15.0200633579726,"other","Boise City, ID",43.6166163,-116.200886
"27","Boston-Cambridge-Newton, MA-NH",78.53,"1.999",79.625,2014,1.095,1.39437157774099,"other","Boston",42.3588336,-71.0578303
"28","Bremerton-Silverdale, WA",70.306,"1.999",68.653,2014,-1.65299999999999,-2.35115068415212,"other","Bremerton",47.5653663,-122.6246836
"29","Bridgeport-Stamford-Norwalk, CT",81.924,"1.999",80.294,2014,-1.63000000000001,-1.98964894292272,"other","Bridgeport",41.1792695,-73.1887863
"30","Brownsville-Harlingen, TX",42.674,"1.999",41.22,2014,-1.454,-3.40722688287951,"other","Brownsville",25.9024289,-97.4981698
"31","Buffalo-Cheektowaga-Niagara Falls, NY",67.431,"1.999",65.885,2014,-1.54599999999999,-2.29271403360471,"other","Buffalo",42.8867166,-78.8783922
"32","Burlington, NC",67.127,"1.999",51.278,2014,-15.849,-23.6104697066754,"faller","Burlington, NC",36.0956918,-79.4377991
"33","Burlington-South Burlington, VT",70.212,"1.999",76.074,2014,5.862,8.34900017091095,"riser","Burlington",44.4761601,-73.212906
"34","Canton-Massillon, OH",70.467,"1.999",62.64,2014,-7.827,-11.1073268338371,"other","Canton",23.1301964,113.2592945
"35","Cape Coral-Fort Myers, FL",67.238,"1.999",61.559,2014,-5.679,-8.44611677920224,"other","Cape Coral",26.5625742,-81.9438802
"36","Champaign-Urbana, IL",68.555,"1.999",58.776,2014,-9.779,-14.2644591933484,"other","Champaign",40.1164841,-88.2430932
"37","Charleston-North Charleston, SC",65.305,"1.999",67.708,2014,2.40299999999999,3.67965699410457,"other","Charleston",32.7884363,-79.9399309
"38","Charlotte-Concord-Gastonia, NC-SC",77.604,"1.999",65.771,2014,-11.833,-15.2479253646719,"other","Charlotte",35.2272086,-80.8430827
"39","Chattanooga, TN-GA",68.394,"1.999",60.561,2014,-7.833,-11.4527590139486,"other","Chattanooga, TN",35.0457219,-85.3094883
"40","Chicago-Naperville-Elgin, IL-IN-WI",75.967,"1.999",67.917,2014,-8.05,-10.5967064646491,"other","Chicago",41.8755616,-87.6244212
"41","Chico, CA",53.553,"1.999",49.438,2014,-4.115,-7.68397662129105,"other","Chico, CA",39.7284945,-121.8374777
"42","Cincinnati, OH-KY-IN",77.139,"1.999",71.77,2014,-5.369,-6.96016282295596,"other","Cincinnati, OH",39.1014537,-84.5124602
"43","Clarksville, TN-KY",62.146,"1.999",53.063,2014,-9.083,-14.6155826601873,"other","Clarksville, TN",36.5277607,-87.3588703
"44","Cleveland-Elyria, OH",78.487,"1.999",67.598,2014,-10.889,-13.8736351242881,"other","Cleveland",41.4996574,-81.6936772
"45","Colorado Springs, CO",74.434,"1.999",66.472,2014,-7.962,-10.6967246150953,"other","Colorado Springs, CO",38.8339578,-104.825348
"46","Columbia, MO",68.343,"1.999",63.677,2014,-4.666,-6.82732686595555,"other","Columbia, MO",38.951883,-92.3337366
"47","Columbus, OH",78.587,"1.999",72.044,2014,-6.54300000000001,-8.32580452237648,"other","Columbus, OH",39.9622601,-83.0007065
"48","Corpus Christi, TX",60.005,"1.999",59.84,2014,-0.164999999999999,-0.274977085242895,"other","Corpus Christi, TX",27.7635302,-97.4033191
"49","Dallas-Fort Worth-Arlington, TX",74.362,"1.999",67.46,2014,-6.902,-9.28162233398779,"other","Dallas",32.7762719,-96.7968559
"50","Daphne-Fairhope-Foley, AL",66.048,"1.999",63.417,2014,-2.631,-3.98346656976744,"other","Daphne",30.6035255,-87.9036047
"51","Dayton, OH",74.669,"1.999",62.715,2014,-11.954,-16.0093211372859,"other","Dayton, OH",39.7589478,-84.1916069
"52","Decatur, AL",69.744,"1.999",61.941,2014,-7.803,-11.1880591878871,"other","Decatur, AL",34.6060203,-86.9838165
"53","Decatur, IL",68.764,"1.999",66.115,2014,-2.649,-3.85230643941597,"other","Decatur, IL",39.8454163,-88.9524151
"54","Deltona-Daytona Beach-Ormond Beach, FL",59.374,"1.999",54.12,2014,-5.254,-8.84899114090343,"other","Deltona",28.904843,-81.2273119
"55","Denver-Aurora-Lakewood, CO",83.489,"1.999",75.962,2014,-7.527,-9.01555893590773,"other","Denver",39.7392364,-104.984862
"56","Detroit-Warren-Dearborn, MI",80.14,"1.999",65.641,2014,-14.499,-18.0920888445221,"other","Detroit",42.3315509,-83.0466403
"57","Dover, DE",66.379,"1.999",68.044,2014,1.66499999999999,2.50832341553803,"other","Dover, DE",39.158168,-75.5243682
"58","East Stroudsburg, PA",69.454,"1.999",65.807,2014,-3.64699999999999,-5.25095746825236,"other","East Stroudsburg, PA",40.9995386,-75.1812913
"59","Eau Claire, WI",67.453,"1.999",64.886,2014,-2.56700000000001,-3.8056127970587,"other","Eau Claire, WI",44.811349,-91.4984941
"60","El Centro, CA",49.2,"1.999",42.969,2014,-6.231,-12.6646341463415,"other","El Centro, CA",32.792,-115.563051
"61","Elkhart-Goshen, IN",73.793,"1.999",57.818,2014,-15.975,-21.6483948341984,"faller","Elkhart",41.6012796,-85.8590603
"62","El Paso, TX",50.193,"1.999",45.765,2014,-4.428,-8.82194728348574,"other","El Paso, TX",31.7601164,-106.4870404
"63","Erie, PA",63.263,"1.999",55.166,2014,-8.097,-12.7989504133538,"other","Erie, PA",42.1294712,-80.0852695
"64","Eugene, OR",63.067,"1.999",52.276,2014,-10.791,-17.1103746808949,"other","Eugene, OR",44.0505054,-123.0950506
"65","Fayetteville, NC",64.618,"1.999",55.016,2014,-9.602,-14.8596366337553,"other","Fayetteville, NC",35.0525759,-78.878292
"66","Fayetteville-Springdale-Rogers, AR-MO",66.209,"1.999",63.636,2014,-2.573,-3.88617861620021,"other","Fayetteville",36.0625843,-94.1574328
"67","Flagstaff, AZ",58.572,"1.999",58.028,2014,-0.544000000000004,-0.928771426620235,"other","Flagstaff, AZ",35.1987522,-111.651822
