cntry,avg_attitude,attitude_normalized
AT,0.6085434177632926,0.19114020934771422
BE,0.6169394874493667,0.2061659833133641
BG,1.0605163533408686,1
CH,0.7159713215160687,0.383395331059023
CY,0.5036324595608742,0.0033894636525135064
CZ,0.5023686975916275,0.0011278099971393422
DE,0.6637365253946977,0.2899148968788107
DK,0.6331919705965507,0.235251751688437
EE,0.5673761226675511,0.11746639600243045
ES,0.7620567430281604,0.46587072164575594
FI,0.6092022792022792,0.19231932093528434
FR,0.6181329741701372,0.20830187098078637
GB,0.6374299291895162,0.24283608701134435
HR,0.70406328978889,0.36208447969661145
HU,0.73030222413558,0.4090422005510274
IE,0.6859650756202639,0.3296955542294082
IS,0.7994186313173564,0.5327343029824444
IT,0.5833885380136723,0.14612253424696922
LT,0.828313652213286,0.5844454093629802
LV,0.7885766598439246,0.5133312943375764
ME,0.5703816111092459,0.12284507813225867
NL,0.660675878036331,0.2844375012502751
NO,0.6907081046602853,0.3381837737097779
PL,0.8033770969187808,0.5398184520666829
PT,0.776080153249438,0.4909672966017731
RS,0.809434165329135,0.5506583026433659
SE,0.7217204533968667,0.3936840922734354
SI,0.5732802225594336,0.1280324910639312
SK,0.5017385023450944,0
