destination_country,citizenship,population,percentage
AT,DE,186841.0,13.5
AT,RS,120174.0,8.7
AT,TR,117297.0,8.5
AT,RO,102270.0,7.4
AT,BA,95189.0,6.9
BE,FR,164870.0,12.1
BE,IT,155591.0,11.4
BE,NL,154749.0,11.3
BE,RO,86562.0,6.3
BE,MA,81310.0,6.0
CZ,UA,114213.0,22.2
CZ,SK,111805.0,21.7
CZ,VN,59376.0,11.5
CZ,RU,34645.0,6.7
CZ,DE,21261.0,4.1
DE,TR,1330772.0,13.7
DE,PL,758380.0,7.8
DE,RO,586594.0,6.1
DE,IT,577468.0,6.0
DE,HR,345784.0,3.6
DK,PL,39307.0,7.8
DK,TR,28168.0,5.6
DK,RO,27813.0,5.5
DK,DE,24764.0,4.9
DK,UK,18306.0,3.6
ES,MA,737622.0,16.1
ES,RO,675745.0,14.8
ES,UK,265153.0,5.8
ES,IT,207372.0,4.5
ES,CN,196788.0,4.3
FI,EE,51539.0,20.8
FI,RU,29183.0,11.8
FI,IQ,11729.0,4.7
FI,CN,8742.0,3.5
FI,SE,8018.0,3.2
FR,PT,548906.0,11.1
FR,DZ,530869.0,10.7
FR,MA,480600.0,9.7
FR,TR,210410.0,4.3
FR,IT,202711.0,4.1
HU,RO,22747.0,14.1
HU,CN,19905.0,12.3
HU,DE,17879.0,11.1
HU,UA,10503.0,6.5
HU,SK,9652.0,6.0
IE,UK,103032.0,17.7
IE,PL,101696.0,17.4
IE,RO,46765.0,8.0
IE,LT,33863.0,5.8
IE,IN,33051.0,5.7
IS,PL,16987.0,44.9
IS,LT,3362.0,8.9
IS,LV,1397.0,3.7
IS,DE,1177.0,3.1
IS,RO,1025.0,2.7
IT,RO,1137060.0,23.3
IT,AL,422582.0,8.7
IT,MA,398652.0,8.2
IT,CN,274218.0,5.6
IT,UA,226450.0,4.6
NL,PL,132378.0,13.4
NL,DE,75037.0,7.6
NL,TR,73837.0,7.4
NL,UK,46013.0,4.6
NL,MA,38020.0,3.8
NO,PL,103800.0,18.3
NO,SE,43963.0,7.7
NO,LT,43680.0,7.7
NO,DE,24654.0,4.3
NO,DK,22806.0,4.0
PT,BR,74376.0,19.2
PT,CV,31260.0,8.1
PT,RO,30201.0,7.8
PT,UA,29815.0,7.7
PT,UK,22431.0,5.8
RO,IT,14866.0,13.0
RO,MD,9190.0,8.0
RO,TR,7754.0,6.8
RO,FR,7019.0,6.1
RO,CN,6635.0,5.8
SE,PL,53991.0,6.1
SE,FI,53810.0,6.1
SE,AF,37436.0,4.2
SE,ER,36440.0,4.1
SE,SO,36387.0,4.1
UK,PL,1033888.0,16.4
UK,RO,416092.0,6.6
UK,IE,354353.0,5.6
UK,IN,352197.0,5.6
UK,IT,300684.0,4.8
