conflict_id,dyad_id,location_inc,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
11447,10006,Ethiopia,Government of Ethiopia,97,,IGLF,1115,,1,Hararghe,1991,100,100,100,3,Ethiopia,530,,,,530,530,4,25.1
372,10054,Mali,Government of Mali,72,,FPLA,934,,1,Azawad,1991,59,3,138,3,Mali,432,,,,432,432,4,25.1
372,11985,Mali,Government of Mali,72,,CMA,1158,,1,Azawad,2012,131,126,309,3,Mali,432,,,,432,432,4,25.1
372,11985,Mali,Government of Mali,72,,CMA,1158,,1,Azawad,2014,94,94,102,3,Mali,432,,,,432,432,4,25.1
372,11985,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Djibouti, Government of DR Congo (Zaire), Government of Egypt, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Madagascar, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)",CMA,1158,,1,Azawad,2015,54,53,72,4,Mali,432,"371, 305, 771, 211, 434, 760, 346, 439, 516, 811, 471, 483, 710, 316, 390, 522, 490, 651, 92, 366, 375, 220, 420, 260, 452, 438, 404, 850, 325, 437, 663, 501, 367, 450, 580, 435, 790, 210, 436, 475, 385, 235, 360, 517, 433, 451, 380, 225, 461, 616, 640, 200, 2, 678",,,432,432,4,25.1
372,800,Mali,Government of Mali,72,,MPA,521,,1,Azawad,1990,457,457,467,3,Mali,432,,,,432,432,4,25.1
372,801,Mali,Government of Mali,72,,FIAA,522,,1,Azawad,1994,106,106,106,3,Mali,432,,,,432,432,4,25.1
372,802,Mali,Government of Mali,72,,ATNMC,523,,1,Azawad,2007,39,39,39,3,Mali,432,,,,432,432,4,25.1
372,802,Mali,Government of Mali,72,,ATNMC,523,,1,Azawad,2008,112,112,127,3,Mali,432,,,,432,432,4,25.1
372,802,Mali,Government of Mali,72,,ATNMC,523,,1,Azawad,2009,39,39,39,3,Mali,432,,,,432,432,4,25.1
283,"10509, 11982, 12463",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Malawi, Government of South Africa, Government of Tanzania","APCLS, Forces of Paul Joseph Mukungubila, M23","1160, 1200, 4286",Government of Rwanda,2,,2013,1380,1360,1390,4,"DR Congo (Zaire), Rwanda",490,"553, 560, 510",,517,490,"490, 517",4,25.1
283,"10509, 11377",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Malawi, Government of South Africa, Government of Tanzania","APCLS, CNPSC","1200, 3043",,2,,2014,86,63,106,4,DR Congo (Zaire),490,"553, 560, 510",,,490,490,4,25.1
283,"10509, 11377, 15389",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Malawi, Government of South Africa, Government of Tanzania","APCLS, CMC, CNPSC","1200, 3043, 6920",,2,,2020,224,214,247,4,DR Congo (Zaire),490,"553, 560, 510",,,490,490,4,25.1
283,"10509, 11377, 11982, 15389, 16286",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Kenya, Government of Nepal, Government of South Africa, Government of Tanzania","APCLS, CMC, CNPSC, M23, RNL","1160, 1200, 3043, 6920, 7098",,2,,2021,401,389,425,4,DR Congo (Zaire),490,"501, 790, 560, 510",,,490,490,4,25.1
283,11377,DR Congo (Zaire),Government of DR Congo (Zaire),89,,CNPSC,3043,,2,,2011,82,82,82,3,DR Congo (Zaire),490,,,,490,490,4,25.1
283,"11377, 11982, 14808",DR Congo (Zaire),Government of DR Congo (Zaire),89,,"CNPSC, M23, UPCP","1160, 3043, 3518","Government of Rwanda, Government of Uganda",2,,2012,734,678,851,4,"DR Congo (Zaire), Rwanda",490,,,"517, 500",490,"490, 517",4,25.1
283,"11377, 11982, 14929, 15135",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Malawi, Government of South Africa, Government of Tanzania","CNPSC, Kamuina Nsapu, M23, MNR","1160, 3043, 6590, 6740",,2,,2017,3309,3067,4265,4,DR Congo (Zaire),490,"553, 560, 510",,,490,490,4,25.1
283,"11377, 14929, 15336, 15389",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Malawi, Government of South Africa, Government of Tanzania","CMC, CNPSC, Kamuina Nsapu, UPLC","3043, 6590, 6894, 6920",,2,,2018,439,439,453,4,DR Congo (Zaire),490,"553, 560, 510",,,490,490,4,25.1
283,"11377, 15336, 15389",DR Congo (Zaire),Government of DR Congo (Zaire),89,"Government of Malawi, Government of South Africa, Government of Tanzania","CMC, CNPSC, UPLC","3043, 6894, 6920",,2,,2019,179,179,181,4,DR Congo (Zaire),490,"553, 560, 510",,,490,490,4,25.1
