Intervention,Years,Science_strength,Note,Gender
Avoid cancer,15,2,,
Avoid heart disease,13,2,,
Be conscientious ,2.5,1,"Includes reliability, non-impulsivity & being neat & orderly",
"Be polygamous, maybe",9.3,1,Men with more than one wife live 12% longer,
Get promoted,3.5,1,Managers & those with more professional responsibility live longer than those with 'routine' work,
Go to church regularly,7,1,,
Have a long-lived maternal grandfather,12,1,,
Have more orgasms,4,1,Shoot for 350 a year!,
Eat less food,11.67,1,Seen 10-20% lifespan boost in rats & monkeys...not yet proved in humans,
Live in a city,-2.5,1,,Female
Live in the country,8,1,,
Be optimistic,2,1,Women with highest levels of cynical hostility were 16% more likely to die ealier,Male
Sit down,-3,1,"No matter how much you exercise, sitting too much raises your risk of death",Male
Hang out with women - a lot!,15,1,Men who spend a lot of time with women in formative years,
Sleep too much,-1.5,1,,male
With close friends,5.3,1,Loneliness equivalent to smoking 15 cigarettes a day,
Be a woman,5.1,2,,
Be alcoholic,-11,2,,Female
Be rich,7.5,2,Poorer people die 5-10 years earlier than thier privileged peers,
Eat red meat,-1,2,,
Get health checks ,0.14,2,When aged 30-49 years,
Get married!,10,2,,
More Pets,3,2,"Cat owners are 30 % less likely to suffer a heart attack, especially in the elderly",
Live healthily,14,3,"Obviously, combine diet & exercise",
Become obese,-8.5,3,,
Exercise more,2,3,150+ mins brisk walking per week,
Have a long-lived sibling,5,3,"If your siblings are long-lived, you probably will be too",
Eat healthy,7,3,Japanese & Mediterranean-style diets,
Live at high altitude,2,3,,Male
Keep smoking,-5,3,,
Suffer severe mental illness,-25,3,25 years shorter life expectancy,
Quit,5,3,10 years gained if you quit age 25; 5 years gained if you quit smoking between 45-59,
