Entity,Code,Year,Military expenditure (constant US$),World regions according to OWID,time
China,CHN,1979,86628520000,Asia,2023
China,CHN,1980,87542440000,Asia,2023
China,CHN,1981,58695717000,Asia,2023
China,CHN,1982,60335202000,Asia,2023
China,CHN,1983,62405997000,Asia,2023
China,CHN,1984,46019842000,Asia,2023
China,CHN,1985,40523000000,Asia,2023
China,CHN,1986,36798493000,Asia,2023
China,CHN,1987,31338742000,Asia,2023
China,CHN,1988,39347230000,Asia,2023
China,CHN,1989,37228310000,Asia,2023
China,CHN,1990,36115345000,Asia,2023
China,CHN,1991,43745178000,Asia,2023
China,CHN,1992,46491435000,Asia,2023
China,CHN,1993,44353475000,Asia,2023
China,CHN,1994,37703193000,Asia,2023
China,CHN,1995,39584637000,Asia,2023
China,CHN,1996,41051615000,Asia,2023
China,CHN,1997,44098110000,Asia,2023
China,CHN,1998,46681285000,Asia,2023
China,CHN,1999,50085597000,Asia,2023
China,CHN,2000,54360410000,Asia,2023
China,CHN,2001,62301393000,Asia,2023
China,CHN,2002,78825360000,Asia,2023
China,CHN,2003,84924420000,Asia,2023
China,CHN,2004,93344660000,Asia,2023
China,CHN,2005,71955260000,Asia,2023
China,CHN,2006,69007974000,Asia,2023
China,CHN,2007,69118590000,Asia,2023
China,CHN,2008,79517870000,Asia,2023
China,CHN,2009,92537995000,Asia,2023
China,CHN,2010,100603840000,Asia,2023
China,CHN,2011,113728320000,Asia,2023
China,CHN,2012,131347530000,Asia,2023
China,CHN,2013,145206640000,Asia,2023
China,CHN,2014,161602130000,Asia,2023
China,CHN,2015,179768640000,Asia,2023
China,CHN,2016,191245810000,Asia,2023
China,CHN,2017,219766100000,Asia,2023
China,CHN,2018,232575680000,Asia,2023
China,CHN,2019,274544210000,Asia,2023
China,CHN,2020,283487040000,Asia,2023
China,CHN,2021,328736800000,Asia,2023
China,CHN,2022,336293700000,Asia,2023
China,CHN,2023,363793100000,Asia,2023
France,FRA,1979,59351953000,Europe,2023
France,FRA,1980,61773332000,Europe,2023
France,FRA,1981,59185740000,Europe,2023
France,FRA,1982,59708070000,Europe,2023
France,FRA,1983,55323280000,Europe,2023
France,FRA,1984,55797887000,Europe,2023
France,FRA,1985,54989517000,Europe,2023
France,FRA,1986,62314795000,Europe,2023
France,FRA,1987,65257160000,Europe,2023
France,FRA,1988,65325494000,Europe,2023
France,FRA,1989,64899273000,Europe,2023
France,FRA,1990,63832834000,Europe,2023
France,FRA,1991,57950870000,Europe,2023
France,FRA,1992,67392140000,Europe,2023
France,FRA,1993,65471170000,Europe,2023
France,FRA,1994,67966510000,Europe,2023
France,FRA,1995,69696365000,Europe,2023
France,FRA,1996,66657500000,Europe,2023
France,FRA,1997,64466317000,Europe,2023
France,FRA,1998,60314340000,Europe,2023
France,FRA,1999,44683227000,Europe,2023
France,FRA,2000,48637290000,Europe,2023
France,FRA,2001,47429540000,Europe,2023
France,FRA,2002,56290038000,Europe,2023
France,FRA,2003,65095356000,Europe,2023
France,FRA,2004,70386794000,Europe,2023
France,FRA,2005,66501423000,Europe,2023
France,FRA,2006,69159210000,Europe,2023
France,FRA,2007,72867970000,Europe,2023
France,FRA,2008,70768860000,Europe,2023
France,FRA,2009,66679624000,Europe,2023
France,FRA,2010,63650644000,Europe,2023
France,FRA,2011,60971800000,Europe,2023
France,FRA,2012,57601960000,Europe,2023
France,FRA,2013,60704170000,Europe,2023
France,FRA,2014,58018136000,Europe,2023
France,FRA,2015,55311670000,Europe,2023
France,FRA,2016,55656590000,Europe,2023
France,FRA,2017,61904613000,Europe,2023
France,FRA,2018,63459860000,Europe,2023
France,FRA,2019,67149984000,Europe,2023
France,FRA,2020,67938804000,Europe,2023
France,FRA,2021,68607810000,Europe,2023
France,FRA,2022,66806510000,Europe,2023
France,FRA,2023,74182330000,Europe,2023
India,IND,1979,12355630000,Asia,2023
India,IND,1980,12316936000,Asia,2023
India,IND,1981,12729407000,Asia,2023
India,IND,1982,13358079000,Asia,2023
India,IND,1983,13091754000,Asia,2023
India,IND,1984,12623791000,Asia,2023
India,IND,1985,13249369000,Asia,2023
India,IND,1986,15343184000,Asia,2023
India,IND,1987,17057670000,Asia,2023
India,IND,1988,16330180000,Asia,2023
India,IND,1989,15506274000,Asia,2023
India,IND,1990,14372088000,Asia,2023
India,IND,1991,12382157000,Asia,2023
India,IND,1992,12048115000,Asia,2023
India,IND,1993,12141449000,Asia,2023
India,IND,1994,11191370000,Asia,2023
India,IND,1995,13569633000,Asia,2023
India,IND,1996,14128284000,Asia,2023
India,IND,1997,15718134000,Asia,2023
India,IND,1998,16566012000,Asia,2023
India,IND,1999,18172725000,Asia,2023
India,IND,2000,17581797000,Asia,2023
India,IND,2001,19054588000,Asia,2023
India,IND,2002,19190675000,Asia,2023
India,IND,2003,20943997000,Asia,2023
India,IND,2004,26763985000,Asia,2023
India,IND,2005,27649597000,Asia,2023
India,IND,2006,30832867000,Asia,2023
India,IND,2007,35881476000,Asia,2023
India,IND,2008,40356008000,Asia,2023
India,IND,2009,44773757000,Asia,2023
India,IND,2010,44966527000,Asia,2023
India,IND,2011,44589912000,Asia,2023
India,IND,2012,47920017000,Asia,2023
India,IND,2013,47184077000,Asia,2023
India,IND,2014,54607080000,Asia,2023
India,IND,2015,54611940000,Asia,2023
India,IND,2016,63007252000,Asia,2023
India,IND,2017,71543100000,Asia,2023
India,IND,2018,77138190000,Asia,2023
India,IND,2019,81441120000,Asia,2023
India,IND,2020,87276290000,Asia,2023
India,IND,2021,90699130000,Asia,2023
India,IND,2022,92817285000,Asia,2023
India,IND,2023,98009680000,Asia,2023
Russia,RUS,1979,491339500000,Europe,2023
Russia,RUS,1980,480612120000,Europe,2023
Russia,RUS,1981,423822900000,Europe,2023
Russia,RUS,1982,430354560000,Europe,2023
Russia,RUS,1983,434765170000,Europe,2023
Russia,RUS,1984,514301200000,Europe,2023
Russia,RUS,1985,402455360000,Europe,2023
Russia,RUS,1986,531757920000,Europe,2023
Russia,RUS,1987,533261320000,Europe,2023
Russia,RUS,1988,425673260000,Europe,2023
Russia,RUS,1989,404361380000,Europe,2023
Russia,RUS,1990,367458780000,Europe,2023
Russia,RUS,1991,279332300000,Europe,2023
Russia,RUS,1992,135713340000,Europe,2023
Russia,RUS,1993,74871760000,Europe,2023
Russia,RUS,1994,47367148000,Europe,2023
Russia,RUS,1995,46858277000,Europe,2023
Russia,RUS,1996,48907158000,Europe,2023
Russia,RUS,1997,45056090000,Europe,2023
Russia,RUS,1998,26695014000,Europe,2023
Russia,RUS,1999,29702476000,Europe,2023
Russia,RUS,2000,26791080000,Europe,2023
Russia,RUS,2001,44068720000,Europe,2023
Russia,RUS,2002,51781005000,Europe,2023
Russia,RUS,2003,63856710000,Europe,2023
Russia,RUS,2004,63828554000,Europe,2023
Russia,RUS,2005,47675363000,Europe,2023
Russia,RUS,2006,44981522000,Europe,2023
Russia,RUS,2007,45784105000,Europe,2023
Russia,RUS,2008,51482567000,Europe,2023
Russia,RUS,2009,50935673000,Europe,2023
Russia,RUS,2010,55578984000,Europe,2023
Russia,RUS,2011,64737214000,Europe,2023
Russia,RUS,2012,73596920000,Europe,2023
Russia,RUS,2013,81277080000,Europe,2023
Russia,RUS,2014,73562140000,Europe,2023
Russia,RUS,2015,65677775000,Europe,2023
Russia,RUS,2016,62454034000,Europe,2023
Russia,RUS,2017,65936730000,Europe,2023
Russia,RUS,2018,63595397000,Europe,2023
Russia,RUS,2019,71306290000,Europe,2023
Russia,RUS,2020,76941400000,Europe,2023
Russia,RUS,2021,88754000000,Europe,2023
Russia,RUS,2022,105586060000,Europe,2023
Russia,RUS,2023,120873290000,Europe,2023
United Kingdom,GBR,1979,56805040000,Europe,2023
United Kingdom,GBR,1980,63781540000,Europe,2023
United Kingdom,GBR,1981,61923810000,Europe,2023
United Kingdom,GBR,1982,59970660000,Europe,2023
United Kingdom,GBR,1983,61318988000,Europe,2023
United Kingdom,GBR,1984,64544293000,Europe,2023
United Kingdom,GBR,1985,63049687000,Europe,2023
United Kingdom,GBR,1986,66991760000,Europe,2023
United Kingdom,GBR,1987,68735980000,Europe,2023
United Kingdom,GBR,1988,66343764000,Europe,2023
United Kingdom,GBR,1989,66804797000,Europe,2023
United Kingdom,GBR,1990,67447595000,Europe,2023
United Kingdom,GBR,1991,61097243000,Europe,2023
United Kingdom,GBR,1992,69101470000,Europe,2023
United Kingdom,GBR,1993,64852353000,Europe,2023
United Kingdom,GBR,1994,63356264000,Europe,2023
United Kingdom,GBR,1995,61051257000,Europe,2023
United Kingdom,GBR,1996,59748008000,Europe,2023
United Kingdom,GBR,1997,60356542000,Europe,2023
United Kingdom,GBR,1998,63224463000,Europe,2023
