"genre"	"y1945"	"y1946"	"y1947"	"y1948"	"y1949"	"y1950"	"y1951"	"y1952"	"y1953"	"y1954"	"y1955"	"y1956"	"y1957"	"y1958"	"y1959"	"y1960"	"y1961"	"y1962"	"y1963"	"y1964"	"y1965"	"y1966"	"y1967"	"y1968"	"y1969"	"y1970"	"y1971"	"y1972"	"y1973"	"y1974"	"y1975"	"y1976"	"y1977"	"y1978"	"y1979"	"y1980"	"y1981"	"y1982"	"y1983"	"y1984"	"y1985"	"y1986"	"y1987"	"y1988"	"y1989"	"y1990"	"y1991"	"y1992"	"y1993"	"y1994"	"y1995"	"y1996"	"y1997"	"y1998"	"y1999"	"y2000"	"y2001"	"y2002"	"y2003"	"y2004"	"y2005"	"y2006"	"y2007"	"y2008"	"y2009"	"y2010"	"y2011"	"y2012"	"y2013"	"y2014"	"y2015"	"y2016"	"y2017"	"y2018"	"y2019"	"y2020"	"y2021"
"Drama"	0	17	37	98	379	680	910	1076	1341	2632	2466	1780	1573	1690	1553	1720	1894	1122	1565	1471	2240	2356	2056	1916	2145	2797	2952	2635	2612	2558	2680	2532	1714	2194	1431	1548	2267	2865	2648	2845	1864	2158	2268	2069	2622	2578	2708	2838	3609	4448	4098	5230	5890	5965	6536	7793	9188	9118	9572	8536	9677	11168	15705	17802	17647	18758	19168	20613	19452	21016	23019	22204	26178	27404	28297	16008	17912
"Comedy"	5	13	20	19	74	168	506	455	690	998	1195	764	878	796	644	783	940	828	925	1057	1210	984	1079	1075	1244	1372	1412	1454	1489	1328	1489	1310	1439	1416	1474	1518	1730	1979	1629	1664	1434	1762	2032	2168	2743	2880	3672	3283	3740	3993	4523	4469	4703	4573	4206	4321	4498	4228	4728	6460	6519	7469	9099	10013	11661	13243	17537	21066	24554	25343	26648	28802	28503	25190	22904	21997	12978
"Talk-Show"	0	5	9	76	96	119	172	114	30	32	141	107	281	275	226	149	296	471	127	234	625	412	821	684	936	647	651	666	655	623	559	515	603	610	629	748	729	840	678	655	938	861	1060	1068	1633	1309	1357	1493	1781	1957	2217	2348	2871	3017	3077	3106	3929	4089	5203	6724	7043	7858	9453	9119	10104	12958	17012	19311	23190	24284	26320	29715	29696	25726	26732	32141	20596
"Drama,Romance"	0	0	0	0	13	26	186	131	22	18	7	209	120	86	25	119	165	181	420	809	1389	1397	1120	1560	1541	2143	3335	3164	3673	2950	3403	2774	3899	2979	3086	3887	3735	4721	3938	3608	4817	3985	4662	5071	4861	5025	5434	5536	5335	4659	5001	5936	5864	5796	7317	5897	6128	5432	7672	7918	7728	7681	7167	7524	9143	8894	8665	9302	8713	9027	7968	6597	7035	7628	6478	4954	4487
"News"	0	2	0	1	0	21	55	137	123	147	49	35	63	84	61	52	37	85	83	107	322	418	428	375	404	405	431	473	431	596	739	714	719	744	747	400	236	345	516	505	534	541	783	624	728	1011	913	965	867	1006	1929	1773	2206	2640	2785	3215	3507	3087	3265	3921	4199	4365	6103	5645	6266	7200	7871	12748	14730	14065	14014	14980	15223	12219	12425	13393	14978
"Documentary"	0	1	5	3	5	13	28	9	11	56	80	145	292	230	214	230	311	345	407	499	413	551	634	642	746	696	714	581	604	597	629	760	728	793	705	801	838	987	947	1073	1003	1051	1175	1076	1063	1374	1080	1229	1348	1446	1509	1683	1638	1992	2387	2619	3188	3429	4128	4869	5616	6225	7025	7038	7461	7797	9202	9806	10373	10935	11838	12850	13319	13286	13184	12761	8037
"Reality-TV"	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	4	7	21	10	11	7	1	1	24	3	26	19	15	5	0	27	63	59	77	76	70	42	58	54	53	13	25	21	20	31	32	30	89	199	333	397	443	416	491	661	1076	1095	861	1614	2623	3206	4166	6278	7658	8765	11198	14732	15091	15253	15797	16163	16488	16050	15018	14621	12174	8200
"Adult"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	4	24	51	235	540	881	1289	1882	2702	3773	5173	5452	7200	6917	7768	9512	10374	11529	12705	12609	12336	11337	9539	5891
"Game-Show"	2	9	5	16	27	45	124	87	130	163	191	242	301	208	200	316	220	223	543	673	467	593	478	520	549	198	203	225	524	308	307	500	656	640	785	758	669	740	1435	1447	1394	1504	1573	1370	945	1099	1291	1066	1575	1808	2259	2003	1469	2065	2729	3003	2772	2093	2389	2889	2027	3007	2808	3543	3541	3414	3450	3535	3339	4041	4287	3993	4124	4544	4900	3930	3063
"News,Talk-Show"	0	0	4	1	2	7	9	36	9	10	20	20	42	18	21	24	14	22	37	46	59	88	85	61	32	19	21	21	50	27	70	55	109	174	169	189	69	72	71	94	93	117	116	139	200	203	103	121	333	630	638	574	550	936	937	973	1121	1328	1517	2181	3062	2113	2608	2558	2516	3927	5958	7282	7805	7900	7785	8084	8571	5978	6051	6518	6669
