Hora,Turbinación bombeo,Consumo bombeo,Entrega de baterías,Carga de baterías
2025-04-27 21:00,1586,-212,9,0
2025-04-27 21:05,1721,-212,9,0
2025-04-27 21:10,1848,-212,9,0
2025-04-27 21:15,1876,-212,9,0
2025-04-27 21:20,1844,-212,9,0
2025-04-27 21:25,1836,-212,9,0
2025-04-27 21:30,1754,-212,9,0
2025-04-27 21:35,1589,-212,9,0
2025-04-27 21:40,1610,-211,4,0
2025-04-27 21:45,1680,-212,4,0
2025-04-27 21:50,1692,-212,4,0
2025-04-27 21:55,1684,-212,3,0
2025-04-27 22:00,1586,-212,3,0
2025-04-27 22:05,1544,-212,2,0
2025-04-27 22:10,1468,-212,2,0
2025-04-27 22:15,1580,-212,1,0
2025-04-27 22:20,1566,-212,1,0
2025-04-27 22:25,1447,-212,1,0
2025-04-27 22:30,1400,-212,1,0
2025-04-27 22:35,1433,-212,0,0
2025-04-27 22:40,1617,-212,0,0
2025-04-27 22:45,1516,-212,0,0
2025-04-27 22:50,1443,-212,0,0
2025-04-27 22:55,1520,-213,0,0
2025-04-27 23:00,1483,-213,0,0
2025-04-27 23:05,1658,-213,0,0
2025-04-27 23:10,1640,-213,0,0
2025-04-27 23:15,1316,-213,0,0
2025-04-27 23:20,1364,-213,0,0
2025-04-27 23:25,1484,-349,0,0
2025-04-27 23:30,1525,-348,0,0
2025-04-27 23:35,1626,-481,0,0
2025-04-27 23:40,1594,-482,0,0
2025-04-27 23:45,1593,-505,0,0
2025-04-27 23:50,1571,-616,0,0
2025-04-27 23:55,1569,-614,0,0
2025-04-28 0:00,1310,-741,0,0
2025-04-28 0:05,1456,-740,0,0
2025-04-28 0:10,1319,-740,0,0
2025-04-28 0:15,1348,-744,0,0
2025-04-28 0:20,1354,-740,0,0
2025-04-28 0:25,1361,-741,0,0
2025-04-28 0:30,1356,-740,0,0
2025-04-28 0:35,1397,-742,0,0
2025-04-28 0:40,1335,-743,0,0
2025-04-28 0:45,1153,-743,0,0
2025-04-28 0:50,1045,-742,0,0
2025-04-28 0:55,1085,-742,0,0
2025-04-28 1:00,1105,-742,0,0
2025-04-28 1:05,1114,-741,0,0
2025-04-28 1:10,1095,-739,0,0
2025-04-28 1:15,1159,-741,0,0
2025-04-28 1:20,1179,-741,0,0
2025-04-28 1:25,1179,-740,0,0
2025-04-28 1:30,1104,-769,0,0
2025-04-28 1:35,1092,-876,0,0
2025-04-28 1:40,1001,-875,0,0
2025-04-28 1:45,968,-876,0,0
2025-04-28 1:50,830,-874,0,0
2025-04-28 1:55,920,-875,0,0
2025-04-28 2:00,857,-876,0,0
2025-04-28 2:05,1048,-925,0,0
2025-04-28 2:10,1143,-927,0,0
2025-04-28 2:15,1050,-926,0,0
2025-04-28 2:20,1132,-927,0,0
2025-04-28 2:25,1147,-928,0,0
2025-04-28 2:30,1148,-926,0,0
2025-04-28 2:35,1149,-927,0,0
2025-04-28 2:40,1106,-928,0,0
2025-04-28 2:45,1129,-928,0,0
2025-04-28 2:50,1052,-928,0,0
2025-04-28 2:55,1067,-928,0,0
2025-04-28 3:00,1139,-926,0,0
2025-04-28 3:05,1133,-927,0,0
2025-04-28 3:10,1007,-928,0,0
2025-04-28 3:15,940,-929,0,0
2025-04-28 3:20,966,-927,0,0
2025-04-28 3:25,909,-924,0,0
2025-04-28 3:30,889,-926,0,0
2025-04-28 3:35,1002,-925,0,0
2025-04-28 3:40,890,-925,0,0
2025-04-28 3:45,890,-926,0,0
2025-04-28 3:50,964,-926,0,0
2025-04-28 3:55,980,-924,0,0
2025-04-28 4:00,1079,-925,0,0
2025-04-28 4:05,1210,-927,0,0
2025-04-28 4:10,1172,-923,0,0
2025-04-28 4:15,1281,-926,0,0
2025-04-28 4:20,1246,-926,0,0
2025-04-28 4:25,1168,-924,0,0
2025-04-28 4:30,1183,-926,0,0
2025-04-28 4:35,1227,-924,0,0
2025-04-28 4:40,1191,-924,0,0
2025-04-28 4:45,1228,-924,0,0
2025-04-28 4:50,981,-926,0,0
2025-04-28 4:55,953,-924,0,0
2025-04-28 5:00,965,-927,0,0
2025-04-28 5:05,1112,-924,0,0
2025-04-28 5:10,1208,-922,0,0
2025-04-28 5:15,1142,-924,0,0
2025-04-28 5:20,1131,-927,0,0
2025-04-28 5:25,1142,-923,0,0
2025-04-28 5:30,1186,-922,0,0
2025-04-28 5:35,1174,-922,0,0
2025-04-28 5:40,992,-923,0,0
2025-04-28 5:45,1132,-923,0,0
2025-04-28 5:50,1076,-871,0,0
2025-04-28 5:55,998,-871,0,0
2025-04-28 6:00,840,-874,0,0
2025-04-28 6:05,850,-871,0,0
2025-04-28 6:10,1062,-867,0,0
2025-04-28 6:15,1203,-870,0,0
2025-04-28 6:20,1247,-869,0,0
2025-04-28 6:25,1154,-870,0,0
2025-04-28 6:30,1254,-871,0,0
2025-04-28 6:35,1210,-615,0,0
2025-04-28 6:40,1074,-618,0,0
2025-04-28 6:45,1174,-455,0,0
2025-04-28 6:50,1204,-212,0,0
2025-04-28 6:55,1391,-212,0,0
2025-04-28 7:00,1521,-212,0,0
2025-04-28 7:05,1852,-212,0,0
2025-04-28 7:10,1893,-212,0,0
2025-04-28 7:15,1985,-212,0,0
2025-04-28 7:20,2075,-214,0,0
2025-04-28 7:25,2058,-214,0,0
2025-04-28 7:30,2099,-215,0,0
2025-04-28 7:35,2149,-215,0,0
2025-04-28 7:40,2128,-215,0,0
2025-04-28 7:45,2100,-215,0,0
2025-04-28 7:50,2055,-215,0,0
2025-04-28 7:55,1915,-216,0,0
2025-04-28 8:00,1530,-216,0,0
2025-04-28 8:05,1215,-217,1,0
2025-04-28 8:10,1236,-138,1,0
2025-04-28 8:15,1222,-137,1,0
2025-04-28 8:20,1145,-138,1,0
2025-04-28 8:25,1058,-138,0,0
2025-04-28 8:30,901,-271,2,0
2025-04-28 8:35,960,-272,2,0
2025-04-28 8:40,854,-302,2,0
