industry;market_share_2000;market_share_now
Hardware stores;42;84
Shipbuilding;24;62
Private prisons;19;55
Tobacco;51;82
Pharmacies;30;61
Mattress mfg;35;61
Craft stores;39;60
Airlines;22;41
Car rental;35;52
Industrial laundry;34;49
Meat processing;21;35
Credit rating;22;35
Sanitary paper;53;63
Truck and bus mfg.;52;62
Railroads;49;58
Amusement parks;60;69
Credit cards;26;35
Movie theaters;36;41
Aircraft mfg.;51;49
Pesticides;49;46
Outdoor ads;38;36
Investment banking;34;23
Tire mfg.;70;45
Smartphones;79;99
Social networks;75;82
Cellphone service;65;68
