Year ;Country;GRI;SHI;Population Size ;Colour 
2007;Bangladesh ;4;8.3;144135934;
2008;Bangladesh ;5.1;6.6;145421318;
2009;Bangladesh ;5.1;8.3;146706810;
2010;Bangladesh ;5.6;8.2;148391139;
2011;Bangladesh ;6.1;6.3;150211005;
2012;Bangladesh ;5.3;7.6;152090649;
2013;Bangladesh ;5.2;8.7;154030139;
2014;Bangladesh ;4.3;5.8;155961299;
2015;Bangladesh ;5;5.6;157830000;
2016;Bangladesh ;4.9;7.6;159784568;
2017;Bangladesh ;4.8;7.2;161793964;
2018;Bangladesh ;4.7;6.9;163683958;
2019;Bangladesh ;4.8;6.7;165516222;
2020;Bangladesh ;4.8;7;167420951;
2007;Brazil ;0.4;0.8;190779453;
2008;Brazil ;0.8;1.6;192672317;
2009;Brazil ;1.1;1.7;194517549;
2010;Brazil ;1;3.3;196353492;
2011;Brazil ;0.4;3.5;198185302;
2012;Brazil ;0.6;2.8;199977707;
2013;Brazil ;0.2;3.7;201721767;
2014;Brazil ;0.7;3.5;203459650;
2015;Brazil ;0.7;2.5;205188205;
2016;Brazil ;1.4;3.5;206859578;
2017;Brazil ;1.3;4.3;208504960;
2018;Brazil ;1.3;4.5;210166592;
2019;Brazil ;2.4;4.7;211782878;
2020;Brazil ;2.5;4.6;213196304;
2007;China ;7.8;0.9;1321513224;
2008;China ;7.7;2.7;1330167148;
2009;China ;8.2;3.3;1339125595;
2010;China ;7.5;2;1348191368;
2011;China ;8.5;2.2;1357095481;
2012;China ;8.6;3.6;1366560818;
2013;China ;9.1;4.4;1376100308;
2014;China ;8.6;3.3;1385189668;
2015;China ;8.6;2.9;1393715448;
2016;China ;8.8;1.3;1401889681;
2017;China ;8.9;1.3;1410275957;
2018;China ;9.3;1.5;1417069468;
2019;China ;9.3;0.6;1421864031;
2020;China ;9.3;0.1;1424929781;
2007;DRC;1.3;2.6;60289422;
2008;DRC;2.1;4;62249724;
2009;DRC;0.7;3.1;64270232;
2010;DRC;2.8;2.9;66391257;
2011;DRC;2.1;3.7;68654269;
2012;DRC;1.2;3.2;70997870;
2013;DRC;1.1;2.3;73460021;
2014;DRC;1.2;1;76035588;
2015;DRC;2.4;3.1;78656904;
2016;DRC;1.9;4.4;81430977;
2017;DRC;3;4;84283273;
2018;DRC;3;4.5;87087355;
2019;DRC;1.4;3;89906890;
2020;DRC;2.3;3.8;92853164;
2007;Egypt;7.2;6.1;82218755;
2008;Egypt;8.1;7;83844783;
2009;Egypt;8.6;7.4;85501064;
2010;Egypt;8.7;7.6;87252413;
2011;Egypt;8.9;7.6;89200054;
2012;Egypt;8.8;8.3;91240376;
2013;Egypt;8.2;7.7;93377890;
2014;Egypt;8.3;6.8;95592324;
2015;Egypt;8.7;7.2;97723799;
2016;Egypt;7.9;8.5;99784030;
2017;Egypt;8;8.5;101789386;
2018;Egypt;7.7;7.5;103740765;
2019;Egypt;8.4;6.5;105618671;
2020;Egypt;7.3;7.4;107465134;
2007;Ethiopia ;2.6;5.3;81996185;
2008;Ethiopia ;2.9;3.2;84357105;
2009;Ethiopia ;3.5;5.1;86755585;
2010;Ethiopia ;4.3;4.9;89237791;
2011;Ethiopia ;4.9;6.7;91817929;
2012;Ethiopia ;5.3;5.3;94451280;
2013;Ethiopia ;4.6;4.8;97084366;
2014;Ethiopia ;3.6;3.2;99746766;
2015;Ethiopia ;3.1;2;102471895;
2016;Ethiopia ;4.7;2.5;105293228;
2017;Ethiopia ;4.1;3.9;108197950;
2018;Ethiopia ;3.9;5.2;111129438;
2019;Ethiopia ;3.4;5.9;114120594;
2020;Ethiopia ;4.1;4.5;117190911;
2007;France ;3.3;3.4;61329376;
2008;France ;3.4;2.6;61721009;
2009;France ;5.3;3;62093296;
2010;France ;4.1;5.1;62444567;
2011;France ;3.9;5.4;62775268;
2012;France ;4.3;6.5;63071416;
2013;France ;4.2;5.1;63335180;
2014;France ;4.4;5.4;63588491;
2015;France ;5.2;5.1;63809769;
2016;France ;5.2;5.9;63989319;
2017;France ;4.9;6;64144086;
2018;France ;5;5.4;64277808;
2019;France ;4.6;3.5;64399759;
2020;France ;5.4;4.7;64480053;
2007;Germany ;3.1;2.1;81183830;
2008;Germany ;3.2;2.9;81217482;
2009;Germany ;3;3.7;81260615;
2010;Germany ;4;5.3;81325090;
2011;Germany ;3.5;5;81423378;
2012;Germany ;3.8;5.6;81545565;
2013;Germany ;4.5;4.3;81680591;
2014;Germany ;3.4;2.5;81858825;
2015;Germany ;3.7;5.3;82073226;
2016;Germany ;3;6.8;82331423;
2017;Germany ;3.2;7.1;82624374;
2018;Germany ;3.3;5.8;82896696;
2019;Germany ;3.2;5.9;83148141;
2020;Germany ;3.3;4;83328988;
2007;India ;4.8;8.8;1189691809;
2008;India ;5.8;8.8;1206734806;
2009;India ;5;8.8;1223640160;
2010;India ;5.3;9;1240613620;
2011;India ;5.1;9.6;1257621191;
2012;India ;5.5;9.6;1274487215;
2013;India ;5;9;1291132063;
2014;India ;4.5;7.9;1307246509;
2015;India ;5.1;8.7;1322866505;
2016;India ;5.1;9.7;1338636340;
2017;India ;5.4;9.5;1354195680;
2018;India ;5.9;9.6;1369003306;
2019;India ;5.6;9.1;1383112050;
2020;India ;5.8;9.4;1396387127;
2007;Indonesia ;6.2;8.3;234858289;
2008;Indonesia ;7.4;7.2;237936543;
2009;Indonesia ;7;8.1;240981299;
2010;Indonesia ;8.6;7.2;244016173;
2011;Indonesia ;8.2;8.7;247099697;
2012;Indonesia ;8.3;8.5;250222695;
2013;Indonesia ;8.5;7.8;253275918;
2014;Indonesia ;7.9;7.1;256229761;
2015;Indonesia ;7.6;5.4;259091970;
2016;Indonesia ;8.5;5.5;261850182;
2017;Indonesia ;7.9;5.9;264498852;
2018;Indonesia ;7.7;6.7;267066843;
2019;Indonesia ;7.9;4.8;269582878;
2020;Indonesia ;7.9;5.5;271857970;
2007;Iran ;7.9;6;72319418;
2008;Iran ;8.7;4.4;73318394;
2009;Iran ;8;6.7;74322685;
2010;Iran ;7.9;5;75373855;
2011;Iran ;8.8;5.9;76342971;
2012;Iran ;8.9;5.4;77324451;
2013;Iran ;8.6;5.2;78458928;
2014;Iran ;8;4.5;79961672;
2015;Iran ;8.5;3.2;81790841;
2016;Iran ;8.5;3.5;83306231;
2017;Iran ;8.4;2.6;84505076;
2018;Iran ;8.5;2.6;85617562;
2019;Iran ;8.1;1.5;86564202;
2020;Iran ;8.2;1.9;87290193;
2007;Italy ;2;1.9;58778482;
2008;Italy ;2.3;2.4;59224228;
2009;Italy ;2.1;2.4;59562841;
2010;Italy ;2.6;3.3;59822450;
2011;Italy ;2.8;4;60025952;
2012;Italy ;2.6;5.7;60190145;
2013;Italy ;2;3.7;60312599;
2014;Italy ;2.3;5.1;60322791;
2015;Italy ;3;4.8;60232906;
2016;Italy ;3;5.1;60118626;
2017;Italy ;2.9;5;60004032;
