Appendix 2: Poverty lines and economic variables used in main specifications;;;;;;
Country /territory;Year;National poverty line 2011 PPPs;Household survey mean 2011 PPPs;HFCE (2011 PPPs);GNI (2011 USD, Atlas);Source of national poverty rate
Zambia;2007;1.83;2.66;;2.62;World Bank
West Bank and Gaza;2009;6.06;10.76;9.72;5.91;World Bank
Vietnam;2012;3.35;8.07;7.83;4.23;World Bank
Venezuela, RB;2006;6.28;11.63;20.99;18.59;World Bank
Uruguay;2011;6.92;23.09;30.49;32.9;World Bank
United States;2010;21.7;62.38;92.57;136.28;Country
United Kingdom;2011;21.29;44.99;59.1;110.11;OECD
Ukraine;2011;5.94;11.9;15.55;8.52;World Bank
Uganda;2012;1.46;3.55;3.13;1.71;World Bank
Turkey;2011;2.82;15.73;29.61;28.74;World Bank
Tunisia;2010;3.97;9.48;;11.55;World Bank
Togo;2011;2.1;2.63;2.72;1.26;World Bank
Thailand;2011;5.43;13.48;18.31;13.7;World Bank
Tanzania;2012;1.44;2.67;3.43;2.11;World Bank
Tajikistan;2009;4.46;5.41;5.2;1.85;World Bank
Switzerland;2011;31.51;64.58;72.69;217.23;OECD
Sweden;2011;29.09;49.24;53.71;153.67;OECD
Swaziland;2009;3.08;3.85;17.91;7.48;World Bank
Sudan;2009;3.5;4.57;6.31;3.17;World Bank
Sri Lanka;2010;2.6;6.69;12.52;6.57;World Bank
Spain;2011;18.63;38.07;46.8;85.32;OECD
South Africa;2009;5.62;11.83;17.7;16.53;World Bank
Slovenia;2011;19.37;34.39;39.98;67.37;World Bank
Slovak Republic;2011;15.69;30.49;35.9;47.15;World Bank
Sierra Leone;2011;1.91;2.33;2.93;1.37;World Bank
Seychelles;2006;10.08;17.45;;38.66;World Bank
Serbia;2010;5.42;12.84;21.57;16.29;World Bank
Senegal;2011;2.21;3.16;4.19;2.82;World Bank
Sao Tome and Principe;2001;2.73;3.13;;;World Bank
Rwanda;2011;1.46;2.76;3.15;1.62;World Bank
Russian Federation;2011;8.3;24.55;31.34;29.64;World Bank
Romania;2011;5.24;8.54;28.99;23.59;World Bank
Portugal;2011;12.81;26.67;44.03;62.08;OECD
Poland;2011;8.01;16.44;35.4;35.45;World Bank
Philippines;2012;2.44;5.72;11.5;8.13;World Bank
Peru;2011;5.52;12.92;16.53;13.34;World Bank
Paraguay;2011;6.32;15.64;13.9;8.9;World Bank
Papua New inea;2010;1.92;3.21;;3.54;World Bank
Panama;2011;6.96;19.5;25.36;22.58;World Bank
Pakistan;2006;2.05;3.66;8.89;2.52;World Bank
Norway;2011;35.12;64.27;63.41;247.32;OECD
Nigeria;2010;1.65;2.49;8.78;4.06;World Bank
Niger;2011;1.86;2.35;1.58;0.99;World Bank
Nicaragua;2009;4.49;7.54;9.08;3.95;World Bank
Netherlands;2012;26.31;49.21;53.41;142.21;OECD
Nepal;2010;2.2;3.91;4.03;1.5;World Bank
Namibia;2010;2.14;7.79;13.36;12.14;World Bank
Mozambique;2009;1.45;1.96;1.9;1.35;World Bank
Morocco;2007;2.55;7.83;8.19;6.8;World Bank
Montenegro;2011;6.06;14.36;26.12;19.84;World Bank
Mongolia;2011;5.56;8.78;11.41;7.12;World Bank
Moldova;2011;4.86;9.19;11.03;5.45;World Bank
Mexico;2012;8.02;12.16;25.4;25.9;World Bank
Mauritania;2008;3.7;5.47;4.44;3.04;World Bank
Mali;2006;1.82;2.55;2.41;1.35;World Bank
Malaysia;2009;3.38;20.62;22.88;21.35;World Bank
Malawi;2010;1.27;1.9;1.44;0.97;World Bank
Madagascar;2010;1.62;1.45;3.19;1.17;World Bank
Macedonia, FYR;2006;4.69;12.41;17.76;10.26;World Bank
Luxembourg;2011;32.39;69.99;72.59;207.26;OECD
Lithuania;2011;9.16;18.36;33.95;35.67;World Bank
Liberia;2007;1.75;1.79;2.1;0.48;World Bank
Lesotho;2010;1.76;2.49;5.96;3.23;World Bank
Latvia;2011;8.26;17.45;28.1;36.01;World Bank
Kyrgyz Republic;2011;3.88;5.3;6.76;2.41;World Bank
Kenya;2005;2.39;4.09;4.72;1.69;World Bank
Kazakhstan;2011;4.9;11.2;23.34;22.44;World Bank
Jamaica;2004;4.07;12.07;;12.8;World Bank
Italy;2011;20.72;41.59;56.12;103.26;OECD
Israel;2010;13.76;30.8;43.6;82.02;OECD
Ireland;2011;20.33;41.05;49.03;118.08;OECD
Indonesia;2011;1.85;4.84;11.87;8.25;World Bank
India;2012;1.91;3.68;7.78;4.06;World Bank
Iceland;2011;22.7;45.51;54.18;102.99;OECD
Hungary;2011;9.59;19.65;29.18;35.75;World Bank
Honduras;2011;6.43;8.87;9.28;5.73;World Bank
Haiti;2012;2.15;3.44;;2.03;World Bank
Guinea-Bissau;2010;2.01;2.27;;1.5;World Bank
Guinea;2012;2.53;2.87;2.76;1.16;World Bank
Guatemala;2011;5.51;8.6;14.88;7.75;World Bank
Greece;2011;12.85;25.62;46.7;68.44;OECD
Ghana;2006;2.23;4.32;4.12;1.87;World Bank
Germany;2011;26.39;52.79;61.4;127.34;OECD
Georgia;2011;1.89;5.22;13.08;7.81;World Bank
Gambia, The;2003;2.45;3.19;3.14;1.53;World Bank
Gabon;2005;3.63;6.91;10.24;17.78;World Bank
France;2011;24.69;52.95;54.45;121.15;OECD
Finland;2011;26.06;49.23;54.76;136.74;Country
Fiji;2009;4.49;8.12;;10.84;World Bank
Ethiopia;2011;1.8;2.88;2.09;1.07;World Bank
Estonia;2011;11.07;21.83;27.98;43.51;World Bank
El Salvador;2011;5.42;8.89;18.4;9.86;World Bank
Ecuador;2011;4.68;10.73;16.05;13.42;World Bank
Dominican Republic;2011;6.66;12.45;22.12;14.88;World Bank
Denmark;2011;26.44;48.91;51.35;168.47;OECD
Czech Republic;2011;12.98;26.76;35.52;53.15;World Bank
Croatia;2011;9.62;18.18;29.28;38.49;World Bank
Cote d'Ivoire;2008;2.41;3.92;;3.13;World Bank
Costa Rica;2011;7.04;20.9;23.55;21.86;World Bank
Congo, Rep.;2011;2.75;3.81;5.31;6.11;World Bank
Congo, Dem. Rep.;2012;1.4;1.5;1.28;0.95;World Bank
Comoros;2004;3.89;8.12;3.79;1.83;World Bank
Colombia;2011;5.42;13.62;18.72;16.93;World Bank
China;2011;1.78;4.71;9.32;13.7;World Bank
Chile;2011;7.17;20.86;31.85;33.84;World Bank
Chad;2011;2.24;3.23;3.46;2.44;World Bank
Central African Republic;2008;1.72;2.42;2.14;1.2;World Bank
Canada;2010;23.48;55.91;60.13;123.76;Country
Cameroon;2007;2.35;4.08;5.06;2.95;World Bank
Burundi;2006;1.54;1.57;1.22;0.43;World Bank
Burkina Faso;2009;1.64;2.39;2.52;1.54;World Bank
Bulgaria;2011;7.95;14.96;23.03;19.4;World Bank
Brazil;2011;3.05;16.18;21.72;30.16;World Bank
Botswana;2009;1.97;9.55;12.76;14.52;World Bank
Bosnia and Herzegovina;2007;9.79;20.23;;11.24;World Bank
Bolivia;2011;7.63;11.92;9.47;5.51;World Bank
Bhutan;2012;2.97;8,00;7.96;6.28;World Bank
Benin;2011;1.44;2.71;3.28;2.11;World Bank
Belgium;2010;26.85;47.73;54.64;132.8;OECD
Belarus;2011;7.59;17.23;22.36;16.79;World Bank
Azerbaijan;2001;5.19;6.88;6.48;2.45;World Bank
Austria;2011;27.02;54.99;63.41;137.84;OECD
Australia;2010;28.14;54.49;59.63;129.55;OECD
Armenia;2011;3.87;5.67;15.88;9.37;World Bank
Angola;2009;2.17;3.97;7.44;;World Bank
Albania;2012;3.8;7.41;16.46;11.81;World Bank
