City,Ranking
Hangzhou,1
Shenzhen,2
Shanghai,3
Suzhou ,4
Guangzhou,5
Beijing,6
Zhuhai,7
Hefei,8
Chengdu,9
Nanjing,10
Dongguan,11
Jiaxing,12
Changsha,13
Ningbo,14
Jinan,15
Xiamen,16
Wuxi,17
Wuhan,18
Qingdao,19
Foshan,20
Nantong,21
Haikou,22
Zhengzhou,23
Xian,24
Changzhou,25
Zhongshan,26
Huizhou,27
Fuzhou,28
Mianyang,29
Nanchang,30
Tianjin,31
Wuhu,32
Yantai,33
Wenzhou,34
Taizhou,35
Jiangmen,36
Yangzhou,37
Guiyang,38
Chongqing,39
Nanning,40
Weihai,41
Maanshan,42
Leshan,43
Shijiazhuang,44
Yichang,45
Taiyuan,46
Luoyang,47
Zhuzhou,48
Lanzhou,49
Qinhuangdao,50
Kunming,51
Nanchong,52
Shenyang,53
Tongling,54
Quanzhou,55
Dalian,56
Dongying,57
Yueyang,58
Changde,59
Huaiyin,60
Xiangtan,61
Xianyang,62
Suqian,63
Xinxiang,64
Yancheng,65
Suzhou ,66
Lianyuan,67
Urumqi,68
Liuzhou,69
Weifang,70
Xining,71
Baoding,72
Tangshan,73
Zibo,74
Jining,75
Putian,76
Nanyang,77
Guilin,78
Linyi,79
Hengyang,80
Zhanjiang,81
Jingzhou,82
Zhangjiakou,83
Shiyan,84
Hohhot,85
Rizhao,86
Changchun,87
Xuzhou,88
Taian,89
Yinchuan,90
Zaozhuang,91
Handan,92
Anyang,93
Shantou,94
Baotou,95
Harbin,96
Datong,97
Huainan,98
Deqing,99
Yingkou,100
Huaibei,101
Chifeng,102
Anshan,103
Jilin,104
Qiqihar,105
Jinzhou,106
