Tasa de Cesáreas

Fecha de emisión:  12/11/2023
Eje de análisis:  Descriptivo básico


Año: 2019 Filtro: Ninguno Criterio de agrupación: Comunidad Autónoma del Hospital


Comunidad Autónoma;Número de Partos;Estancia Media de Partos;Edad Media de Partos;Número de Cesáreas;Edad Media de Cesáreas;Estancia Media de Cesáreas;Tasa de Cesáreas
Andalucía;54.561;3,01;31,35;12.979;32,49;4,42;23,79 %
Aragón;7.715;3,21;32,39;1.413;33,25;4,84;18,31 %
Asturias (Principado de);3.802;3,31;33,14;660;34,09;4,58;17,36 %
Balears (Illes);6.245;3,08;31,71;1.094;33,41;4,32;17,52 %
Canarias;11.392;3,15;31,62;2.028;33,12;4,89;17,80 %
Cantabria;3.217;3,36;33,62;722;34,45;4,86;22,44 %
Castilla - La Mancha;12.105;3,06;31,97;3.007;33,02;4,12;24,84 %
Castilla y León;12.973;3,23;32,88;2.839;33,98;4,43;21,88 %
Cataluña;43.736;2,98;31,82;10.148;33,21;4,10;23,20 %
Ceuta;1.233;3,03;29,66;255;30,95;4,25;20,68 %
Comunidad Valenciana;28.061;3,09;31,98;6.603;33,35;4,10;23,53 %
Extremadura;7.085;3,48;31,87;2.118;32,67;4,67;29,89 %
Galicia;13.724;3,48;33,30;3.215;34,11;4,95;23,43 %
Madrid (Comunidad de);42.693;2,96;32,69;8.629;33,93;4,03;20,21 %
Melilla;2.447;2,57;29,23;687;30,20;4,67;28,08 %
Murcia (Región de);12.412;3,15;31,47;2.804;32,85;4,56;22,59 %
Navarra (Comunidad Foral de);2.325;3,00;32,66;379;33,78;4,69;16,30 %
País Vasco;13.561;2,85;33,12;1.840;34,21;4,67;13,57 %
Rioja (La);2.390;3,07;32,60;496;33,86;4,75;20,75 %
Total Altas;281.677;3,07;32,08;61.916;33,23;4,35;21,98 %
Fuente: Ministerio de Sanidad. Subdirección General de Información Sanitaria. Área de Información y Estadísticas Asistenciales. Registro de Actividad de Atención Especializada del Conjunto Mínimo Básico de Datos (RAE-CMBD) de los hospitales del Sistema Nacional de Salud. Cualquier difusión o publicación total o parcial de estos datos deberá citar la fuente  
			Dirección de la web: https://icmbd.sanidad.gob.es/
		
