Entity,Code,Year,age-standardized_death_rate_per_100k_male,age-standardized_death_rate_per_100k_female
Albania,ALB,1987,38.99,5.95
Albania,ALB,1988,41.27,6.97
Albania,ALB,1989,36.56,4.42
Albania,ALB,1992,29.7,5.68
Albania,ALB,1993,27.44,5.41
Albania,ALB,1994,23.65,5.54
Albania,ALB,1995,36.64,6.23
Albania,ALB,1996,39.12,8.27
Albania,ALB,1997,40.96,8.13
Albania,ALB,1998,39.86,8.48
Albania,ALB,1999,40.81,8.4
Albania,ALB,2000,39.09,8.5
Albania,ALB,2001,30.61,6.68
Albania,ALB,2002,34,9.25
Albania,ALB,2003,36.8,9.51
Albania,ALB,2004,32.13,8.95
Albania,ALB,2005,28.65,6.38
Albania,ALB,2006,28.07,7.28
Albania,ALB,2007,25.83,5.45
Albania,ALB,2008,29.83,6.55
Albania,ALB,2009,27.84,6.85
Albania,ALB,2010,19.26,0.51
Antigua and Barbuda,ATG,1961,5.18,0
Antigua and Barbuda,ATG,1962,0,0
Antigua and Barbuda,ATG,1963,14.92,17.43
Antigua and Barbuda,ATG,1964,19.19,0
Antigua and Barbuda,ATG,1966,11.05,7.71
Antigua and Barbuda,ATG,1969,14.89,3.72
Antigua and Barbuda,ATG,1970,23.33,0
Antigua and Barbuda,ATG,1971,31.78,41.62
Antigua and Barbuda,ATG,1972,25.96,4.12
Antigua and Barbuda,ATG,1973,1.96,7.46
Antigua and Barbuda,ATG,1974,4.25,4.1
Antigua and Barbuda,ATG,1975,13.27,3.57
Antigua and Barbuda,ATG,1976,0,0
Antigua and Barbuda,ATG,1977,0,0
Antigua and Barbuda,ATG,1978,4.98,3.8
Antigua and Barbuda,ATG,1983,0,0
Antigua and Barbuda,ATG,1985,4.28,3.19
Antigua and Barbuda,ATG,1986,12.72,0
Antigua and Barbuda,ATG,1987,8.29,0
Antigua and Barbuda,ATG,1988,18.14,15.99
Antigua and Barbuda,ATG,1989,7.47,3.22
Antigua and Barbuda,ATG,1990,25.01,3.75
Antigua and Barbuda,ATG,1991,5.42,3.86
Antigua and Barbuda,ATG,1992,24.36,11.28
Antigua and Barbuda,ATG,1993,3.29,3.32
Antigua and Barbuda,ATG,1994,11.31,0
Antigua and Barbuda,ATG,1995,21.33,3.35
Antigua and Barbuda,ATG,1998,7.61,0
Antigua and Barbuda,ATG,1999,17.96,7.31
Antigua and Barbuda,ATG,2000,7.59,6.43
Antigua and Barbuda,ATG,2001,2.91,2.96
Antigua and Barbuda,ATG,2002,0,2.97
Antigua and Barbuda,ATG,2003,14.02,2.18
Antigua and Barbuda,ATG,2004,3.57,3.11
Antigua and Barbuda,ATG,2005,8.77,2.79
Antigua and Barbuda,ATG,2006,8.19,2.52
Antigua and Barbuda,ATG,2007,11.28,6.59
Antigua and Barbuda,ATG,2008,5.05,4.58
Antigua and Barbuda,ATG,2009,23.53,3.85
Antigua and Barbuda,ATG,2012,18.12,2.2
Antigua and Barbuda,ATG,2013,4.64,2.23
Antigua and Barbuda,ATG,2014,1.89,4.11
Antigua and Barbuda,ATG,2015,4.36,0
Antigua and Barbuda,ATG,2016,16.83,1.91
Antigua and Barbuda,ATG,2017,8.37,1.93
Argentina,ARG,1966,44.43,5.67
Argentina,ARG,1967,50.98,6.15
Argentina,ARG,1968,52.27,7.43
Argentina,ARG,1969,52.59,7.06
Argentina,ARG,1970,52.6,6.64
Argentina,ARG,1977,46.37,6.26
Argentina,ARG,1978,47.01,6.35
Argentina,ARG,1979,46.25,6.13
Argentina,ARG,1980,48.43,5.95
Argentina,ARG,1981,49.64,6.34
Argentina,ARG,1982,42.52,6.17
Argentina,ARG,1983,44.43,6.27
Argentina,ARG,1984,45.2,6.66
Argentina,ARG,1985,44.69,6.16
Argentina,ARG,1986,43.59,6.13
Argentina,ARG,1987,46.12,6.43
Argentina,ARG,1988,44.15,6.84
Argentina,ARG,1989,43.57,6.67
Argentina,ARG,1990,41.63,6.62
Argentina,ARG,1991,44.36,7.17
Argentina,ARG,1992,42.6,7.05
Argentina,ARG,1993,42.34,7.21
Argentina,ARG,1994,42.55,7.36
Argentina,ARG,1995,41.49,7.23
Argentina,ARG,1996,41.65,7.4
Argentina,ARG,1997,40.57,7.33
Argentina,ARG,1998,40.71,8.03
Argentina,ARG,1999,40.84,8.03
Argentina,ARG,2000,39.49,7.66
Argentina,ARG,2001,36.77,7.89
Argentina,ARG,2002,36.11,8.04
Argentina,ARG,2003,36.06,8.25
Argentina,ARG,2004,35.18,8.71
Argentina,ARG,2005,34.58,8.71
Argentina,ARG,2006,35.04,9.1
Argentina,ARG,2007,33.99,9.1
Argentina,ARG,2008,33.33,9.33
Argentina,ARG,2009,32.48,9.49
Argentina,ARG,2010,31.72,9.59
Argentina,ARG,2011,31.57,10.04
Argentina,ARG,2012,30.61,9.99
Argentina,ARG,2013,29.42,10.43
Argentina,ARG,2014,28.71,10.62
Argentina,ARG,2015,29.57,10.69
Argentina,ARG,2016,27.84,10.5
Argentina,ARG,2017,27.18,10.48
Argentina,ARG,2018,25.88,10.11
Argentina,ARG,2019,24.76,10.4
Armenia,ARM,1981,35.92,4.69
Armenia,ARM,1982,35.65,5.5
Armenia,ARM,1985,41.22,6.31
Armenia,ARM,1986,40.98,7.2
Armenia,ARM,1987,39.94,6.28
Armenia,ARM,1988,47.72,7.05
Armenia,ARM,1989,46.32,6.9
Armenia,ARM,1990,51.36,7.4
Armenia,ARM,1991,49.99,6.01
Armenia,ARM,1992,45.04,7.44
Armenia,ARM,1993,40.77,6.69
Armenia,ARM,1994,36.68,5.89
Armenia,ARM,1995,37.88,4.41
Armenia,ARM,1996,38.72,4.45
Armenia,ARM,1997,40.69,4.7
Armenia,ARM,1998,38.05,5.43
Armenia,ARM,1999,41,4.98
Armenia,ARM,2000,40.77,6.01
Armenia,ARM,2001,42.02,5.88
Armenia,ARM,2002,48.19,6.74
Armenia,ARM,2003,49.22,6.63
Armenia,ARM,2006,63.47,9.71
Armenia,ARM,2007,63.12,8.54
Armenia,ARM,2008,64.3,10.35
Armenia,ARM,2009,65.75,11.09
Armenia,ARM,2010,62.31,8.81
Armenia,ARM,2011,61.25,9.41
Armenia,ARM,2012,56.1,8.92
Armenia,ARM,2013,52.58,8.18
Armenia,ARM,2014,57.37,7.99
Armenia,ARM,2015,59.03,9.16
Armenia,ARM,2016,56.99,7.71
Armenia,ARM,2017,51.12,9.04
Armenia,ARM,2018,48.05,7.31
Armenia,ARM,2019,54.56,9.32
Australia,AUS,1950,14.87,3.11
Australia,AUS,1951,15.9,3.38
Australia,AUS,1952,18.77,3.41
Australia,AUS,1953,19.59,4.21
Australia,AUS,1954,20.6,3.36
Australia,AUS,1955,22.6,3.31
Australia,AUS,1956,23.91,3.87
Australia,AUS,1957,26.07,3.57
Australia,AUS,1958,25.98,3.67
Australia,AUS,1959,28.61,3.7
Australia,AUS,1960,29.56,3.87
Australia,AUS,1961,32.45,4
Australia,AUS,1962,34.74,4.33
Australia,AUS,1963,35.97,4.39
Australia,AUS,1964,38.51,4.94
Australia,AUS,1965,39.41,4.74
Australia,AUS,1966,41.74,5.02
Australia,AUS,1967,43.59,5.74
Australia,AUS,1968,45,5.74
Australia,AUS,1969,46.75,5.66
Australia,AUS,1970,47.79,7.18
Australia,AUS,1971,49.28,7.53
Australia,AUS,1972,50.06,7.13
Australia,AUS,1973,51.24,7.82
Australia,AUS,1974,53.83,7.69
Australia,AUS,1975,52.37,7.85
Australia,AUS,1976,53.83,8.58
Australia,AUS,1977,52.72,9.83
Australia,AUS,1978,53.22,9.97
Australia,AUS,1979,53.81,10.3
Australia,AUS,1980,56.21,10.8
Australia,AUS,1981,55.47,10.46
Australia,AUS,1982,55.42,11.55
Australia,AUS,1983,54.51,12.47
Australia,AUS,1984,54.62,12.4
