"anoms.S","X1980.1990","X1991.2001","X2002.2012","X2013.2023"
-6,0,0,0,0
-5.95,0,0,0,0
-5.9,0,0,0,0
-5.85,0,0,0,0
-5.8,0,0,0,0
-5.75,0,0,0,0
-5.7,0,0,0,0
-5.65,0,0,0,0
-5.6,0,0,0,0
-5.55,0,0,0,0
-5.5,0,0,0,0
-5.45,0,0,0,0
-5.4,0,0,0,0
-5.35,0,0,0,0
-5.3,0,0,0,0
-5.25,0,0,0,0
-5.2,0,0,0,0
-5.15,0,0,0,0
-5.1,0,0,0,0
-5.05,0,0,0,0
-5,0,0.00086,0,0
-4.95,0,0,0,0
-4.9,0,0,0,0
-4.85,0,0,0,0
-4.8,0,0,0,0
-4.75,0,0,0,0
-4.7,0.00088,0,0,0
-4.65,0,0,0,0
-4.6,0,0,0,0
-4.55,0,0,0,0
-4.5,0,0,0,0
-4.45,0,0,0,0
-4.4,0,0.00143,0,0
-4.35,0,0,0,0
-4.3,0,0,0,0
-4.25,0,0.00069,0,0
-4.2,0,0.0016,0,0
-4.15,0,0.00071,0,0
-4.1,0,0.00069,0,0
-4.05,0.00089,0,0,0
-4,0,0,0,0.00076
-3.95,0,0,0,0
-3.9,0,0.00069,0,0
-3.85,0,0.00071,0,0.00076
-3.8,0,0,0,0.00076
-3.75,0,0,0,0
-3.7,0,0.00202,0,0
-3.65,0,0.00326,0,0
-3.6,0,0.00288,0,0
-3.55,0,0,0,0.00076
-3.5,0,0.00138,0,0.00076
-3.45,0,0.00071,0,0.00231
-3.4,0,0.00143,0,0
-3.35,0,0.00069,0,0.00074
-3.3,0.00089,0.0025,0,0.00076
-3.25,0,0.00281,0,0
-3.2,0.00164,0.00474,0,0.00076
-3.15,0.00481,0.00393,0,0.00083
-3.1,0.00238,0.00311,0,0.00076
-3.05,0.00215,0.00309,0,0
-3,0.00476,0.00382,0,0.00041
-2.95,0,0.00259,0,0.00041
-2.9,0,0.00734,0,0
-2.85,0.00293,0.00366,0.00087,0
-2.8,0.00335,0.00538,0.00096,0.00074
-2.75,0.00435,0.0046,0,0.00174
-2.7,0.00374,0.00543,0.00095,0.00206
-2.65,0.00555,0.00701,0,0
-2.6,0.00545,0.00422,0.00224,0
-2.55,0.00618,0.00876,0.00197,0
-2.5,0.00466,0.01157,0.00338,0.0026
-2.45,0.00744,0.01364,0.00257,0.00288
-2.4,0.0131,0.01158,0.00292,0.00078
-2.35,0.01519,0.01066,0.00465,0.00349
-2.3,0.01395,0.00884,0.00061,0.00265
-2.25,0.0171,0.01249,0.00672,0.00089
-2.2,0.01333,0.01577,0.0076,0.00295
-2.15,0.0148,0.01969,0.00506,0.00089
-2.1,0.02432,0.02197,0.00694,0.00531
-2.05,0.03454,0.013,0.00455,0.00247
-2,0.03155,0.01937,0.00501,0.00483
-1.95,0.03696,0.01693,0.01277,0.00371
-1.9,0.04233,0.02378,0.00944,0.00358
-1.85,0.05363,0.02666,0.00999,0.00178
-1.8,0.04583,0.02952,0.01133,0.00242
-1.75,0.04393,0.02916,0.01169,0.0017
-1.7,0.06169,0.03225,0.00831,0.00579
-1.65,0.05284,0.04264,0.00974,0.00177
-1.6,0.05994,0.04377,0.01591,0.0034
-1.55,0.08452,0.04311,0.00965,0.00292
-1.5,0.07656,0.04921,0.00757,0.00645
-1.45,0.10916,0.053,0.01685,0.00441
-1.4,0.0935,0.04519,0.01121,0.00916
-1.35,0.08774,0.04879,0.02056,0.00547
-1.3,0.1083,0.06924,0.02276,0.01036
-1.25,0.11768,0.06457,0.0276,0.00365
-1.2,0.1197,0.07372,0.02337,0.00773
-1.15,0.11921,0.07855,0.0315,0.0107
-1.1,0.12393,0.08394,0.0308,0.01313
-1.05,0.15632,0.08602,0.03378,0.01538
-1,0.14345,0.08589,0.04198,0.01821
-0.95,0.16315,0.088,0.02889,0.02296
-0.9,0.18068,0.09843,0.04074,0.01323
