Entity,Code,Year,$40 - total number of people above poverty line,$30-$40 - total number of people between poverty lines,$20-$30 - total number of people between poverty lines,$10-$20 - total number of people between poverty lines,$6.85-$10 - total number of people between poverty lines,$3.65-$6.85 - total number of people between poverty lines,$2.15-$3.65 - total number of people between poverty lines,$1-$2.15 - total number of people between poverty lines,$1 - total number of people below poverty line
Albania,ALB,1996,1532,1718,37868,731125,878963,1234921,264962,15125,1819
Albania,ALB,2002,7261,24832,73812,604826,750978,1241842,314122,31922,1415
Albania,ALB,2005,13644,20766,103948,811673,843959,997981,201716,17800,0
Albania,ALB,2008,19321,24617,115723,937657,864654,870320,109130,5892,0
Albania,ALB,2012,7469,19402,103062,883398,823558,924135,121374,17304,699
Albania,ALB,2014,14290,40635,188192,884264,642374,839800,249991,29558,0
Albania,ALB,2015,32987,75617,271234,1042688,704749,646871,103082,3475,0
Albania,ALB,2016,43006,80817,307952,1055842,657557,596710,130211,4006,0
Albania,ALB,2017,32507,81470,311938,1049017,664615,629699,92931,11280,0
Albania,ALB,2018,28628,78092,357635,1273468,607992,442298,76884,1379,0
Albania,ALB,2019,73487,142788,450058,1311227,564470,289387,22774,0,0
Algeria,DZA,1988,156887,156293,505149,3346519,4721041,9399430,4588806,1569347,0
Algeria,DZA,1995,288,207792,720816,4492444,5764456,10598713,5313792,1591680,67807
Algeria,DZA,2011,67878,310554,1157937,10208065,11508101,11935404,1306518,134231,32750
Angola,AGO,2000,281776,135165,503404,2183373,2272061,4537115,2972500,2221831,1288252
Angola,AGO,2008,124834,158806,460152,2864525,3103557,6811821,4997330,2744584,430027
Angola,AGO,2018,173444,177875,396233,2733595,3304800,7724746,6710470,6874939,2713685
Argentina - urban,,1980,5859422,3324863,4978066,5960951,1721431,1048380,158033,42331,29121
Argentina - urban,,1986,7098131,3752897,5830557,6860310,1437604,771804,185870,4429,289128
Argentina - urban,,1987,6197262,3517809,5400612,7480294,2133222,1479970,242954,106563,210948
Argentina - urban,,1991,3593252,2269486,4569436,10371892,3946131,3278375,577867,125587,155205
Argentina - urban,,1992,3883709,2719239,4779384,9949061,3655694,3164922,708956,179220,312052
Argentina - urban,,1993,3900793,2880021,5025019,9868837,3642372,3036826,866344,281122,308111
Argentina - urban,,1994,3904872,2732522,5099648,9823933,3954041,3409017,758176,187276,391103
Argentina - urban,,1995,3829341,2006477,4617482,9847400,4116881,4015853,1088626,640771,543075
Argentina - urban,,1996,3884883,2040734,4645438,9412049,4185748,4377427,1285938,519762,793834
Argentina - urban,,1997,4288886,2335586,4857654,9479420,3877267,4275883,1275746,555412,633799
Argentina - urban,,1998,4101456,2231023,4600910,9411893,4207326,4807023,1379407,744708,525812
Argentina - urban,,1999,3791557,2136746,4595299,9503644,4552904,4965800,1533867,721949,636554
Argentina - urban,,2000,3854587,2388830,4112508,9350376,4518077,5126436,1877041,883305,756205
Argentina - urban,,2001,3450240,2096041,3945130,8624878,4836918,5217636,2385101,1453559,1288457
Argentina - urban,,2002,1935008,1234113,2750413,7737212,5103359,6883638,3886893,3068678,1129614
Argentina - urban,,2003,3249771,2244812,4395711,9225262,4947480,5814205,2478874,1400450,402919
Argentina - urban,,2004,3768079,2703622,4833832,10080897,4648535,5234712,2000331,1050847,268029
Argentina - urban,,2005,4492061,2987170,5481905,10352865,4425177,4521370,1833815,735982,185343
Argentina - urban,,2006,5420440,3581023,6180726,10246813,4059545,3857209,1343013,568063,182636
Argentina - urban,,2007,5806292,3560584,6482309,10037498,4451241,3770530,1134536,454042,164085
Argentina - urban,,2008,6272379,3907805,6539736,10584230,3874696,3408871,1121135,434034,141682
Argentina - urban,,2009,6813142,4137584,7125880,10355068,3594033,3220261,908723,450598,108954
Argentina - urban,,2010,7080498,4198667,7421201,10591998,3596287,3022830,866750,205977,71694
Argentina - urban,,2011,8027386,4561394,7545942,10587568,3437645,2594198,524105,186228,79364
Argentina - urban,,2012,8100846,4996257,7557400,10883145,3258616,2362489,625343,150002,93676
Argentina - urban,,2013,8248424,5216415,7819662,10790834,3176463,2490430,527791,159491,80246
Argentina - urban,,2014,7481418,4701915,7633757,11465828,4143749,2746339,578301,158291,80511
Argentina - urban,,2016,8216838,4730913,8205571,11411865,3869264,2652019,587453,174954,91669
Argentina - urban,,2017,9025536,5339528,8353786,11245725,3263976,2319846,690925,105655,65697
Argentina - urban,,2018,7547312,5093697,8309196,12064108,3910555,2885519,752992,236564,77156
Argentina - urban,,2019,7306822,4811123,7985769,12113330,4500828,3406308,891286,226439,97666
Argentina - urban,,2020,5795353,4247994,7815557,12641340,5409809,4442523,995211,348008,101195
Armenia,ARM,1996,28994,24056,70915,375151,457383,1051395,719975,408320,32024
Armenia,ARM,1999,6092,11339,30970,164664,333390,1159758,1015232,347605,19970
Armenia,ARM,2001,4284,6656,25263,179456,278575,1115593,1014533,410443,15883
Armenia,ARM,2002,5699,9974,30397,181272,291619,1189590,1023041,288769,13615
Armenia,ARM,2003,10200,5335,29345,148135,332833,1295240,969312,225341,2197
Armenia,ARM,2004,18526,22946,44314,276935,432824,1337207,708391,148941,10631
Armenia,ARM,2005,24790,21993,51414,331867,539922,1433810,499072,74591,3803
Armenia,ARM,2006,5850,12102,37771,360240,684344,1400495,398375,58447,677
Armenia,ARM,2007,6947,13824,60773,517321,692273,1239839,356587,43250,1801
Armenia,ARM,2008,5503,7884,52904,550608,774403,1248133,242602,24810,768
Armenia,ARM,2009,3576,7185,25347,404967,692573,1356011,362402,35955,78
Armenia,ARM,2010,9388,7152,30605,402440,640711,1383500,376141,26061,1316
Armenia,ARM,2011,8568,9968,28830,454610,670088,1326782,343601,33878,211
Armenia,ARM,2012,12810,13137,35713,442294,786801,1270335,299146,23625,378
Armenia,ARM,2013,8081,10759,48175,537606,754744,1209988,277872,49068,1300
Armenia,ARM,2014,18320,19882,44283,539309,803790,1156035,288870,41054,860
Armenia,ARM,2015,27622,25761,57036,614111,835453,1089609,242430,31472,2065
Armenia,ARM,2016,10767,14021,85488,827304,752992,965989,247055,31528,1003
Armenia,ARM,2017,26643,17443,83256,598349,786361,1194818,214783,23006,130
