DATAFLOW,LAST UPDATE,freq,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,1999,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2000,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2001,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2002,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2003,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2004,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2005,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2006,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2007,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2008,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2009,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2010,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2011,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2012,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2013,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2014,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2015,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2016,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2017,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2018,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2019,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2020,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2021,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2022,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,AT,2023,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,1999,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2000,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2001,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2002,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2003,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2004,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2005,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2006,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2007,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2008,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2009,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2010,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2011,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2012,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2013,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2014,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2015,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2016,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2017,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2018,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2019,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2020,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2021,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2022,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BE,2023,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,1999,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2000,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2001,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2002,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2003,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2004,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2005,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2006,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2007,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2008,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2009,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2010,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2011,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2012,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2013,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2014,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2015,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2016,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2017,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2018,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2019,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2020,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2021,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2022,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,BG,2023,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,1999,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2000,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2001,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2002,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2003,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2004,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2005,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2006,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2007,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2008,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2009,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2010,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2011,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2012,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2013,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2014,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2015,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2016,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2017,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2018,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2019,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2020,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2021,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2022,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CY,2023,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,1999,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2000,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2001,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2002,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2003,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2004,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2005,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2006,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2007,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2008,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2009,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2010,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2011,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2012,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2013,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2014,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2015,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2016,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2017,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2018,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2019,1000.00,
ESTAT:PRC_HICP_INW(1.0),18/08/23 11:00:00,A,CP00,CZ,2020,1000.00,
