"","country","population","continent","lat","long","percentage","text_size","circle_size","population_percentage","population_millions","adjusted_long","adjusted_lat"
"1","Aruba",106277,"South America",12.5,-69.97,0.00132959658219694,0.0007091181771717,0.00106367726575755,0.00132959658219694,0.106277,-69.97,12.5
"2","Afghanistan",42239854,"Asia",33,65,0.528448916613168,0.28183942219369,0.422759133290534,0.528448916613168,42.239854,65,33
"3","Albania",2745972,"Europe",41,20,0.0343539522757369,0.018322107880393,0.0274831618205895,0.0343539522757369,2.745972,20,41
"4","Algeria",45606480,"Africa",28,3,0.570567666889666,0.304302755674488,0.456454133511733,0.570567666889666,45.60648,3,28
"5","American Samoa",43914,"Oceania",-14.33,-170,0.000549393606430331,0.00029300992342951,0.000439514885144265,0.000549393606430331,0.043914,-170,-14.33
"6","Andorra",80088,"Europe",42.5,1.5,0.00100195461929663,0.000534375796958205,0.000801563695437307,0.00100195461929663,0.080088,1.5,42.5
"7","Angola",36684202,"Africa",-12.5,18.5,0.458943982233428,0.244770123857828,0.367155185786743,0.458943982233428,36.684202,18.5,-12.5
"8","Antigua and Barbuda",94298,"North America",17.05,-61.8,0.00117973125425075,0.000629190002267066,0.000943785003400599,0.00117973125425075,0.094298,-61.8,17.05
"9","Argentina",46654581,"South America",-34,-64,0.58368011367869,0.311296060628635,0.466944090942952,0.58368011367869,46.654581,-64,-34
"10","Armenia",2777970,"Africa",40,45,0.0347542687264942,0.0185356099874636,0.0278034149811954,0.0347542687264942,2.77797,45,40
"11","Australia",26638544,"Oceania",-27,133,0.333266059985724,0.177741898659053,0.266612847988579,0.333266059985724,26.638544,133,-27
"12","Austria",9132383,"Europe",47.33,13.33,0.114252239187345,0.0609345275665838,0.0914017913498757,0.114252239187345,9.132383,13.33,47.33
"13","Azerbaijan",10112555,"Asia",40.5,47.5,0.1265148486058,0.0674745859230931,0.10121187888464,0.1265148486058,10.112555,47.5,40.5
"14","Bahamas, The",412623,"North America",24.25,-76,0.00516219060131399,0.0027531683207008,0.00412975248105119,0.00516219060131399,0.412623,-76,24.25
"15","Bahrain",1485509,"Asia",26,50.55,0.0185847143711508,0.00991184766461375,0.0148677714969206,0.0185847143711508,1.485509,50.55,26
"16","Bangladesh",172954319,"Asia",24,90,2.16377458357499,1.15401311123999,1.73101966685999,2.16377458357499,172.954319,90,24
"17","Barbados",281995,"North America",13.17,-59.53,0.00352794666952046,0.00188157155707758,0.00282235733561636,0.00352794666952046,0.281995,-59.53,13.17
"18","Belarus",9178298,"Europe",53,28,0.114826666646452,0.0612408888781078,0.0918613333171617,0.114826666646452,9.178298,28,53
"19","Belgium",11822592,"Europe",50.83,4,0.147908558915935,0.0788845647551655,0.118326847132748,0.147908558915935,11.822592,4,50.83
"20","Belize",410825,"Central America",17.25,-88.75,0.00513969641485041,0.00274117142125355,0.00411175713188033,0.00513969641485041,0.410825,-88.75,17.25
"21","Benin",13712828,"Africa",9.5,2.25,0.17155667963016,0.0914968958027518,0.137245343704128,0.17155667963016,13.712828,2.25,9.5
"22","Bermuda",63489,"North America",32.33,-64.75,0.000794289991316102,0.000423621328701921,0.000635431993052882,0.000794289991316102,0.063489,-64.75,32.33
"23","Bhutan",787424,"Asia",27.5,90.5,0.00985120260394856,0.0052539747221059,0.00788096208315885,0.00985120260394856,0.787424,90.5,27.5
"24","Bolivia",12388571,"South America",-17,-65,0.154989335979601,0.0826609791891208,0.123991468783681,0.154989335979601,12.388571,-65,-17
