DATAFLOW,LAST UPDATE,freq,n_book,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,AT,2022,23.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,BE,2022,28.1,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,BG,2022,61.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,CH,2022,10.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,CY,2022,75.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,CZ,2022,12.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,DE,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,DK,2022,20.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,EA20,2022,33.6,e
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,EE,2022,14.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,EL,2022,34.1,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,ES,2022,28.0,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,EU27_2020,2022,31.7,e
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,FI,2022,19.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,FR,2022,21.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,HR,2022,10.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,HU,2022,36.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,IE,2022,21.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,IT,2022,52.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,LT,2022,14.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,LU,2022,31.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,LV,2022,24.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,ME,2022,23.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,MT,2022,63.3,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,NL,2022,47.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,NO,2022,23.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,PL,2022,8.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,PT,2022,35.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,RO,2022,37.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,RS,2022,23.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,SE,2022,25.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,SI,2022,12.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,SK,2022,25.8,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-24,PC,TR,2022,50.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,AT,2022,24.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,BE,2022,33.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,BG,2022,70.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,CH,2022,13.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,CY,2022,78.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,CZ,2022,19.1,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,DE,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,DK,2022,21.8,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,EA20,2022,37.7,e
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,EE,2022,17.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,EL,2022,40.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,ES,2022,35.0,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,EU27_2020,2022,36.5,e
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,FI,2022,19.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,FR,2022,24.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,HR,2022,13.0,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,HU,2022,45.1,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,IE,2022,24.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,IT,2022,56.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,LT,2022,18.0,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,LU,2022,33.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,LV,2022,25.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,ME,2022,29.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,MT,2022,62.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,NL,2022,43.8,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,NO,2022,24.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,PL,2022,12.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,PT,2022,42.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,RO,2022,47.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,RS,2022,32.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,SE,2022,27.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,SI,2022,12.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,SK,2022,31.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-29,PC,TR,2022,60.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-44,PC,AT,2022,35.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-44,PC,BE,2022,48.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-44,PC,BG,2022,83.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-44,PC,CH,2022,15.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-44,PC,CY,2022,81.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-44,PC,CZ,2022,27.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-44,PC,DE,2022,,u
