CityID,ObsID,year,LastObservation,City,metro_names,Country,continent,region,subregion,state_name,state_abbr,population,longitude,latitude,Walking,Cycling,Motorbykes,Active,Bus,Car,IncomeGroup,DataSource,DataLink,GDPPP 2022
M10001,ID0005,2003,NO,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,256605,6.083862,50.776351,0.24,0.1,NA,0.34,0.14,0.52,High income,The European Platform on Mobility Management,https://epomm.eu/ ,52745.75571
M10001,ID0004,2017,YES,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,256605,6.083862,50.776351,0.29703,0.108911,NA,0.40594,0.12871,0.46535,High income,Mobilität in Deutschland − MiD,https://www.aachen.de/de/stadt_buerger/verkehr_strasse/verkehrskonzepte/VEP/Mobilitaetserhebung2017/MiD-Regionalbericht-StadtAachen.pdf,52745.75571
M10002,ID0008,2004,YES,Aarhus,Aarhus,Denmark,Europe,Europe,Northern Europe,,,331000,10.19,56.14,0.072917,0.28125,NA,0.354167,0.197917,0.447917,High income,Urban Audit,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/urban-audit,67967.38187
M10003,ID0009,2008,YES,Aberdeen,Aberdeen,United Kingdom,Europe,Europe,Northern Europe,,,211000,-2.095,57.149,0.29703,0.019802,NA,0.31683,0.17822,0.50495,High income,The European Platform on Mobility Management,https://epomm.eu/ ,48866.60396
M10004,C001,2019,YES,Abilene,"Abilene, TX Metro Area",United States,North America,North America,Northern America,Texas,TX,164878,-99.7331439,32.4487364,NA,NA,NA,0.009901,0.0022,0.987899,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10005,ID0010,2018,YES,Accra,Accra,Ghana,Africa,Sub-Saharan Africa,West Africa,,,4452483,-0.2,5.57,0.49505,0.009901,NA,0.50495,0.15842,0.33663,Lower middle income,Local Governments for Sustainability - ICLEI,https://iclei.org/ ,2238.158021
M10006,ID0011,2011,YES,Addis Ababa,Addis Ababa,Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa,,,3711329,38.75,9.01,NA,NA,NA,0.54,0.31,0.15,Low income,Local Governments for Sustainability - ICLEI,https://iclei.org/ ,1293.778008
M10007,ID0012,2016,YES,Adelaide,Adelaide,Australia,Oceania,East Asia and Pacific,Australia and New Zeland,,,1288681,138.54,-34.95,0.03,0.01,NA,0.04,0.11,0.85,High income,ABS census data 2016 journey to work,https://chartingtransport.com/2017/10/24/trends-in-journey-to-work-mode-shares-in-australian-cities-to-2016/,64711.7656
M10008,C002,2019,YES,Aguadilla-Isabela,"Aguadilla-Isabela, PR Metro Area",United States,North America,North America,Northern America,PuertoRico,PR,327849,-67.0243462,18.5007759,0.031949,0.00213,NA,0.034079,0.001065,0.964856,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10009,ID0013,2011,YES,Agueda,Agueda,Portugal,Europe,Europe,Southern Europe,,,47729,-8.443,40.575,0.13,0.02,NA,0.15,0.03,0.82,High income,The European Platform on Mobility Management,https://epomm.eu/ ,27275.11155
M10010,ID0014,2011,YES,Ahmedabad,Ahmedabad,India,Asia,South Asia,Southern Asia,,,5600000,72.62,23.03,NA,NA,NA,0.36,0.16,0.48,Lower middle income,Census of India 2011,https://censusindia.gov.in/census.website/,2484.845429
M10011,ID0015,2009,YES,Aix,Aix,France,Europe,Europe,Western Europe,,,317000,5.443,43.527,0.26,0.01,NA,0.27,0.07,0.66,High income,The European Platform on Mobility Management,https://epomm.eu/ ,44460.81785
M10012,C003,2019,YES,Akron,"Akron, OH Metro Area",United States,North America,North America,Northern America,Ohio,OH,695688,-81.5190053,41.0814447,0.018913,0.001182,NA,0.020095,0.010638,0.969267,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10013,C004,2019,YES,Albany,"Albany, OR Metro Area",United States,North America,North America,Northern America,Oregon,OR,117080,-123.087973,44.639823,0.021814,0.005741,NA,0.027555,0.008037,0.964409,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10014,C005,2019,YES,Albany,"Albany, GA Metro Area",United States,North America,North America,Northern America,Georgia,GA,154351,-84.15848,31.57032,NA,NA,NA,0.0131,0.007642,0.979258,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10015,C006,2019,YES,Albany,"Albany-Schenectady-Troy, NY Metro Area",United States,North America,North America,Northern America,New York,NY,866964,-73.7515,42.6517,0.030941,0.002475,NA,0.033416,0.02599,0.940594,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10016,C007,2019,YES,Albuquerque,"Albuquerque, NM Metro Area",United States,North America,North America,Northern America,New Mexico,NM,887976,-106.6055534,35.0853336,0.018405,0.007362,NA,0.025767,0.006135,0.968098,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10017,ID0016,2014,YES,Ålesund,Ålesund,Norway,Europe,Europe,Northern Europe,,,45747,6.149,62.471,0.21,0.03,NA,0.24,0.06,0.7,High income,The European Platform on Mobility Management,https://epomm.eu/ ,87961.78061
M10018,C008,2019,YES,Alexandria,"Alexandria, LA Metro Area",United States,North America,North America,Northern America,Louisiana,LA,152783,-92.45763,31.291683,0.011828,0.004301,NA,0.016129,0.016129,0.967742,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10019,ID0017,2004,YES,Alicante,Alicante,Spain,Europe,Europe,Southern Europe,,,333000,-0.48,38.36,NA,NA,NA,0.18,0.13,0.69,High income,Urban Audit,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/urban-audit,32676.98371
M10020,C009,2019,YES,Allentown,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",United States,North America,North America,Northern America,Pennsylvania,PA,817821,-75.4440964,40.6516458,0.02401,0.0012,NA,0.02521,0.010804,0.963986,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10021,ID0019,2006,NO,Almada,Almada,Portugal,Europe,Europe,Southern Europe,,,174030,-9.157,38.677,0.19,0.01,NA,0.2,0.3,0.5,High income,The European Platform on Mobility Management,https://epomm.eu/ ,27275.11155
M10021,ID0018,2017,YES,Almada,Almada,Portugal,Europe,Europe,Southern Europe,,,174030,-9.157,38.677,0.17,0.01,NA,0.18,0.36,0.46,High income,Local Governments for Sustainability - ICLEI,https://iclei.org/ ,27275.11155
M10022,ID0021,2001,NO,Almere,Almere,Netherlands,Europe,Europe,Western Europe,,,186011,5.242,52.367,0.2,0.32,NA,0.52,0.08,0.4,High income,The European Platform on Mobility Management,https://epomm.eu/ ,62536.73203
M10022,ID0020,2020,YES,Almere,Almere,Netherlands,Europe,Europe,Western Europe,,,186011,5.242,52.367,0.2,0.22,NA,0.42,0.13,0.45,High income,MOBILITEITSVISIE ALMERE 2020-2030,https://ingesprek.almere.nl/fileadmin/user_upload/Almere_Mobiliteitsvisie_2020_-_2030-gecomprimeerd.pdf,62536.73203
M10023,ID0022,2014,YES,Alta,Alta,Norway,Europe,Europe,Northern Europe,,,19822,23.267,69.97,0.17,0.05,NA,0.22,0.04,0.74,High income,The European Platform on Mobility Management,https://epomm.eu/ ,87961.78061
