Entity,Code,Year,cephalopods__00002766__production__005511__tonnes,molluscs__other__00002767__production__005511__tonnes,crustaceans__00002765__production__005511__tonnes,marine_fish__other__00002764__production__005511__tonnes,demersal_fish__00002762__production__005511__tonnes,pelagic_fish__00002763__production__005511__tonnes,freshwater_fish__00002761__production__005511__tonnes
Afghanistan,AFG,1961,,,,,,,300
Afghanistan,AFG,1962,,,,,,,300
Afghanistan,AFG,1963,,,,,,,300
Afghanistan,AFG,1964,,,,,,,300
Afghanistan,AFG,1965,,,,,,,300
Afghanistan,AFG,1966,,,,,,,300
Afghanistan,AFG,1967,,,,,,,400
Afghanistan,AFG,1968,,,,,,,400
Afghanistan,AFG,1969,,,,,,,460
Afghanistan,AFG,1970,,,,,,,460
Afghanistan,AFG,1971,,,,,,,560
Afghanistan,AFG,1972,,,,,,,560
Afghanistan,AFG,1973,,,,,,,560
Afghanistan,AFG,1974,,,,,,,560
Afghanistan,AFG,1975,,,,,,,660
Afghanistan,AFG,1976,,,,,,,770
Afghanistan,AFG,1977,,,,,,,770
Afghanistan,AFG,1978,,,,,,,770
Afghanistan,AFG,1979,,,,,,,770
Afghanistan,AFG,1980,,,,,,,870
Afghanistan,AFG,1981,,,,,,,870
Afghanistan,AFG,1982,,,,,,,870
Afghanistan,AFG,1983,,,,,,,970
Afghanistan,AFG,1984,,,,,,,970
Afghanistan,AFG,1985,,,,,,,970
Afghanistan,AFG,1986,,,,,,,970
Afghanistan,AFG,1987,,,,,,,1170
Afghanistan,AFG,1988,,,,,,,1170
Afghanistan,AFG,1989,,,,,,,1170
Afghanistan,AFG,1990,,,,,,,1400
Afghanistan,AFG,1991,,,,,,,1400
Afghanistan,AFG,1992,,,,,,,1500
Afghanistan,AFG,1993,,,,,,,1500
Afghanistan,AFG,1994,,,,,,,1600
Afghanistan,AFG,1995,,,,,,,1600
Afghanistan,AFG,1996,,,,,,,1600
Afghanistan,AFG,1997,,,,,,,1550
Afghanistan,AFG,1998,,,,,,,1500
Afghanistan,AFG,1999,,,,,,,1500
Afghanistan,AFG,2000,,,,,,,1300
Afghanistan,AFG,2001,,,,,,,1250
Afghanistan,AFG,2002,,,,,,,1350
Afghanistan,AFG,2003,,,,,,,1350
Afghanistan,AFG,2004,,,,,,,1450
Afghanistan,AFG,2005,,,,,,,1450
Afghanistan,AFG,2006,,,,,,,1450
Afghanistan,AFG,2007,,,,,,,2050
Afghanistan,AFG,2008,,,,,,,2050
Afghanistan,AFG,2009,,,,,,,2050
Afghanistan,AFG,2010,,,,,,,3000
Afghanistan,AFG,2011,,,,,,,4000
Afghanistan,AFG,2012,,,,,,,5000
Afghanistan,AFG,2013,,,,,,,6000
Afghanistan,AFG,2014,,,,,,,6000
Afghanistan,AFG,2015,,,,,,,7000
Afghanistan,AFG,2016,,,,,,,8000
Afghanistan,AFG,2017,,,,,,,9000
Afghanistan,AFG,2018,,,,,,,10000
Afghanistan,AFG,2019,,,,,,,11000
Afghanistan,AFG,2020,,,,,,,11000
Afghanistan,AFG,2021,,,,,,,13000
Afghanistan,AFG,2022,,,,,,,13000
Africa,,1961,3300,1700,30700,157110,234070,1377400,532120
Africa,,1962,3000,2100,32800,201070,245820,1446060,570990
Africa,,1963,3600,3300,29500,180030,269570,1547360,612730
Africa,,1964,3800,3900.0002,36200,202180,278620,1763690,673400
Africa,,1965,4700,5100,35100,180430,303360,1788800,690780
Africa,,1966,4300,5000,34800,220080,349410,1916330,734570
Africa,,1967,3600,4110,30600,223040,308900,2242160,769180
Africa,,1968,5400,3920,33500,240590,317780,2599440,827800
Africa,,1969,9800,2920,29700,228800,304060,2553530,870090
Africa,,1970,6960,2920,32840,208330,354080,1929489.9,968140
Africa,,1971,6300,3320,35590,226790,397950,1922980,991840
Africa,,1972,6620,3640,40320,276230,435980,2203450,995190
Africa,,1973,9070,3740,41170,256040,493190,2352640,1041120
Africa,,1974,27850,5260,47920,270350,454850,2308110,1050260
Africa,,1975,28580,5320,43500,241360,446710,2045960,1097270
Africa,,1976,31540,5040,46650,174910,492420,1809740,1117900
Africa,,1977,33500,7180,45320,171030,530080,1642440,1213010
Africa,,1978,37100,6060,47480,153580,574310,1692410,1160540
Africa,,1979,22410,9540,46220,160460,594340,1624490,1144160
Africa,,1980,30350,13700,51620,198330,536110,1495230,1190030
Africa,,1981,50950,11880,50650,225790,539410,1631970,1165150
Africa,,1982,68860,8370,52850,218020,558300,1530360,1224860
Africa,,1983,110080,9730,52950,295680,513030,1748000,1245080
Africa,,1984,112500,7270,55000,298020,564530,1478190,1327150
