launch_year,agency,state_code,category,agency_type
1967,US,US,O,state
1967,US,US,O,state
1967,US,US,O,state
1968,US,US,O,state
1968,US,US,O,state
1969,US,US,O,state
1970,US,US,O,state
1970,US,US,O,state
1971,US,US,O,state
1971,US,US,O,state
1971,US,US,O,state
1972,US,US,O,state
1972,US,US,O,state
1973,US,US,O,state
1974,US,US,O,state
1974,US,US,O,state
1975,US,US,O,state
1976,US,US,O,state
1976,US,US,O,state
1977,US,US,O,state
1978,US,US,O,state
1979,US,US,O,state
1998,US,US,O,state
1998,US,US,O,state
1998,US,US,O,state
1998,US,US,O,state
1998,US,US,O,state
1998,US,US,O,state
1998,US,US,O,state
1999,US,US,O,state
1999,US,US,O,state
1999,US,US,O,state
1999,US,US,O,state
1999,US,US,O,state
1999,US,US,O,state
1999,US,US,O,state
1999,US,US,O,state
1999,US,US,O,state
1999,US,US,O,state
1999,US,US,O,state
2000,US,US,O,state
1998,US,US,F,state
1999,US,US,O,state
1999,US,US,O,state
1998,US,US,O,state
1998,US,US,F,state
1958,US,US,O,state
1958,US,US,O,state
1958,US,US,O,state
1958,US,US,F,state
1958,US,US,F,state
1958,US,US,F,state
1984,AE,F,O,private
1984,AE,F,O,private
1984,AE,F,O,private
1985,AE,F,O,private
1985,AE,F,O,private
1985,AE,F,O,private
1986,AE,F,O,private
1986,AE,F,O,private
1987,AE,F,O,private
1987,AE,F,O,private
1988,AE,F,O,private
1988,AE,F,O,private
1988,AE,F,O,private
1988,AE,F,O,private
1988,AE,F,O,private
1988,AE,F,O,private
1988,AE,F,O,private
1989,AE,F,O,private
1989,AE,F,O,private
1989,AE,F,O,private
1989,AE,F,O,private
1989,AE,F,O,private
1989,AE,F,O,private
1989,AE,F,O,private
1990,AE,F,O,private
1990,AE,F,O,private
1990,AE,F,O,private
1990,AE,F,O,private
1990,AE,F,O,private
1991,AE,F,O,private
1991,AE,F,O,private
1991,AE,F,O,private
1991,AE,F,O,private
1991,AE,F,O,private
1991,AE,F,O,private
1991,AE,F,O,private
1991,AE,F,O,private
1992,AE,F,O,private
1992,AE,F,O,private
1992,AE,F,O,private
1992,AE,F,O,private
1992,AE,F,O,private
1992,AE,F,O,private
1992,AE,F,O,private
1993,AE,F,O,private
1993,AE,F,O,private
1993,AE,F,O,private
1993,AE,F,O,private
1993,AE,F,O,private
1993,AE,F,O,private
1993,AE,F,O,private
1994,AE,F,O,private
1994,AE,F,O,private
1994,AE,F,O,private
1994,AE,F,O,private
1994,AE,F,O,private
1994,AE,F,O,private
1995,AE,F,O,private
1995,AE,F,O,private
1995,AE,F,O,private
1995,AE,F,O,private
1995,AE,F,O,private
1995,AE,F,O,private
1995,AE,F,O,private
1995,AE,F,O,private
1995,AE,F,O,private
1995,AE,F,O,private
1995,AE,F,O,private
1996,AE,F,O,private
1996,AE,F,O,private
1996,AE,F,O,private
1996,AE,F,O,private
1996,AE,F,O,private
1996,AE,F,O,private
1996,AE,F,O,private
1996,AE,F,O,private
1996,AE,F,O,private
1996,AE,F,O,private
1997,AE,F,O,private
1997,AE,F,O,private
1997,AE,F,O,private
1997,AE,F,O,private
1997,AE,F,O,private
1997,AE,F,O,private
1997,AE,F,O,private
1997,AE,F,O,private
1997,AE,F,O,private
1997,AE,F,O,private
1997,AE,F,O,private
1998,AE,F,O,private
1998,AE,F,O,private
1998,AE,F,O,private
1998,AE,F,O,private
1998,AE,F,O,private
1998,AE,F,O,private
1998,AE,F,O,private
1998,AE,F,O,private
1998,AE,F,O,private
1998,AE,F,O,private
1998,AE,F,O,private
1999,AE,F,O,private
1999,AE,F,O,private
1999,AE,F,O,private
1999,AE,F,O,private
1999,AE,F,O,private
1999,AE,F,O,private
1999,AE,F,O,private
1999,AE,F,O,private
1999,AE,F,O,private
1999,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2000,AE,F,O,private
2001,AE,F,O,private
2001,AE,F,O,private
2001,AE,F,O,private
2001,AE,F,O,private
2001,AE,F,O,private
2001,AE,F,O,private
2001,AE,F,O,private
2001,AE,F,O,private
2002,AE,F,O,private
2002,AE,F,O,private
2002,AE,F,O,private
2002,AE,F,O,private
2002,AE,F,O,private
2002,AE,F,O,private
2002,AE,F,O,private
2002,AE,F,O,private
2002,AE,F,O,private
2002,AE,F,O,private
2002,AE,F,O,private
2003,AE,F,O,private
2003,AE,F,O,private
2003,AE,F,O,private
2003,AE,F,O,private
2004,AE,F,O,private
2004,AE,F,O,private
2004,AE,F,O,private
2005,AE,F,O,private
2005,AE,F,O,private
2005,AE,F,O,private
2006,AE,F,O,private
2006,AE,F,O,private
2006,AE,F,O,private
2006,AE,F,O,private
2006,AE,F,O,private
2007,AE,F,O,private
2007,AE,F,O,private
2007,AE,F,O,private
2007,AE,F,O,private
2007,AE,F,O,private
2007,AE,F,O,private
2008,AE,F,O,private
2008,AE,F,O,private
2008,AE,F,O,private
2008,AE,F,O,private
2008,AE,F,O,private
2008,AE,F,O,private
2009,AE,F,O,private
2009,AE,F,O,private
2009,AE,F,O,private
2009,AE,F,O,private
2009,AE,F,O,private
2009,AE,F,O,private
2009,AE,F,O,private
2010,AE,F,O,private
2010,AE,F,O,private
2010,AE,F,O,private
2010,AE,F,O,private
2010,AE,F,O,private
2010,AE,F,O,private
2011,AE,F,O,private
2011,AE,F,O,private
2011,AE,F,O,private
2011,AE,F,O,private
2011,AE,F,O,private
2011,AE,F,O,private
