war_name,war_deaths_low,war_deaths_high,civil_war,midpoint,region
World War II,21058660,30859974,Interstate war,1942,Cross-Regional
World War I,7107951,8935966,Interstate war,1916,Cross-Regional
Third Sino-Japanese War,1689000,3300000,Interstate war,1941,Asia
Chinese Civil War,1200000,2071610,Civil war,1947.5,Asia
Vietnam War,1062068,1217357,Interstate war,1969,Asia
Napoleonic Wars,570328,598225,Interstate war,1807.5,Europe
Korean War,543936,718099,Interstate war,1951.5,Asia
Russian Civil War,379483,858742,Civil war,1919.5,Europe
Iran-Iraq War,228220,578000,Interstate war,1984,North Africa and Middle East
Spanish Civil War,203839,288150,Civil war,1937.5,Europe
Warlord Era Wars,193400,280300,Civil war,1925,Asia
American Civil War,166040,229000,Civil war,1863,Americas
Crimean War,142559,172197,Interstate war,1854.5,Europe
Tigrean and Eritrean War,126000,315000,Civil war,1986.5,North Africa and Middle East
Thousand Days' War,100000,100000,Civil war,1900.5,Americas
Taiping Rebellion,95000,111000,Civil war,1857.5,Asia
Franco-Prussian War,90275,277200,Interstate war,1870.5,Europe
North Yemen Civil War,84000,100000,Civil war,1965.5,North Africa and Middle East
Second Balkan War,77800,87207,Interstate war,1912.5,Europe
Russo-Japanese War,75952,90300,Interstate war,1904.5,Asia
Second Sino-Japanese War,64770,74870,Interstate war,1931.5,Asia
Bosnian War,60677,89894,Civil war,1993.5,Europe
Angolan Civil War,59650,68135,Civil war,1988.5,Sub-Saharan Africa
Paraguayan War,55400,311400,Interstate war,1867,Americas
Rif War,54370,70000,Civil war,1923.5,North Africa and Middle East
Ethiopian-Eritrean War,53000,121500,Interstate war,1999,North Africa and Middle East
First Mahdi War,46349,56461,Civil war,1883,Sub-Saharan Africa
Durrani Empire-Sikh War,40400,56900,Interstate war,1818,Asia
Russo-Turkish War of 1828-29,40015,46372,Interstate war,1828.5,North Africa and Middle East
Ethiopian-Mahdi War,40000,75000,Interstate war,1887,North Africa and Middle East
Greco-Turkish War,38900,52000,Interstate war,1909.5,Europe
November Uprising,37900,37900,Civil war,1831,Europe
Russo-Turkish War,33000,39779,Interstate war,1808.5,Europe
Russo-Turkish War of 1877-78,32000,110000,Interstate war,1877.5,North Africa and Middle East
Second Maratha War,31868,39696,Interstate war,1804,Asia
Vientiane-Siam War,31000,31000,Interstate war,1827,Asia
First Sino-Vietnamese War,30000,56000,Interstate war,1979,Asia
Satsuma Rebellion,26300,26300,Civil war,1877,Asia
North Vietnam-South Vietnam War,26100,43500,Interstate war,1974.5,Asia
Vietnamese-Cambodian War,25000,73300,Interstate war,1977,Asia
Polish-Ukrainian War,25000,25000,Interstate war,1918.5,Europe
Chaco War,24000,50000,Interstate war,1933.5,Americas
Soviet-Polish War,21278,47000,Interstate war,1919.5,Europe
US-Afghan,21242,30442,Interstate war,1998,Asia
Persian Gulf War,20229,40237,Interstate war,1991,North Africa and Middle East
Asante-Asin-Fante-UKG War,20021,28021,Interstate war,1806.5,Sub-Saharan Africa
Franco-Mexican War,19400,28962,Interstate war,1864.5,Americas
Montenegrin-Ottoman War,19337,19337,Civil war,1857,Europe
First Anglo-Sikh War,19298,37341,Interstate war,1847,Asia
Second Italo-Abyssinian War,18897,54000,Interstate war,1935.5,North Africa and Middle East
Czech-Polish War,18000,25000,Interstate war,1919,Europe
First Serbian Uprising,17600,17600,Civil war,1808.5,Europe
Hungarian War of Independence,16708,27503,Civil war,1848.5,Europe
Montenegrin-Turkish War,16700,17000,Civil war,1877,Europe
Austro-Prussian War,16107,43800,Interstate war,1866,Europe
