;Median_1999;Year;Median_2014;Year
Akron, OH;77.688;1.999;68.191;2014
Albany-Schenectady-Troy, NY;73.185;1.999;76.768;2014
Albuquerque, NM;66.067;1.999;58.865;2014
Allentown-Bethlehem-Easton, PA-NJ;71.608;1.999;69.500;2014
Amarillo, TX;60.599;1.999;63.254;2014
Anchorage, AK;76.653;1.999;77.460;2014
Ann Arbor, MI;83.378;1.999;70.566;2014
Anniston-Oxford-Jacksonville, AL;60.516;1.999;57.056;2014
Atlanta-Sandy Springs-Roswell, GA;83.531;1.999;69.136;2014
Atlantic City-Hammonton, NJ;62.551;1.999;61.133;2014
Auburn-Opelika, AL;61.622;1.999;57.786;2014
Augusta-Richmond County, GA-SC;68.550;1.999;63.485;2014
Austin-Round Rock, TX;77.997;1.999;74.453;2014
Bakersfield, CA;54.270;1.999;50.880;2014
Baltimore-Columbia-Towson, MD;74.760;1.999;76.547;2014
Bangor, ME;58.848;1.999;59.917;2014
Barnstable Town, MA;73.015;1.999;80.966;2014
Baton Rouge, LA;64.554;1.999;65.846;2014
Beaumont-Port Arthur, TX;62.538;1.999;54.365;2014
Bellingham, WA;63.495;1.999;61.585;2014
Bend-Redmond, OR;69.793;1.999;63.544;2014
Binghamton, NY;63.455;1.999;57.953;2014
Birmingham-Hoover, AL;70.026;1.999;61.295;2014
Blacksburg-Christiansburg-Radford, VA;64.599;1.999;58.258;2014
Bloomington, IL;82.618;1.999;73.861;2014
Boise City, ID;71.025;1.999;60.357;2014
Boston-Cambridge-Newton, MA-NH;78.530;1.999;79.625;2014
Bremerton-Silverdale, WA;70.306;1.999;68.653;2014
Bridgeport-Stamford-Norwalk, CT;81.924;1.999;80.294;2014
Brownsville-Harlingen, TX;42.674;1.999;41.220;2014
Buffalo-Cheektowaga-Niagara Falls, NY;67.431;1.999;65.885;2014
Burlington, NC;67.127;1.999;51.278;2014
Burlington-South Burlington, VT;70.212;1.999;76.074;2014
Canton-Massillon, OH;70.467;1.999;62.640;2014
Cape Coral-Fort Myers, FL;67.238;1.999;61.559;2014
Champaign-Urbana, IL;68.555;1.999;58.776;2014
Charleston-North Charleston, SC;65.305;1.999;67.708;2014
Charlotte-Concord-Gastonia, NC-SC;77.604;1.999;65.771;2014
Chattanooga, TN-GA;68.394;1.999;60.561;2014
Chicago-Naperville-Elgin, IL-IN-WI;75.967;1.999;67.917;2014
Chico, CA;53.553;1.999;49.438;2014
Cincinnati, OH-KY-IN;77.139;1.999;71.770;2014
Clarksville, TN-KY;62.146;1.999;53.063;2014
Cleveland-Elyria, OH;78.487;1.999;67.598;2014
Colorado Springs, CO;74.434;1.999;66.472;2014
Columbia, MO;68.343;1.999;63.677;2014
Columbus, OH;78.587;1.999;72.044;2014
Corpus Christi, TX;60.005;1.999;59.840;2014
Dallas-Fort Worth-Arlington, TX;74.362;1.999;67.460;2014
Daphne-Fairhope-Foley, AL;66.048;1.999;63.417;2014
Dayton, OH;74.669;1.999;62.715;2014
Decatur, AL;69.744;1.999;61.941;2014
Decatur, IL;68.764;1.999;66.115;2014
Deltona-Daytona Beach-Ormond Beach, FL;59.374;1.999;54.120;2014
Denver-Aurora-Lakewood, CO;83.489;1.999;75.962;2014
Detroit-Warren-Dearborn, MI;80.140;1.999;65.641;2014
Dover, DE;66.379;1.999;68.044;2014
East Stroudsburg, PA;69.454;1.999;65.807;2014
Eau Claire, WI;67.453;1.999;64.886;2014
El Centro, CA;49.200;1.999;42.969;2014
Elkhart-Goshen, IN;73.793;1.999;57.818;2014
El Paso, TX;50.193;1.999;45.765;2014
Erie, PA;63.263;1.999;55.166;2014
Eugene, OR;63.067;1.999;52.276;2014
Fayetteville, NC;64.618;1.999;55.016;2014
Fayetteville-Springdale-Rogers, AR-MO;66.209;1.999;63.636;2014
Flagstaff, AZ;58.572;1.999;58.028;2014
Fort Collins, CO;79.495;1.999;65.166;2014
Fort Wayne, IN;76.374;1.999;62.706;2014
Fresno, CA;53.349;1.999;46.830;2014
Gadsden, AL;60.976;1.999;53.231;2014
Gainesville, FL;54.819;1.999;57.471;2014
Gainesville, GA;73.718;1.999;64.516;2014
Glens Falls, NY;63.336;1.999;62.435;2014
Goldsboro, NC;66.035;1.999;48.570;2014
Grand Junction, CO;58.787;1.999;65.774;2014
Grand Rapids-Wyoming, MI;78.194;1.999;65.310;2014
Greensboro-High Point, NC;71.300;1.999;58.114;2014
Greenville, NC;61.420;1.999;55.066;2014
Greenville-Anderson-Mauldin, SC;67.922;1.999;57.522;2014
Gulfport-Biloxi-Pascagoula, MS;62.342;1.999;57.543;2014
Hanford-Corcoran, CA;52.697;1.999;51.951;2014
Harrisburg-Carlisle, PA;74.575;1.999;71.944;2014
Hartford-West Hartford-East Hartford, CT;84.213;1.999;82.117;2014
Hickory-Lenoir-Morganton, NC;67.817;1.999;53.361;2014
Hilton Head Island-Bluffton-Beaufort, SC;73.476;1.999;68.951;2014
Houma-Thibodaux, LA;57.156;1.999;58.867;2014
Houston-The Woodlands-Sugar Land, TX;70.570;1.999;66.286;2014
Huntsville, AL;77.056;1.999;71.194;2014
Indianapolis-Carmel-Anderson, IN;78.492;1.999;68.041;2014
Jackson, MI;74.783;1.999;59.575;2014
Jackson, TN;73.166;1.999;58.876;2014
Jacksonville, FL;70.478;1.999;62.448;2014
Janesville-Beloit, WI;77.897;1.999;65.838;2014
Johnstown, PA;60.322;1.999;62.795;2014
Joplin, MO;59.711;1.999;59.990;2014
Kalamazoo-Portage, MI;71.919;1.999;61.232;2014
Kankakee, IL;66.567;1.999;69.630;2014
Kansas City, MO-KS;81.574;1.999;70.243;2014
Knoxville, TN;62.806;1.999;57.206;2014
Lafayette, LA;60.950;1.999;64.605;2014
Lake Havasu City-Kingman, AZ;52.686;1.999;46.986;2014
Lakeland-Winter Haven, FL;60.402;1.999;53.419;2014
Lancaster, PA;72.173;1.999;66.843;2014
Lansing-East Lansing, MI;75.117;1.999;64.756;2014
Laredo, TX;41.215;1.999;40.777;2014
Las Cruces, NM;47.661;1.999;46.863;2014
Las Vegas-Henderson-Paradise, NV;70.185;1.999;59.714;2014
Lebanon, PA;69.680;1.999;73.925;2014
Lewiston-Auburn, ME;61.821;1.999;64.141;2014
Lincoln, NE;75.636;1.999;69.345;2014
Little Rock-North Little Rock-Conway, AR;69.162;1.999;65.181;2014
Los Angeles-Long Beach-Anaheim, CA;60.383;1.999;55.920;2014
Louisville/Jefferson County, KY-IN;73.140;1.999;65.717;2014
Lubbock, TX;56.760;1.999;57.302;2014
Lynchburg, VA;66.588;1.999;63.636;2014
Madera, CA;51.623;1.999;48.332;2014
Manchester-Nashua, NH;73.656;1.999;75.099;2014
Mansfield, OH;68.194;1.999;55.544;2014
McAllen-Edinburg-Mission, TX;40.015;1.999;39.752;2014
Medford, OR;60.860;1.999;52.151;2014
Memphis, TN-MS-AR;68.564;1.999;59.841;2014
Merced, CA;52.031;1.999;44.657;2014
Miami-Fort Lauderdale-West Palm Beach, FL;60.761;1.999;52.686;2014
Michigan City-La Porte, IN;77.371;1.999;59.796;2014
Midland, TX;66.433;1.999;90.743;2014
Milwaukee-Waukesha-West Allis, WI;79.736;1.999;68.056;2014
Minneapolis-St. Paul-Bloomington, MN-WI;84.164;1.999;78.676;2014
Mobile, AL;60.928;1.999;59.368;2014
Modesto, CA;60.461;1.999;54.269;2014
Monroe, LA;59.838;1.999;50.422;2014
Monroe, MI;80.170;1.999;67.868;2014
Montgomery, AL;67.757;1.999;60.497;2014
Morgantown, WV;59.013;1.999;61.224;2014
Muncie, IN;61.990;1.999;55.005;2014
Muskegon, MI;66.672;1.999;56.243;2014
Napa, CA;69.126;1.999;64.461;2014
Naples-Immokalee-Marco Island, FL;78.542;1.999;69.911;2014
