"location","start_year","end_year","deaths_thousands","region"
"China",1946,1949,600,"East Asia, South-East Asia & Oceania"
"Afghanistan",1978,2012,334.4,"South & Central Asia"
"Vietnam",1946,1954,188.6,"East Asia, South-East Asia & Oceania"
"Cambodia",1967,1998,186.8,"East Asia, South-East Asia & Oceania"
"Ethiopia (Eritrea)",1964,1991,122.7,"Sub-Saharan Africa"
"Algeria",1954,1962,91.3,"Middle East & North Africa"
"South Vietnam",1955,1964,82.5,"East Asia, South-East Asia & Oceania"
"Cameroon",1960,1961,77.5,"Sub-Saharan Africa"
"Greece",1946,1949,77,"Europe"
"Angola",1975,2002,71.3,"Sub-Saharan Africa"
"Uganda",1975,2011,67.4,"Sub-Saharan Africa"
"Lebanon",1975,1990,66.3,"Middle East & North Africa"
"Mozambique",1977,1992,62.9,"Sub-Saharan Africa"
"Sri Lanka",1984,2009,62.2,"South & Central Asia"
"Sudan",1971,2012,57.3,"Sub-Saharan Africa"
"Pakistan (East)",1971,1971,55.9,"South & Central Asia"
"Ethiopia",1976,1991,48.4,"Sub-Saharan Africa"
"Angola",1961,1974,39.5,"Sub-Saharan Africa"
"Indonesia (East-Timor)",1975,1998,37.7,"East Asia, South-East Asia & Oceania"
"Nigeria",1967,1970,37.5,"Sub-Saharan Africa"
"Iraq (Kurdistan)",1961,1996,34.6,"Middle East & North Africa"
"Somalia",1988,2012,31.6,"Sub-Saharan Africa"
"El Salvador",1972,1991,28.7,"Americas"
"Turkey (Kurdistan)",1984,2012,27,"Europe"
"Myanmar",1948,1993,25.2,"East Asia, South-East Asia & Oceania"
"Chad",1967,2010,22.3,"Sub-Saharan Africa"
"Philippines (Mindanao)",1970,2012,22.1,"East Asia, South-East Asia & Oceania"
"Guatemala",1965,1990,21.8,"Americas"
"Nicaragua",1978,1990,20.3,"Americas"
"Philippines",1947,1953,19.5,"East Asia, South-East Asia & Oceania"
"India (Kashmir)",1989,2012,19.3,"South & Central Asia"
"Colombia",1964,2012,19.3,"Americas"
"Pakistan",2007,2012,19.2,"South & Central Asia"
"Iraq",1982,2012,18.4,"Middle East & North Africa"
"Algeria",1991,2012,18.3,"Middle East & North Africa"
"Myanmar (Kachin)",1961,1992,18,"East Asia, South-East Asia & Oceania"
"Russia (Chechnya)",1994,2008,17.6,"Europe"
"Myanmar (Karen)",1949,2011,17.4,"East Asia, South-East Asia & Oceania"
