"year","totaldeaths"
1946,253.502
1947,354.761
1948,399.926
1949,389.873
1950,5.333
1951,1.333
1952,1.333
1953,1.362
1954,1.382
1955,6.056
1956,10.837
1957,6.837
1958,20.976
1959,26.777
1960,13.115
1961,16.525
1962,23.939
1963,55.409
1964,49.07
1965,8.217
1966,2.914
1967,19.063
1968,33.259
1969,33.521
1970,43.409
1971,42.781
1972,42.167
1973,42.068
1974,43.61
1975,87.717
1976,94.664
1977,33.406
1978,90.103
1979,101.019
1980,77.825
1981,86.421
1982,121.133
1983,118.688
1984,172.082
1985,152.228
1986,149.109
1987,108.491
1988,76.334
