Entity,Code,Year,Deaths in ongoing conflicts (best estimate) - Conflict type: state-based,Deaths in ongoing conflicts (low estimate) - Conflict type: state-based,Deaths in ongoing conflicts (high estimate) - Conflict type: state-based
Africa,,1946,0,0,0
Africa,,1947,6952,6952,12180
Africa,,1948,0,0,0
Africa,,1949,0,0,0
Africa,,1950,0,0,0
Africa,,1951,0,0,0
Africa,,1952,2591,25,3000
Africa,,1953,2816,1125,3700
Africa,,1954,23896,1465,53572
Africa,,1955,23296,15403,54472
Africa,,1956,23296,15403,54072
Africa,,1957,24231,14361,60438
Africa,,1958,24305,14436,60440
Africa,,1959,24181,14313,59940
Africa,,1960,50680,44678,253270
Africa,,1961,57845,45528,259093
Africa,,1962,26028,275,57699
Africa,,1963,8506,1814,14291
Africa,,1964,11933,5610,78447
Africa,,1965,11827,5021,77747
Africa,,1966,10664,3944,33869
Africa,,1967,25941,13062,54631
Africa,,1968,39702,22134,72986
Africa,,1969,39651,22109,71988
Africa,,1970,13039,5433,36506
Africa,,1971,11069,4089,35724
Africa,,1972,12574,5696,34278
Africa,,1973,10391,4128,25888
Africa,,1974,15612,10643,24545
Africa,,1975,16132,10670,23571
Africa,,1976,27567,16223,53047
Africa,,1977,29381,17332,55809
Africa,,1978,38199,21853,65890
Africa,,1979,29530,17983,47283
Africa,,1980,34012,27651,81169
Africa,,1981,34780,28581,89195
Africa,,1982,34568,28210,88635
Africa,,1983,39285,29881,105943
Africa,,1984,63800,29060,119320
Africa,,1985,62674,29084,119176
Africa,,1986,65496,29054,122321
Africa,,1987,59738,15986,89585
Africa,,1988,37095,13895,77987
Africa,,1989,34907,34901,47713
Africa,,1990,64839,62491,78846
Africa,,1991,25480,23662,35548
Africa,,1992,6887,6779,22944
Africa,,1993,15064,15057,27206
Africa,,1994,9606,9454,18428
Africa,,1995,6810,6659,12743
Africa,,1996,8187,7787,10927
Africa,,1997,24107,23131,41040
Africa,,1998,23571,22320,31493
Africa,,1999,61463,60316,73521
Africa,,2000,59896,59034,67614
Africa,,2001,10659,8909,15930
Africa,,2002,7452,6851,12269
Africa,,2003,6358,6226,9240
Africa,,2004,6045,5979,8763
Africa,,2005,1600,1574,2807
Africa,,2006,3694,3430,8930
Africa,,2007,3379,3294,5366
Africa,,2008,4708,4650,7303
Africa,,2009,5610,5230,7648
Africa,,2010,3971,3730,7093
Africa,,2011,8463,7906,13114
Africa,,2012,6527,6204,9598
Africa,,2013,7203,6727,14438
Africa,,2014,10341,8964,16270
Africa,,2015,10284,9890,14698
Africa,,2016,9975,8899,15752
Africa,,2017,9425,9002,12435
Africa,,2018,6839,6147,9220
Africa,,2019,8393,7562,10409
Africa,,2020,30310,29176,33971
Africa,,2021,135076,133373,141506
Africa,,2022,175289,173974,185790
Africa,,2023,21045,19874,31220
Africa,,2024,17440,16212,29092
Americas,,1946,1000,1000,9999
Americas,,1947,4000,1000,4000
Americas,,1948,2000,1000,2000
Americas,,1949,40,25,999
Americas,,1950,34,29,34
Americas,,1951,0,0,0
Americas,,1952,450,450,3000
Americas,,1953,28,25,28
Americas,,1954,58,58,250
Americas,,1955,800,800,900
Americas,,1956,299,299,1666
Americas,,1957,339,324,2666
Americas,,1958,300,300,1667
Americas,,1959,0,0,0
Americas,,1960,0,0,0
Americas,,1961,279,279,1368
Americas,,1962,400,136,999
Americas,,1963,25,25,999
Americas,,1964,230,25,230
Americas,,1965,4665,965,5615
Americas,,1966,400,50,489
Americas,,1967,502,75,1523
Americas,,1968,1010,50,1291
Americas,,1969,3797,1231,7163
Americas,,1970,1720,1025,2193
Americas,,1971,1650,1025,2123
Americas,,1972,2061,1089,3333
Americas,,1973,3395,2024,4596
Americas,,1974,2575,1197,2871
Americas,,1975,2040,1197,2336
Americas,,1976,2580,1197,2876
Americas,,1977,1717,1197,2013
Americas,,1978,4300,3525,7274
Americas,,1979,9570,8710,32653
Americas,,1980,3599,1272,4632
Americas,,1981,19541,9127,26130
Americas,,1982,14838,4689,20700
Americas,,1983,16913,9764,27518
Americas,,1984,16898,9985,31114
Americas,,1985,13168,6633,20792
Americas,,1986,11638,5928,19385
Americas,,1987,11419,5924,19771
Americas,,1988,6798,3543,12798
Americas,,1989,8715,8386,11158
Americas,,1990,2610,2603,2878
Americas,,1991,2183,2078,2430
Americas,,1992,2732,2732,2934
Americas,,1993,912,912,955
Americas,,1994,1558,1558,2071
Americas,,1995,1127,1114,1336
Americas,,1996,1309,1302,1379
Americas,,1997,653,653,775
Americas,,1998,964,963,1409
Americas,,1999,1653,1632,1942
Americas,,2000,1879,1865,2253
Americas,,2001,2097,2092,2216
Americas,,2002,3387,3330,3924
Americas,,2003,2086,2059,2114
Americas,,2004,1567,1457,1922
Americas,,2005,1561,1533,1613
Americas,,2006,503,503,515
Americas,,2007,350,350,357
Americas,,2008,322,313,331
Americas,,2009,429,429,503
Americas,,2010,447,447,453
Americas,,2011,202,202,208
Americas,,2012,211,211,310
Americas,,2013,140,140,183
Americas,,2014,119,119,119
Americas,,2015,134,134,140
Americas,,2016,30,30,30
Americas,,2017,0,0,0
Americas,,2018,131,131,131
Americas,,2019,117,117,121
Americas,,2020,28,28,28
Americas,,2021,113,113,123
Americas,,2022,122,122,123
Americas,,2023,89,88,90
Americas,,2024,418,393,436
Asia and Oceania,,1946,243831,42038,409426
Asia and Oceania,,1947,345148,51230,603817
Asia and Oceania,,1948,406947,60996,689658
Asia and Oceania,,1949,406506,67033,701980
Asia and Oceania,,1950,550361,352089,918502
Asia and Oceania,,1951,395817,253636,615930
Asia and Oceania,,1952,145687,91438,229577
Asia and Oceania,,1953,95834,59724,154954
Asia and Oceania,,1954,45309,26650,77820
Asia and Oceania,,1955,6738,5440,26399
Asia and Oceania,,1956,11342,6702,28397
Asia and Oceania,,1957,7256,5656,25396
Asia and Oceania,,1958,21676,6908,39018
Asia and Oceania,,1959,25948,9979,137783
Asia and Oceania,,1960,13937,5967,32785
Asia and Oceania,,1961,17078,8577,45026
Asia and Oceania,,1962,25707,20697,116591
Asia and Oceania,,1963,58446,45955,190013
Asia and Oceania,,1964,49678,39385,167257
Asia and Oceania,,1965,79721,60969,256053
Asia and Oceania,,1966,82865,64789,271782
Asia and Oceania,,1967,93083,73026,303985
Asia and Oceania,,1968,191310,149514,621075
Asia and Oceania,,1969,150040,117709,490680
Asia and Oceania,,1970,190155,148952,548694
Asia and Oceania,,1971,244939,202193,788661
Asia and Oceania,,1972,283273,221050,838387
Asia and Oceania,,1973,197295,154314,565601
Asia and Oceania,,1974,231109,179466,671420
Asia and Oceania,,1975,101130,66537,191451
Asia and Oceania,,1976,13998,7279,37074
Asia and Oceania,,1977,14059,7340,37574
Asia and Oceania,,1978,59686,23574,103005
Asia and Oceania,,1979,115257,35454,163049
Asia and Oceania,,1980,50182,5973,76738
Asia and Oceania,,1981,45420,5971,70555
Asia and Oceania,,1982,49470,5346,76115
Asia and Oceania,,1983,69584,6459,99679
Asia and Oceania,,1984,97072,8555,137293
Asia and Oceania,,1985,81165,7364,115454
Asia and Oceania,,1986,76778,7819,111157
Asia and Oceania,,1987,57885,8235,97905
Asia and Oceania,,1988,42511,6138,82348
Asia and Oceania,,1989,10018,5961,24347
Asia and Oceania,,1990,10132,9704,12741
Asia and Oceania,,1991,15509,15304,17612
Asia and Oceania,,1992,17039,16984,20614
Asia and Oceania,,1993,9385,9368,14592
Asia and Oceania,,1994,12642,12567,17479
Asia and Oceania,,1995,12719,12634,15122
Asia and Oceania,,1996,12034,12017,13951
Asia and Oceania,,1997,11493,9275,14838
Asia and Oceania,,1998,12231,11975,14712
Asia and Oceania,,1999,9244,9116,11170
Asia and Oceania,,2000,13639,12257,15877
Asia and Oceania,,2001,9478,8864,19020
Asia and Oceania,,2002,8309,7081,9146
Asia and Oceania,,2003,5942,5671,7305
Asia and Oceania,,2004,6123,5828,7504
Asia and Oceania,,2005,5371,5121,6170
Asia and Oceania,,2006,9842,9665,12559
Asia and Oceania,,2007,12234,11534,15815
Asia and Oceania,,2008,19146,18634,23532
Asia and Oceania,,2009,25764,23304,32060
Asia and Oceania,,2010,14632,14126,17892
Asia and Oceania,,2011,11968,11762,15137
Asia and Oceania,,2012,12283,12065,15064
Asia and Oceania,,2013,11329,10862,13759
Asia and Oceania,,2014,16636,15731,20553
Asia and Oceania,,2015,21196,20035,27460
Asia and Oceania,,2016,20177,18642,27243
Asia and Oceania,,2017,22611,21750,24561
Asia and Oceania,,2018,27364,25815,31872
Asia and Oceania,,2019,31806,29736,37324
Asia and Oceania,,2020,22027,20453,23369
Asia and Oceania,,2021,38075,35899,46739
Asia and Oceania,,2022,4339,3776,13634
Asia and Oceania,,2023,4280,3966,11654
Asia and Oceania,,2024,4833,4613,7607
Europe,,1946,51418,8088,52924
Europe,,1947,48684,8025,50184
Europe,,1948,42849,7050,44349
Europe,,1949,38525,6025,40999
Europe,,1950,25,25,999
Europe,,1951,0,0,0
Europe,,1952,0,0,0
Europe,,1953,0,0,0
Europe,,1954,0,0,0
Europe,,1955,74,74,118
Europe,,1956,3245,3076,3605
Europe,,1957,75,75,118
Europe,,1958,75,75,119
Europe,,1959,75,75,119
Europe,,1960,0,0,0
Europe,,1961,1180,1000,6000
Europe,,1962,1180,1000,6000
Europe,,1963,0,0,0
Europe,,1964,0,0,0
Europe,,1965,0,0,0
Europe,,1966,0,0,0
Europe,,1967,0,0,0
Europe,,1968,0,0,0
Europe,,1969,0,0,0
Europe,,1970,0,0,0
Europe,,1971,171,25,171
Europe,,1972,479,25,479
Europe,,1973,253,25,253
Europe,,1974,294,25,294
Europe,,1975,260,25,260
Europe,,1976,295,25,295
Europe,,1977,111,25,111
Europe,,1978,81,25,81
Europe,,1979,121,25,121
Europe,,1980,171,116,173
Europe,,1981,143,55,144
Europe,,1982,1074,935,1310
Europe,,1983,85,25,85
Europe,,1984,69,25,69
Europe,,1985,57,25,57
Europe,,1986,61,25,61
Europe,,1987,150,50,150
Europe,,1988,104,25,104
Europe,,1989,287,287,538
Europe,,1990,236,122,448
Europe,,1991,3400,3327,5243
Europe,,1992,24592,21314,29008
Europe,,1993,16717,15715,20645
Europe,,1994,8758,7921,12314
Europe,,1995,11479,10679,17306
Europe,,1996,2721,2704,4029
Europe,,1997,29,29,36
Europe,,1998,1298,714,2355
Europe,,1999,7258,7168,15282
Europe,,2000,2907,2907,5329
Europe,,2001,863,862,1265
Europe,,2002,1289,1131,3196
Europe,,2003,480,476,626
Europe,,2004,1178,1161,1377
Europe,,2005,707,675,761
Europe,,2006,259,259,357
Europe,,2007,176,176,273
Europe,,2008,1055,930,1355
Europe,,2009,697,553,780
Europe,,2010,418,409,634
Europe,,2011,356,355,515
Europe,,2012,541,539,750
Europe,,2013,321,286,535
Europe,,2014,5114,4990,5991
Europe,,2015,2049,1883,2160
Europe,,2016,909,695,1116
Europe,,2017,538,513,612
Europe,,2018,280,205,295
Europe,,2019,338,286,339
Europe,,2020,7874,7686,9366
Europe,,2021,248,207,256
Europe,,2022,91853,69577,167243
Europe,,2023,75739,60198,136064
Europe,,2024,75767,68855,121223
Middle East,,1946,137,112,2373
Middle East,,1947,0,0,0
Middle East,,1948,23792,8218,29791
Middle East,,1949,1575,507,1575
Middle East,,1950,256,25,256
Middle East,,1951,350,50,1255
Middle East,,1952,345,50,1255
Middle East,,1953,256,25,256
Middle East,,1954,256,25,256
Middle East,,1955,256,25,256
Middle East,,1956,2398,1890,3256
Middle East,,1957,287,56,310
Middle East,,1958,1681,1050,2655
Middle East,,1959,2256,525,5256
Middle East,,1960,256,25,256
Middle East,,1961,1422,1191,10256
Middle East,,1962,2623,2392,21478
Middle East,,1963,2824,2593,21978
Middle East,,1964,1507,1276,18048
Middle East,,1965,2355,2049,18048
Middle East,,1966,2857,2317,20046
Middle East,,1967,7191,6498,33360
Middle East,,1968,1305,1074,18049
Middle East,,1969,5185,2162,20130
Middle East,,1970,3870,1171,19772
Middle East,,1971,256,25,256
Middle East,,1972,696,175,1756
Middle East,,1973,11606,10843,22008
Middle East,,1974,12056,11327,20171
Middle East,,1975,16122,6300,22856
Middle East,,1976,62282,1050,73691
Middle East,,1977,282,50,1256
Middle East,,1978,307,75,2255
Middle East,,1979,2811,731,12523
Middle East,,1980,37528,37296,86175
Middle East,,1981,97379,56397,198447
Middle East,,1982,134559,60372,271569
Middle East,,1983,102419,55397,211126
Middle East,,1984,71427,40622,151035
Middle East,,1985,71402,40597,141868
Middle East,,1986,81427,50622,156369
Middle East,,1987,65463,40622,137358
Middle East,,1988,65995,41397,331550
Middle East,,1989,1257,1150,1459
Middle East,,1990,2480,2165,2906
Middle East,,1991,23781,23738,30584
Middle East,,1992,2156,2155,2666
Middle East,,1993,2871,2871,4359
Middle East,,1994,5953,5733,7873
Middle East,,1995,4607,4597,5692
Middle East,,1996,4634,4632,4785
Middle East,,1997,4058,4055,5295
Middle East,,1998,2154,2154,2246
Middle East,,1999,1429,1429,1514
Middle East,,2000,350,347,393
Middle East,,2001,495,489,557
Middle East,,2002,669,662,744
