Entity,Code,Year,Population,Population
Africa,,1942,199217448,199217448
Africa,,1943,202429522,202429522
Africa,,1944,205701844,205701844
Africa,,1945,209035596,209035596
Africa,,1946,212431972,212431972
Africa,,1947,215892204,215892204
Africa,,1948,219417536,219417536
Africa,,1949,223283534,223283534
Africa,,1950,227776845,227776845
Africa,,1951,232557376,232557376
Africa,,1952,237539914,237539914
Africa,,1953,242685418,242685418
Africa,,1954,248006207,248006207
Africa,,1955,253538237,253538237
Africa,,1956,259271772,259271772
Africa,,1957,265129067,265129067
Africa,,1958,271042101,271042101
Africa,,1959,277271953,277271953
Africa,,1960,283922302,283922302
Africa,,1961,290814091,290814091
Africa,,1962,297959978,297959978
Africa,,1963,305371377,305371377
Africa,,1964,313060736,313060736
Africa,,1965,321013552,321013552
Africa,,1966,329252363,329252363
Africa,,1967,337851076,337851076
Africa,,1968,346800979,346800979
Africa,,1969,356032564,356032564
Africa,,1970,365552202,365552202
Africa,,1971,375326477,375326477
Africa,,1972,385312230,385312230
Africa,,1973,395821980,395821980
Africa,,1974,406870352,406870352
Africa,,1975,418433496,418433496
Africa,,1976,430496968,430496968
Africa,,1977,442660483,442660483
Africa,,1978,455539241,455539241
Africa,,1979,469198441,469198441
Africa,,1980,483051700,483051700
Africa,,1981,497620995,497620995
Africa,,1982,512958828,512958828
Africa,,1983,528232702,528232702
Africa,,1984,543638096,543638096
Africa,,1985,559664038,559664038
Africa,,1986,575967268,575967268
Africa,,1987,592601295,592601295
Africa,,1988,609387685,609387685
Africa,,1989,626359188,626359188
Africa,,1990,643775322,643775322
Africa,,1991,661103795,661103795
Africa,,1992,678558071,678558071
Africa,,1993,696621732,696621732
Africa,,1994,714502673,714502673
Africa,,1995,732695472,732695472
Africa,,1996,751473736,751473736
Africa,,1997,770384697,770384697
Africa,,1998,789981693,789981693
Africa,,1999,810079831,810079831
Africa,,2000,830582806,830582806
Africa,,2001,851690326,851690326
Africa,,2002,873411364,873411364
Africa,,2003,895734468,895734468
Africa,,2004,918778465,918778465
Africa,,2005,942546629,942546629
Africa,,2006,966932351,966932351
Africa,,2007,992055819,992055819
Africa,,2008,1018065511,1018065511
Africa,,2009,1044777728,1044777728
Africa,,2010,1072216734,1072216734
Africa,,2011,1100148896,1100148896
Africa,,2012,1128843700,1128843700
Africa,,2013,1158780556,1158780556
Africa,,2014,1189220572,1189220572
Africa,,2015,1220075726,1220075726
Africa,,2016,1251208653,1251208653
Africa,,2017,1282902297,1282902297
Africa,,2018,1315409974,1315409974
Africa,,2019,1348005692,1348005692
Africa,,2020,1380821349,1380821349
Africa,,2021,1413753274,1413753274
Asia,,1942,1306646043,1306646043
Asia,,1943,1313426824,1313426824
Asia,,1944,1319919244,1319919244
Asia,,1945,1326525660,1326525660
Asia,,1946,1333534094,1333534094
Asia,,1947,1341255487,1341255487
Asia,,1948,1349532425,1349532425
Asia,,1949,1362069888,1362069888
Asia,,1950,1367581793,1367581793
Asia,,1951,1394310207,1394310207
Asia,,1952,1423932566,1423932566
Asia,,1953,1455634309,1455634309
Asia,,1954,1488418592,1488418592
Asia,,1955,1523146415,1523146415
Asia,,1956,1558262821,1558262821
Asia,,1957,1594675233,1594675233
Asia,,1958,1631866795,1631866795
Asia,,1959,1664697447,1664697447
Asia,,1960,1691762696,1691762696
Asia,,1961,1718156557,1718156557
Asia,,1962,1753318905,1753318905
Asia,,1963,1799305125,1799305125
Asia,,1964,1847441778,1847441778
Asia,,1965,1894030104,1894030104
Asia,,1966,1940186408,1940186408
Asia,,1967,1986308215,1986308215
Asia,,1968,2034769710,2034769710
Asia,,1969,2085428639,2085428639
Asia,,1970,2136911807,2136911807
Asia,,1971,2187672732,2187672732
Asia,,1972,2237825630,2237825630
Asia,,1973,2288852583,2288852583
Asia,,1974,2339398095,2339398095
Asia,,1975,2388510805,2388510805
Asia,,1976,2436467535,2436467535
Asia,,1977,2484229185,2484229185
Asia,,1978,2531837746,2531837746
Asia,,1979,2580755587,2580755587
Asia,,1980,2631643580,2631643580
Asia,,1981,2683999130,2683999130
Asia,,1982,2738669570,2738669570
Asia,,1983,2794057018,2794057018
Asia,,1984,2849479886,2849479886
Asia,,1985,2906232641,2906232641
Asia,,1986,2964898217,2964898217
Asia,,1987,3025641753,3025641753
Asia,,1988,3086642989,3086642989
Asia,,1989,3147693773,3147693773
Asia,,1990,3209094423,3209094423
Asia,,1991,3268207608,3268207608
Asia,,1992,3324812378,3324812378
Asia,,1993,3380039932,3380039932
Asia,,1994,3433680236,3433680236
Asia,,1995,3486817949,3486817949
Asia,,1996,3539849816,3539849816
Asia,,1997,3592367920,3592367920
Asia,,1998,3644341780,3644341780
Asia,,1999,3695620583,3695620583
Asia,,2000,3746832777,3746832777
Asia,,2001,3797954107,3797954107
Asia,,2002,3847359674,3847359674
Asia,,2003,3895799439,3895799439
Asia,,2004,3944378395,3944378395
Asia,,2005,3992890580,3992890580
Asia,,2006,4041771416,4041771416
Asia,,2007,4090564345,4090564345
Asia,,2008,4139267468,4139267468
Asia,,2009,4188829464,4188829464
Asia,,2010,4238694946,4238694946
Asia,,2011,4288350005,4288350005
Asia,,2012,4338443538,4338443538
Asia,,2013,4387757369,4387757369
Asia,,2014,4435744576,4435744576
Asia,,2015,4482088489,4482088489
Asia,,2016,4527178153,4527178153
Asia,,2017,4571224645,4571224645
Asia,,2018,4612352852,4612352852
Asia,,2019,4651098724,4651098724
Asia,,2020,4686811214,4686811214
Asia,,2021,4716999164,4716999164
Europe,,1942,531916941,531916941
Europe,,1943,534139002,534139002
Europe,,1944,536489647,536489647
Europe,,1945,538385925,538385925
Europe,,1946,539563909,539563909
Europe,,1947,541189671,541189671
Europe,,1948,543672662,543672662
Europe,,1949,546614350,546614350
Europe,,1950,549374181,549374181
Europe,,1951,554348783,554348783
Europe,,1952,559311644,559311644
Europe,,1953,564673451,564673451
Europe,,1954,570282363,570282363
Europe,,1955,575990558,575990558
Europe,,1956,581712529,581712529
Europe,,1957,587753658,587753658
Europe,,1958,594196448,594196448
Europe,,1959,600407992,600407992
Europe,,1960,606417128,606417128
Europe,,1961,612470905,612470905
Europe,,1962,618430819,618430819
Europe,,1963,624213769,624213769
Europe,,1964,629781124,629781124
Europe,,1965,635044327,635044327
Europe,,1966,640050494,640050494
Europe,,1967,644746163,644746163
Europe,,1968,649263031,649263031
Europe,,1969,653794042,653794042
Europe,,1970,657660067,657660067
Europe,,1971,661624408,661624408
Europe,,1972,666196726,666196726
Europe,,1973,670479946,670479946
Europe,,1974,674419030,674419030
Europe,,1975,677953491,677953491
Europe,,1976,681333404,681333404
Europe,,1977,684781638,684781638
Europe,,1978,688120618,688120618
Europe,,1979,691438258,691438258
Europe,,1980,694976561,694976561
Europe,,1981,698297493,698297493
Europe,,1982,701163007,701163007
Europe,,1983,704000872,704000872
Europe,,1984,706845163,706845163
Europe,,1985,709686996,709686996
Europe,,1986,712751187,712751187
Europe,,1987,715938696,715938696
Europe,,1988,719157222,719157222
Europe,,1989,722217653,722217653
Europe,,1990,724943715,724943715
Europe,,1991,727298534,727298534
Europe,,1992,728443297,728443297
Europe,,1993,728848398,728848398
Europe,,1994,729745970,729745970
Europe,,1995,730260103,730260103
Europe,,1996,730267162,730267162
Europe,,1997,730339959,730339959
Europe,,1998,729796180,729796180
Europe,,1999,729166727,729166727
Europe,,2000,729129967,729129967
Europe,,2001,729220001,729220001
Europe,,2002,730126161,730126161
Europe,,2003,731394229,731394229
Europe,,2004,732282324,732282324
Europe,,2005,733101021,733101021
Europe,,2006,733756870,733756870
Europe,,2007,734987444,734987444
Europe,,2008,736658822,736658822
Europe,,2009,738063440,738063440
Europe,,2010,739291483,739291483
Europe,,2011,740524016,740524016
Europe,,2012,741642607,741642607
Europe,,2013,742672989,742672989
Europe,,2014,743860819,743860819
Europe,,2015,745474876,745474876
Europe,,2016,747258527,747258527
Europe,,2017,748701837,748701837
Europe,,2018,749853945,749853945
Europe,,2019,750809114,750809114
Europe,,2020,750844584,750844584
Europe,,2021,749949128,749949128
North America,,1942,188396632,188396632
North America,,1943,191675323,191675323
North America,,1944,195019763,195019763
North America,,1945,198431553,198431553
North America,,1946,201912308,201912308
North America,,1947,205463865,205463865
North America,,1948,209087777,209087777
North America,,1949,212901535,212901535
North America,,1950,222818942,222818942
North America,,1951,226777853,226777853
North America,,1952,230880347,230880347
North America,,1953,235114817,235114817
North America,,1954,239512127,239512127
North America,,1955,244056556,244056556
North America,,1956,248743632,248743632
North America,,1957,253588808,253588808
North America,,1958,258514843,258514843
North America,,1959,263669394,263669394
North America,,1960,269079991,269079991
North America,,1961,274663001,274663001
North America,,1962,280344711,280344711
North America,,1963,285962471,285962471
North America,,1964,291551215,291551215
North America,,1965,297056448,297056448
North America,,1966,302406133,302406133
North America,,1967,307620058,307620058
North America,,1968,312721535,312721535
North America,,1969,317807457,317807457
North America,,1970,323225990,323225990
North America,,1971,328861435,328861435
North America,,1972,334187766,334187766
North America,,1973,339231488,339231488
North America,,1974,344226868,344226868
North America,,1975,349224556,349224556
North America,,1976,354178873,354178873
North America,,1977,359152730,359152730
North America,,1978,364168545,364168545
North America,,1979,369229445,369229445
North America,,1980,374396450,374396450
North America,,1981,379564365,379564365
North America,,1982,384744475,384744475
North America,,1983,389995274,389995274
North America,,1984,395240041,395240041
North America,,1985,400471527,400471527
North America,,1986,405669376,405669376
North America,,1987,410877360,410877360
North America,,1988,416201801,416201801
North America,,1989,421643657,421643657
North America,,1990,427527970,427527970
North America,,1991,433792318,433792318
North America,,1992,440060892,440060892
North America,,1993,446185596,446185596
North America,,1994,452083583,452083583
North America,,1995,457858573,457858573
North America,,1996,463530247,463530247
North America,,1997,469106576,469106576
North America,,1998,474677559,474677559
North America,,1999,480238641,480238641
North America,,2000,485805117,485805117
North America,,2001,491432309,491432309
North America,,2002,497028245,497028245
North America,,2003,502587589,502587589
North America,,2004,508166874,508166874
North America,,2005,513798980,513798980
North America,,2006,519545243,519545243
North America,,2007,525495121,525495121
North America,,2008,531570001,531570001
North America,,2009,537617447,537617447
North America,,2010,543593308,543593308
North America,,2011,549552428,549552428
North America,,2012,555486393,555486393
North America,,2013,561345659,561345659
North America,,2014,567078666,567078666
North America,,2015,572637322,572637322
North America,,2016,578186332,578186332
North America,,2017,583669319,583669319
North America,,2018,589049569,589049569
North America,,2019,594346844,594346844
North America,,2020,598250669,598250669
North America,,2021,600876349,600876349
Oceania,,1942,10740030,10740030
Oceania,,1943,10946716,10946716
Oceania,,1944,11158769,11158769
Oceania,,1945,11376348,11376348
Oceania,,1946,11599543,11599543
Oceania,,1947,11829855,11829855
Oceania,,1948,12066236,12066236
Oceania,,1949,12315375,12315375
Oceania,,1950,12582453,12582453
Oceania,,1951,12915446,12915446
Oceania,,1952,13229396,13229396
Oceania,,1953,13527446,13527446
Oceania,,1954,13824685,13824685
Oceania,,1955,14145499,14145499
Oceania,,1956,14484837,14484837
Oceania,,1957,14825605,14825605
Oceania,,1958,15166229,15166229
Oceania,,1959,15510259,15510259
Oceania,,1960,15862697,15862697
Oceania,,1961,16216895,16216895
Oceania,,1962,16560976,16560976
Oceania,,1963,16904641,16904641
Oceania,,1964,17254690,17254690
Oceania,,1965,17617233,17617233
Oceania,,1966,17986091,17986091
Oceania,,1967,18332240,18332240
Oceania,,1968,18670233,18670233
Oceania,,1969,19033793,19033793
Oceania,,1970,19494215,19494215
Oceania,,1971,20036088,20036088
Oceania,,1972,20494156,20494156
Oceania,,1973,20866225,20866225
Oceania,,1974,21228268,21228268
Oceania,,1975,21555937,21555937
Oceania,,1976,21842502,21842502
Oceania,,1977,22114617,22114617
Oceania,,1978,22383486,22383486
Oceania,,1979,22653748,22653748
Oceania,,1980,22954484,22954484
Oceania,,1981,23307534,23307534
Oceania,,1982,23690693,23690693
Oceania,,1983,24064499,24064499
Oceania,,1984,24421103,24421103
Oceania,,1985,24777609,24777609
Oceania,,1986,25149869,25149869
Oceania,,1987,25544592,25544592
Oceania,,1988,25956460,25956460
Oceania,,1989,26377044,26377044
Oceania,,1990,26839397,26839397
Oceania,,1991,27315331,27315331
Oceania,,1992,27746651,27746651
Oceania,,1993,28154388,28154388
Oceania,,1994,28573089,28573089
Oceania,,1995,29025267,29025267
Oceania,,1996,29498702,29498702
Oceania,,1997,29964609,29964609
Oceania,,1998,30420070,30420070
Oceania,,1999,30880117,30880117
Oceania,,2000,31352968,31352968
Oceania,,2001,31847232,31847232
Oceania,,2002,32366021,32366021
Oceania,,2003,32894563,32894563
Oceania,,2004,33419063,33419063
Oceania,,2005,33956165,33956165
Oceania,,2006,34540362,34540362
Oceania,,2007,35190049,35190049
Oceania,,2008,35890355,35890355
Oceania,,2009,36593549,36593549
Oceania,,2010,37254088,37254088
Oceania,,2011,37890098,37890098
Oceania,,2012,38550537,38550537
Oceania,,2013,39233938,39233938
Oceania,,2014,39918746,39918746
Oceania,,2015,40615015,40615015
Oceania,,2016,41347231,41347231
Oceania,,2017,42093989,42093989
Oceania,,2018,42815501,42815501
Oceania,,2019,43504534,43504534
Oceania,,2020,44079305,44079305
Oceania,,2021,44558542,44558542
South America,,1942,94218266,94218266
South America,,1943,96397220,96397220
South America,,1944,98629580,98629580
South America,,1945,100916695,100916695
South America,,1946,103259939,103259939
South America,,1947,105660736,105660736
South America,,1948,108120539,108120539
South America,,1949,110738339,110738339
South America,,1950,112973206,112973206
South America,,1951,116032097,116032097
South America,,1952,119207173,119207173
South America,,1953,122485445,122485445
South America,,1954,125865619,125865619
South America,,1955,129351392,129351392
South America,,1956,132949203,132949203
South America,,1957,136660910,136660910
South America,,1958,140478152,140478152
South America,,1959,144408289,144408289
South America,,1960,148441136,148441136
South America,,1961,152563381,152563381
South America,,1962,156774169,156774169
South America,,1963,161065580,161065580
South America,,1964,165413050,165413050
South America,,1965,169787372,169787372
South America,,1966,174174981,174174981
South America,,1967,178570551,178570551
South America,,1968,182977284,182977284
South America,,1969,187410578,187410578
South America,,1970,191855157,191855157
South America,,1971,196342426,196342426
South America,,1972,200916855,200916855
South America,,1973,205568584,205568584
South America,,1974,210289337,210289337
South America,,1975,215072895,215072895
South America,,1976,219943070,219943070
South America,,1977,224941182,224941182
South America,,1978,230064004,230064004
South America,,1979,235280221,235280221
South America,,1980,240599668,240599668
South America,,1981,246004203,246004203
South America,,1982,251463267,251463267
South America,,1983,256993747,256993747
South America,,1984,262567857,262567857
South America,,1985,268127340,268127340
South America,,1986,273653738,273653738
South America,,1987,279159631,279159631
South America,,1988,284663487,284663487
South America,,1989,290157633,290157633
South America,,1990,295639583,295639583
South America,,1991,301035777,301035777
South America,,1992,306386108,306386108
South America,,1993,311712472,311712472
South America,,1994,316983654,316983654
South America,,1995,322239766,322239766
South America,,1996,327454409,327454409
South America,,1997,332642670,332642670
South America,,1998,337868219,337868219
South America,,1999,343039488,343039488
South America,,2000,348018743,348018743
South America,,2001,352811861,352811861
South America,,2002,357458493,357458493
South America,,2003,361970820,361970820
South America,,2004,366372166,366372166
South America,,2005,370696350,370696350
South America,,2006,374925352,374925352
South America,,2007,379035651,379035651
South America,,2008,383025009,383025009
South America,,2009,386904378,386904378
South America,,2010,390701117,390701117
South America,,2011,394477912,394477912
South America,,2012,398255319,398255319
South America,,2013,402022546,402022546
South America,,2014,405812435,405812435
South America,,2015,409619969,409619969
South America,,2016,413395039,413395039
South America,,2017,417045362,417045362
South America,,2018,420440405,420440405
South America,,2019,423548291,423548291
South America,,2020,426213552,426213552
South America,,2021,428331419,428331419
